,text_surronding
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46178,"soient nos bouges? Non , Barbedor n' était pas un"
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46185,était pas un coquin . Il tâchait de se faire
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46193,se faire un sort pour ses vieux jours comme votre
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46273,"Et , de plus , Barbedor avait une idée colossale:"
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46278,Barbedor avait une idée colossale: il voulait faire percer la
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46289,"des Paillassons . Non , Barbedor n' était pas un"
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46304,"est bien plus grave , c' était une dupe ."
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46318,que doit inspirer un homme qui n' a point les
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46328,"vains préjugés des honnêtes et qui végète , et qui"
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46332,"et qui végète , et qui se coule! Au moins"
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46356,". Qu' ils soient absous! Barbedor , alléché par les"
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46382,avait fait plus que prêter son humble établissement aux intrigues
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46388,humble établissement aux intrigues matrimoniales: il avait sollicité l' honneur
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46398,"d' une association , et ses pauvres économies étaient allées"
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46409,diable sait où . On lui avait promis de si
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46452,C' est à peine si Barbedor osait se plaindre .
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46460,"plaindre . Aussi la mélancolie le prenait , et ,"
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46474,"vu , les gens de sa maison lui trouvaient déjà"
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46476,les gens de sa maison lui trouvaient déjà l' air
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46491,noie . —C' était à ses heures de tristesse surtout
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46502,le souvenir de Jean Lagard lui revenait . Ce soir
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46510,"Ce soir , en achevant sa dernière pipe et en"
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46517,pipe et en versant dans son verre le reste de
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46522,"son verre le reste de sa cruche , il se"
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46525,"reste de sa cruche , il se disait: —Voilà le"
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46532,disait: —Voilà le moment! Jamais il n' arrivait juste pour
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46559,attendais . . . et je reconnaissais bien son pas
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46562,. et je reconnaissais bien son pas derrière le coude
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46573,la ruelle . . . Il s' interrompit pour écouter
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46583,". —Tiens , tiens! fit - il avec une singulière"
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46605,. c' est comme si j' entendais marcher . .
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46613,. . . marcher comme lui . . . mais
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46621,. mais il y avait sa voix . . .
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46646,le coude de la ruelle: Barbedor pâlit et passa la
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46649,la ruelle: Barbedor pâlit et passa la main sur son
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46653,et passa la main sur son front . —Est -
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46671,. . murmura - t - il . La voix
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46698,"—Prrrrr—rrrt! Pour le coup , Barbedor se leva tout chancelant"
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46704,se leva tout chancelant et se tâta pour voir s'
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46705,leva tout chancelant et se tâta pour voir s' il
Feval-Paul_La-fabrique-de-mariages_<Barbedor-2457>_46709,se tâta pour voir s' il rêvait . —Puis il
