,text_surronding
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_11992,"petite cellule voûtée , où Marie de Rieux était seule"
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12004,Ah ! ah ! fit Marie en prenant un air
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12013,air de souveraine qui ne lui allait point trop mal
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12031,"bienvenu , Jean Brand , je craignais de ne plus"
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12039,ne plus te revoir . Elle tendit la main avec
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12058,"à ses lèvres . – Not' demoiselle , dit -"
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12066,"dit - il , voici mam' zelle Sainte , qui"
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12092,– Sainte ! s' écria la hautaine enfant en cachant
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12150,"C' est bien ! interrompit Marie , interroge qui tu"
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12158,"qui tu voudras , et laisse - nous seules ."
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12209,de cela plusieurs mois . Sainte fut surprise et affligée
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12228,opéré sur les traits de sa compagne . Marie était
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12231,"traits de sa compagne . Marie était toujours belle ,"
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12251,couleurs qui brillaient autrefois sur sa joue . Son œil
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12254,autrefois sur sa joue . Son œil était entouré d'
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12275,sous la méprisante ironie de son sourire . Elles restèrent
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12284,restèrent quelques minutes en face l' une de l' autre
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12287,en face l' une de l' autre . Marie semblait
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12290,une de l' autre . Marie semblait faire une comparaison
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12301,entre le doux visage de Sainte et ses traits à
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12303,"doux visage de Sainte et ses traits à elle ,"
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12306,"Sainte et ses traits à elle , ses traits d'"
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12308,"ses traits à elle , ses traits d' enfant ,"
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12320,et presque flétris . Enfin elle rompit le silence .
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12333,"du Médecin bleu , dit - elle sans abandonner son"
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12337,"dit - elle sans abandonner son ton de froideur ,"
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12348,est donc enfin souvenue de son ancienne amie ? –
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12353,son ancienne amie ? – Elle ne l' a jamais
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12361,"a jamais oubliée , répondit Sainte avec douceur . –"
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12369,. – C' est de sa part bien de la
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12379,"bonté . Et n' avez - vous point tremblé ,"
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12384,"- vous point tremblé , Sainte , à l' idée"
Feval-Paul_Le-Medecin-bleu_<Marie de Rieux-620>_12391,à l' idée de confier votre vie à des brigands
