,text_surronding
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_126826,! la voici ! fit madame Tuvache . Mais il
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_126845,", d' entendre ce qu' elle disait . Enfin ,"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_126859,"le mot francs , et la mère Tuvache souffla tout"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_126866,"Tuvache souffla tout bas :– Elle le prie , pour"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_126875,pour obtenir un retard à ses contributions . – D'
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_126887,reprit l' autre . Elles la virent qui marchait de
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_126889,autre . Elles la virent qui marchait de long en
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_126933,commander quelque chose ? dit madame Tuvache . – Mais
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_126944,ne vend rien ! objecta sa voisine . Le percepteur
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_126968,il ne comprenait pas . Elle continuait d' une manière
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_126977,"manière tendre , suppliante . Elle se rapprocha ; son"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_126981,. Elle se rapprocha ; son sein haletait ; ils
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_126995,– Est - ce qu' elle lui fait des avances
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127002,fait des avances ? dit madame Tuvache . Binet était
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127012,rouge jusqu' aux oreilles . Elle lui prit les mains
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127029,fort !Et sans doute qu' elle lui proposait une abomination
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127089,loin en s' écriant :– Madame ! y pensez -
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127093,:– Madame ! y pensez - vous ? … –
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127107,femmes - là ! dit madame Tuvache . – Où
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127122,reprit madame Caron . Car elle avait disparu durant ces
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127160,"– Mère Rolet , dit - elle en arrivant chez"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127168,"arrivant chez la nourrice , j' étouffe ! … délacez"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127173,j' étouffe ! … délacez - moi . Elle tomba
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127176,… délacez - moi . Elle tomba sur le lit
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127182,tomba sur le lit ; elle sanglotait . La mère
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127188,sanglotait . La mère Rolet la couvrit d' un jupon
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127198,"et resta debout près d' elle . Puis , comme"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127203,"elle . Puis , comme elle ne répondait pas ,"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127245,de Binet . – Qui la gêne ? se demandait
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127255,la nourrice . Pourquoi vient - elle ici ?Elle y
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127270,une sorte d' épouvante qui la chassait de sa maison
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127273,épouvante qui la chassait de sa maison . Couchée sur
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127287,"et les yeux fixes , elle discernait vaguement les objets"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127295,"les objets , bien qu' elle y appliquât son attention"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127298,bien qu' elle y appliquât son attention avec une persistance
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127305,avec une persistance idiote . Elle contemplait les écaillures de
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127330,"marchait au - dessus de sa tête , dans la"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127342,"la poutrelle . Enfin , elle rassembla ses idées ."
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127344,". Enfin , elle rassembla ses idées . Elle se"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127347,elle rassembla ses idées . Elle se souvenait … Un
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127379,"… Alors , emportée dans ses souvenirs comme dans un"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127388,"un torrent qui bouillonne , elle arriva bientôt à se"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127410,il ? demanda - t - elle . La mère
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127482,", sans se douter qu' elle fût là ; et"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127487,elle fût là ; et elle commanda à la nourrice
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127507,"- vous !– Mais , ma chère dame , j'"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127511,", ma chère dame , j' y vais ! j'"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127515,", j' y vais ! j' y vais !Elle s'"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127551,y manquerait pas ; et elle se voyait déjà chez
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127560,"chez Lheureux , étalant sur son bureau les trois billets"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127605,"horloge dans la chaumière , Emma craignait de s' exagérer"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127618,la longueur du temps . Elle se mit à faire
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127635,", pas à pas ; elle alla dans le sentier"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127674,", assaillie de soupçons qu' elle repoussait , ne sachant"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127681,", ne sachant plus si elle était là depuis un"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127691,"siècle ou une minute , elle s' assit dans un"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127698,"assit dans un coin et ferma les yeux , se"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127702,"et ferma les yeux , se boucha les oreilles ."
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127703,"ferma les yeux , se boucha les oreilles . La"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127711,. La barrière grinça : elle fit un bond ;
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127718,"un bond ; avant qu' elle eût parlé , la"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127725,"parlé , la mère Rolet lui avait dit :– Il"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127735,n' y a personne chez vous !– Comment ?– Oh
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127748,Et monsieur pleure . Il vous appelle . On vous
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127752,Il vous appelle . On vous cherche . Emma ne
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127755,. On vous cherche . Emma ne répondit rien .
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127760,"Emma ne répondit rien . Elle haletait , tout en"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127770,"roulant les yeux autour d' elle , tandis que la"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127779,"la paysanne , effrayée de son visage , se reculait"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127786,", se reculait instinctivement , la croyant folle . Tout"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127793,folle . Tout à coup elle se frappa le front
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127799,"se frappa le front , poussa un cri , car"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127818,"dans une nuit sombre , lui avait passé dans l'"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127845,", s' il hésitait à lui rendre ce service ,"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127850,"lui rendre ce service , elle saurait bien l' y"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127868,œil leur amour perdu . Elle partit donc vers la
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127879,", sans s' apercevoir qu' elle courait s' offrir à"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127886,s' offrir à ce qui l' avait tantôt si fort
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127904,monde de cette prostitution . Elle se demandait tout en
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127921,dire ? Par où commencerai - je ? » Et
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127929,"» Et à mesure qu' elle avançait , elle reconnaissait"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127932,"mesure qu' elle avançait , elle reconnaissait les buissons ,"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127953,château là - bas . Elle se retrouvait dans les
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127960,"retrouvait dans les sensations de sa première tendresse , et"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127965,"sa première tendresse , et son pauvre cœur comprimé s'"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127977,amoureusement . Un vent tiède lui soufflait au visage ;
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_127998,"bourgeons sur l' herbe . Elle entra , comme autrefois"
Flaubert-Gustave_Madame-Bovary_<madame Tuvache-5849>_128012,"porte du parc , puis arriva à la cour d'"
