,text_surronding
France-Anatole_L_<Virgile-2223>_35368,"peu à l' écart , Virgile , appuyé au tronc"
France-Anatole_L_<Virgile-2223>_35392,"et la taille mince , il avait encore ce teint"
France-Anatole_L_<Virgile-2223>_35413,"apparence inculte qui , de son vivant , cachait son"
France-Anatole_L_<Virgile-2223>_35417,"de son vivant , cachait son génie . Je le"
France-Anatole_L_<Virgile-2223>_35421,cachait son génie . Je le saluai pieusement et demeurai
France-Anatole_L_<Virgile-2223>_35442,"de ma gorge serrée: —O toi , si cher aux"
France-Anatole_L_<Virgile-2223>_35455,"honneur du nom latin , Virgile , m' écriai -"
France-Anatole_L_<Virgile-2223>_35465,"je , c' est par toi que j' ai senti"
France-Anatole_L_<Virgile-2223>_35475,la beauté; c' est par toi que j' ai connu
France-Anatole_L_<Virgile-2223>_35490,le lit des déesses . Souffre les louanges du plus
France-Anatole_L_<Virgile-2223>_35497,louanges du plus humble de tes adorateurs . —Lève -
France-Anatole_L_<Virgile-2223>_35508,", étranger , me répondit le poète divin . Je"
France-Anatole_L_<Virgile-2223>_35512,répondit le poète divin . Je reconnais que tu es
France-Anatole_L_<Virgile-2223>_35522,vivant à l' ombre que ton corps allonge sur l'
France-Anatole_L_<Virgile-2223>_35533,en ce soir éternel . Tu n' es pas le
France-Anatole_L_<Virgile-2223>_35565,difficile . Mais cesse de me louer: je n' aime
France-Anatole_L_<Virgile-2223>_35567,Mais cesse de me louer: je n' aime pas les
France-Anatole_L_<Virgile-2223>_35582,la gloire ont toujours offensé mes oreilles . C' est
France-Anatole_L_<Virgile-2223>_35609,travaillé dans la solitude de ma chère Parthénope . Et
France-Anatole_L_<Virgile-2223>_35618,"Et puis , pour goûter tes louanges , je ne"
France-Anatole_L_<Virgile-2223>_35631,sûr que les hommes de ton siècle comprennent mes vers
France-Anatole_L_<Virgile-2223>_35639,mes vers . Qui es - tu? —Je me nomme
France-Anatole_L_<Virgile-2223>_35663,de Corrigan . Je lis tes poèmes le jour et
France-Anatole_L_<Virgile-2223>_35668,tes poèmes le jour et je les lis la nuit
France-Anatole_L_<Virgile-2223>_35676,la nuit . C' est toi que je suis venu
France-Anatole_L_<Virgile-2223>_35678,. C' est toi que je suis venu voir dans
France-Anatole_L_<Virgile-2223>_35685,venu voir dans les Enfers: j' étais impatient de savoir
France-Anatole_L_<Virgile-2223>_35693,de savoir quel y est ton sort . Sur la
France-Anatole_L_<Virgile-2223>_35721,"le pouvoir des démons , tu brûles maintenant dans les"
France-Anatole_L_<Virgile-2223>_35785,"progéniture descendait des cieux , tu fus admis , comme"
France-Anatole_L_<Virgile-2223>_35815,"en est rien , répondit l' ombre en souriant ."
France-Anatole_L_<Virgile-2223>_35821,"ombre en souriant . —Je te rencontre en effet ,"
France-Anatole_L_<Virgile-2223>_35826,"te rencontre en effet , ô Virgile , parmi les"
France-Anatole_L_<Virgile-2223>_35827,"rencontre en effet , ô Virgile , parmi les héros"
France-Anatole_L_<Virgile-2223>_35842,ces Champs - Élysées que toi - même as décrits
France-Anatole_L_<Virgile-2223>_35865,", nul n' est venu te chercher de la part"
France-Anatole_L_<Virgile-2223>_35884,assez long silence: —Je ne te cacherai rien . Il
France-Anatole_L_<Virgile-2223>_35889,te cacherai rien . Il m' a fait appeler; un
France-Anatole_L_<Virgile-2223>_35904,"homme simple , est venu me dire qu' on m'"
France-Anatole_L_<Virgile-2223>_35908,"venu me dire qu' on m' attendait et que ,"
France-Anatole_L_<Virgile-2223>_35915,"et que , bien que je ne fusse point initié"
France-Anatole_L_<Virgile-2223>_35927,"mystères , en considération de mes chants prophétiques , une"
France-Anatole_L_<Virgile-2223>_35933,"chants prophétiques , une place m' était réservée parmi ceux"
France-Anatole_L_<Virgile-2223>_35944,la secte nouvelle . Mais je refusai de me rendre
France-Anatole_L_<Virgile-2223>_35952,me rendre à cette invitation; je n' avais point envie
France-Anatole_L_<Virgile-2223>_35967,Ce n' est pas que je partage l' admiration des
France-Anatole_L_<Virgile-2223>_35980,Champs - Élysées et que j' y goûte ces joies
France-Anatole_L_<Virgile-2223>_35996,souvenir de sa mère . Je n' ai jamais beaucoup
France-Anatole_L_<Virgile-2223>_36002,n' ai jamais beaucoup cru moi - même à ce
France-Anatole_L_<Virgile-2223>_36008,- même à ce que j' en ai dit dans
France-Anatole_L_<Virgile-2223>_36013,j' en ai dit dans mon Énéide . Instruit par
France-Anatole_L_<Virgile-2223>_36025,"et par les physiciens , j' avais un juste pressentiment"
France-Anatole_L_<Virgile-2223>_36074,leur prêtent les vivants . Je préférai toutefois y demeurer
France-Anatole_L_<Virgile-2223>_36084,". —Mais quelle raison donnas - tu , Virgile ,"
France-Anatole_L_<Virgile-2223>_36087,"raison donnas - tu , Virgile , d' un refus"
France-Anatole_L_<Virgile-2223>_36100,en donnai d' excellentes . Je dis à l' envoyé
France-Anatole_L_<Virgile-2223>_36108,l' envoyé du dieu que je ne méritais point l'
France-Anatole_L_<Virgile-2223>_36116,"point l' honneur qu' il m' apportait , et que"
France-Anatole_L_<Virgile-2223>_36125,que l' on supposait à mes vers un sens qu'
France-Anatole_L_<Virgile-2223>_36138,"pas . En effet , je n' ai point trahi"
France-Anatole_L_<Virgile-2223>_36144,n' ai point trahi dans ma quatrième Églogue la foi
France-Anatole_L_<Virgile-2223>_36150,quatrième Églogue la foi de mes aïeux . Des juifs
France-Anatole_L_<Virgile-2223>_36184,par les oracles sibylliens . Je m' excusai donc sur
France-Anatole_L_<Virgile-2223>_36191,excusai donc sur ce que je ne pouvais pas occuper
France-Anatole_L_<Virgile-2223>_36199,pas occuper une place qui m' était destinée par erreur
France-Anatole_L_<Virgile-2223>_36207,par erreur et à laquelle je ne me reconnaissais nul
France-Anatole_L_<Virgile-2223>_36216,"nul droit . Puis , j' alléguai mon humeur et"
France-Anatole_L_<Virgile-2223>_36218,". Puis , j' alléguai mon humeur et mes goûts"
France-Anatole_L_<Virgile-2223>_36221,"j' alléguai mon humeur et mes goûts , qui ne"
France-Anatole_L_<Virgile-2223>_36243,"suis point insociable , dis - je à cet homme;"
France-Anatole_L_<Virgile-2223>_36248,- je à cet homme; j' ai montré dans la
France-Anatole_L_<Virgile-2223>_36266,que la simplicité extrême de mes habitudes m' ait fait
France-Anatole_L_<Virgile-2223>_36268,simplicité extrême de mes habitudes m' ait fait soupçonner d'
France-Anatole_L_<Virgile-2223>_36275,"fait soupçonner d' avarice , je ne gardais rien pour"
France-Anatole_L_<Virgile-2223>_36280,je ne gardais rien pour moi seul; ma bibliothèque était
France-Anatole_L_<Virgile-2223>_36282,gardais rien pour moi seul; ma bibliothèque était ouverte à
France-Anatole_L_<Virgile-2223>_36290,"ouverte à tous , et j' ai conformé ma conduite"
France-Anatole_L_<Virgile-2223>_36293,", et j' ai conformé ma conduite à cette belle"
France-Anatole_L_<Virgile-2223>_36312,". Les louanges , qui m' étaient importunes quand je"
France-Anatole_L_<Virgile-2223>_36316,"qui m' étaient importunes quand je les recevais , me"
France-Anatole_L_<Virgile-2223>_36320,"quand je les recevais , me devenaient agréables lorsqu' elles"
France-Anatole_L_<Virgile-2223>_36337,". Mais au fond , je suis rustique et sauvage"
France-Anatole_L_<Virgile-2223>_36343,"suis rustique et sauvage , je me plais dans la"
France-Anatole_L_<Virgile-2223>_36351,dans la société des bêtes; je mis tant de soin
France-Anatole_L_<Virgile-2223>_36361,", à les observer , je prenais d' elles un"
France-Anatole_L_<Virgile-2223>_36369,"elles un tel souci que je passai , non point"
France-Anatole_L_<Virgile-2223>_36387,très bon vétérinaire . On m' a dit que les
France-Anatole_L_<Virgile-2223>_36414,un non - sens qui me fait douter de leur
France-Anatole_L_<Virgile-2223>_36421,douter de leur raison . J' aime les troupeaux et
France-Anatole_L_<Virgile-2223>_36451,a une maxime à laquelle je m' efforçai de conformer
France-Anatole_L_<Virgile-2223>_36456,je m' efforçai de conformer mes actions: rien de trop
France-Anatole_L_<Virgile-2223>_36465,"trop . Plus encore que ma faible santé , ma"
France-Anatole_L_<Virgile-2223>_36469,"que ma faible santé , ma philosophie m' instruisit à"
France-Anatole_L_<Virgile-2223>_36471,"faible santé , ma philosophie m' instruisit à user des"
France-Anatole_L_<Virgile-2223>_36480,des choses avec mesure . Je suis sobre; une laitue
France-Anatole_L_<Virgile-2223>_36497,"de falerne , composaient tout mon repas . J' ai"
France-Anatole_L_<Virgile-2223>_36500,composaient tout mon repas . J' ai fréquenté modérément le
France-Anatole_L_<Virgile-2223>_36510,lit des femmes étrangères; et je ne me suis pas
France-Anatole_L_<Virgile-2223>_36560,. ] . Mais si j' ai contenu mes désirs
France-Anatole_L_<Virgile-2223>_36563,"Mais si j' ai contenu mes désirs , ce fut"
France-Anatole_L_<Virgile-2223>_36569,"désirs , ce fut pour ma satisfaction et par bonne"
France-Anatole_L_<Virgile-2223>_36582,plaisir et fuir la volupté m' eût paru le plus
France-Anatole_L_<Virgile-2223>_36598,à la nature . On m' assure que durant leur
France-Anatole_L_<Virgile-2223>_36633,à d' inutiles souffrances . Je craindrais de rencontrer ces
France-Anatole_L_<Virgile-2223>_36642,ces criminels dont la frénésie me fait horreur . Il
France-Anatole_L_<Virgile-2223>_36665,"une doctrine physique et morale; je suis Romain , d'"
France-Anatole_L_<Virgile-2223>_36667,"physique et morale; je suis Romain , d' ailleurs ,"
France-Anatole_L_<Virgile-2223>_36714,"une haute renommée , en m' enseignant le système d'"
France-Anatole_L_<Virgile-2223>_36721,"le système d' Épicure , m' a affranchi des vaines"
France-Anatole_L_<Virgile-2223>_36738,religion persuade aux hommes ignorants; j' ai appris de Zénon
France-Anatole_L_<Virgile-2223>_36750,avec constance les maux inévitables; j' ai embrassé les idées
France-Anatole_L_<Virgile-2223>_36789,orgueil ni sans honte . J' ai su des Alexandrins
France-Anatole_L_<Virgile-2223>_36855,sur les montagnes innomées . Je ne pourrais plus m'
France-Anatole_L_<Virgile-2223>_36886,Samos . Et que deviendrai - je dans le séjour
France-Anatole_L_<Virgile-2223>_36896,"de votre béatitude , si je n' y trouve pas"
France-Anatole_L_<Virgile-2223>_36901,"je n' y trouve pas mes amis , mes ancêtres"
France-Anatole_L_<Virgile-2223>_36904,"trouve pas mes amis , mes ancêtres , mes maîtres"
France-Anatole_L_<Virgile-2223>_36907,"amis , mes ancêtres , mes maîtres et mes dieux"
France-Anatole_L_<Virgile-2223>_36910,"ancêtres , mes maîtres et mes dieux , et s'"
France-Anatole_L_<Virgile-2223>_36917,", et s' il ne m' est pas donné d'"
France-Anatole_L_<Virgile-2223>_36965,. »Voilà les raisons que je priai cet homme simple
France-Anatole_L_<Virgile-2223>_36967,les raisons que je priai cet homme simple de faire
France-Anatole_L_<Virgile-2223>_36982,". —Et depuis lors , ô grande ombre , tu"
France-Anatole_L_<Virgile-2223>_36986,", ô grande ombre , tu n' as plus reçu"
France-Anatole_L_<Virgile-2223>_37004,". —Pour se consoler de ton absence , Virgile ,"
France-Anatole_L_<Virgile-2223>_37041,"la grammaire . Mais dis - moi , ne reçus"
France-Anatole_L_<Virgile-2223>_37046,"- moi , ne reçus - tu jamais , ô"
France-Anatole_L_<Virgile-2223>_37050,"reçus - tu jamais , ô Mantouan , d' autres"
France-Anatole_L_<Virgile-2223>_37059,autres nouvelles du Dieu dont tu refusas si délibérément la
France-Anatole_L_<Virgile-2223>_37069,"compagnie? —Jamais , qu' il me souvienne . —Ne m'"
France-Anatole_L_<Virgile-2223>_37073,il me souvienne . —Ne m' as - tu point
France-Anatole_L_<Virgile-2223>_37075,souvienne . —Ne m' as - tu point dit que
France-Anatole_L_<Virgile-2223>_37080,- tu point dit que je n' étais pas le
France-Anatole_L_<Virgile-2223>_37097,"demeures , se présenta devant toi? —Tu m' y fais"
France-Anatole_L_<Virgile-2223>_37099,se présenta devant toi? —Tu m' y fais songer .
France-Anatole_L_<Virgile-2223>_37115,"demi , autant qu' il me semble ( il est"
France-Anatole_L_<Virgile-2223>_37132,"et les années ) , je fus troublé dans ma"
France-Anatole_L_<Virgile-2223>_37136,", je fus troublé dans ma profonde paix par un"
