,text_surronding
Gaboriau-Emile_Le-dossier-113_<un étranger-4441>_122916,lui remit la carte d' un étranger qui désirait le
Gaboriau-Emile_Le-dossier-113_<un étranger-4441>_122918,la carte d' un étranger qui désirait le voir .
Gaboriau-Emile_Le-dossier-113_<un étranger-4441>_122930,cette carte et lut : Louis de Clameran . —
Gaboriau-Emile_Le-dossier-113_<un étranger-4441>_122982,"Au milieu du vestibule , un homme , Louis de"
Gaboriau-Emile_Le-dossier-113_<un étranger-4441>_122985,"vestibule , un homme , Louis de Clameran , se"
Gaboriau-Emile_Le-dossier-113_<un étranger-4441>_122999,". Gaston se précipita vers lui , et après l'"
Gaboriau-Emile_Le-dossier-113_<un étranger-4441>_123003,"vers lui , et après l' avoir serré entre ses"
Gaboriau-Emile_Le-dossier-113_<un étranger-4441>_123011,"entre ses bras , à l' étouffer , il l'"
Gaboriau-Emile_Le-dossier-113_<un étranger-4441>_123015,"à l' étouffer , il l' entraîna , ou plutôt"
Gaboriau-Emile_Le-dossier-113_<un étranger-4441>_123021,"entraîna , ou plutôt il l' emporta dans le salon"
Gaboriau-Emile_Le-dossier-113_<un étranger-4441>_123030,"salon . Là , il le fit asseoir , s'"
Gaboriau-Emile_Le-dossier-113_<un étranger-4441>_123049,"plus près possible , pour le mieux voir , pour"
Gaboriau-Emile_Le-dossier-113_<un étranger-4441>_123054,"le mieux voir , pour le contempler plus à l'"
Gaboriau-Emile_Le-dossier-113_<un étranger-4441>_123062,à l' aise . Il lui avait pris les deux
Gaboriau-Emile_Le-dossier-113_<un étranger-4441>_123078,"siennes . — C' est toi , répétait - il"
Gaboriau-Emile_Le-dossier-113_<un étranger-4441>_123100,"bien prouver la réalité , toi , mon bien -"
Gaboriau-Emile_Le-dossier-113_<un étranger-4441>_123111,"Louis , mon frère … toi , c' est toi"
Gaboriau-Emile_Le-dossier-113_<un étranger-4441>_123113,"mon frère … toi , c' est toi ! …"
Gaboriau-Emile_Le-dossier-113_<un étranger-4441>_123115,"… toi , c' est toi ! … Gaston ,"
Gaboriau-Emile_Le-dossier-113_<un étranger-4441>_123118,"c' est toi ! … Gaston , cet homme dont"
Gaboriau-Emile_Le-dossier-113_<un étranger-4441>_123120,"toi ! … Gaston , cet homme dont la vie"
Gaboriau-Emile_Le-dossier-113_<un étranger-4441>_123122,"… Gaston , cet homme dont la vie avait été"
Gaboriau-Emile_Le-dossier-113_<un étranger-4441>_123137,"ne se possédait plus . Lui , l' aventurier ,"
Gaboriau-Emile_Le-dossier-113_<un étranger-4441>_123139,"possédait plus . Lui , l' aventurier , le second"
Gaboriau-Emile_Le-dossier-113_<un étranger-4441>_123160,"de Villa - Rica , il pleurait et riait tout"
Gaboriau-Emile_Le-dossier-113_<un étranger-4441>_123163,"Rica , il pleurait et riait tout ensemble . —"
Gaboriau-Emile_Le-dossier-113_<un étranger-4441>_123192,Va ! l' expression de ton visage n' a pas
Gaboriau-Emile_Le-dossier-113_<un étranger-4441>_123199,"n' a pas changé , tu as bien le même"
Gaboriau-Emile_Le-dossier-113_<un étranger-4441>_123206,"bien le même regard , ton sourire est toujours ce"
Gaboriau-Emile_Le-dossier-113_<un étranger-4441>_123216,"qu' il était jadis . Louis souriait , en effet"
