,text_surronding
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_47859,la porte s' ouvrit et Mariette parut : « Mes
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_47863,"et Mariette parut : « Mes enfants , j' entends"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_47866,": « Mes enfants , j' entends des rires ,"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_47871,"j' entends des rires , j' espère que vous avez"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_47899,Suzanne en se plantant devant Mariette et en mettant ses
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_47914,. . . Comment veux - tu qu' on devienne
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_47935,qui . . . – Mes garçons ne parlent pas
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_47943,parlent pas ? s' écria Mariette stupéfaite . – Non
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_47957,puis ce ne sont pas tes garçons . Ils ne
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_47965,"Ils ne sont pas à toi , vieille fille ."
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_47967,"sont pas à toi , vieille fille . – Dis"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_47988,parle pas comme ça à Mariette ; tu n' es
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_47990,comme ça à Mariette ; tu n' es vraiment pas
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48002,"– De quoi te mêles - tu , toi ?"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48005,"te mêles - tu , toi ? Est - ce"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48011,? Est - ce que je te parle ? Tu
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48012,Est - ce que je te parle ? Tu es
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48057,petite fille ? s' écria Mariette . Où a -
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48076,"à Avignon . . . Moi , chez grand -"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48083,"chez grand - mère , je disais tout ce que"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48088,"je disais tout ce que je voulais , je faisais"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48091,"ce que je voulais , je faisais tout ce que"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48096,je faisais tout ce que je voulais et je mangeais
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48099,ce que je voulais et je mangeais tout ce que
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48104,"je mangeais tout ce que j' aimais . Voilà ,"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48109,"j' aimais . Voilà , ma vieille . »En terminant"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48117,"»En terminant ces mots , Suzanne fit un pied de"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48124,un pied de nez à Mariette ; cette dernière hocha
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48126,de nez à Mariette ; cette dernière hocha la tête
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48136,". « Eh bien , ma petite fille , ici"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48161,"- six mille volontés ! Mes petits , en tout"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48174,imitez pas les manières de Suzanne . Vos parents en
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48176,les manières de Suzanne . Vos parents en seraient bien
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48186,"tristes . – Oh ! Mariette , s' écria Nicolas"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48197,"en prenant la main de la bonne , sûrement nous"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48217,"à maman , ni à toi , parce que nous"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48222,"toi , parce que nous t' aimons trop . –"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48227,t' aimons trop . – Tu es un bon petit
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48229,"trop . – Tu es un bon petit , va"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48235,"bon petit , va ! Votre cousine ne m' a"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48238,va ! Votre cousine ne m' a pas fait de
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48247,de peine . . . Elle ne comprend pas ce
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48253,ne comprend pas ce qu' elle dit . – Oh
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48263,! oh ! oh ! tu me crois bête ?
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48264,oh ! oh ! tu me crois bête ? Ah
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48282,"bonne celle - là ! Ton Nicolas , tu dois"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48285,"là ! Ton Nicolas , tu dois lui donner des"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48294,"des confitures en cachette , tu le mets peut -"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48311,de confitures pour qu' il t' aime tant ! »Pierre
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48317,aime tant ! »Pierre et ses frères éclatèrent de rire
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48324,"éclatèrent de rire , mais Nicolas devint rouge de colère"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48332,"de colère . « Tais - toi , je n'"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48335,"« Tais - toi , je n' aime pas Mariette"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48339,", je n' aime pas Mariette parce qu' elle me"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48342,aime pas Mariette parce qu' elle me donne de la
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48343,pas Mariette parce qu' elle me donne de la confiture
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48361,"que . . . »Et Nicolas éclata en sanglots ,"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48368,"en sanglots , en cachant sa figure dans la jupe"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48374,figure dans la jupe de Mariette . « Ah !
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48386,un homme qui pleure ! Je n' ai jamais vu
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48395,"vu ça , s' écria Suzanne en riant aux éclats"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48405,". – Allons , veux - tu te taire et"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48419,". – Oui , dit Suzanne d' un ton condescendant"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48425,"d' un ton condescendant , je laisse ce bébé ."
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48432,ce bébé . »Tandis que Mariette essuyait les larmes de
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48437,"Mariette essuyait les larmes de Nicolas , M . Saint"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48454,"« Mes enfants , voulez - vous venir chez votre"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48458,voulez - vous venir chez votre maman . Nous avons
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48481,. . . T' es - tu un peu amusée
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48487,tu un peu amusée avec tes cousins ?– Oh !
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48494,"?– Oh ! oui , mon oncle » , répondit"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48499,"mon oncle » , répondit Suzanne d' un ton très"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48510,", ce qui fit grommeler Mariette . Suzanne et ses"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48512,qui fit grommeler Mariette . Suzanne et ses cousins entrèrent
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48514,grommeler Mariette . Suzanne et ses cousins entrèrent dans le
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48562,"une fenêtre ; elle prit Suzanne sur ses genoux ,"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48602,pauvre grand - mère de Suzanne . Il y a
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48629,". Étant le tuteur de Suzanne , je dois m'"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48656,"Nous partons ce soir , votre maman et moi ."
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48664,"moi . Nous ne pouvons vous emmener , car cela"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48670,"emmener , car cela interromprait vos études . Du reste"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48684,pas rester longtemps loin de vous . – Oh !
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48743,fils en continuant :« Nous vous confions à Mariette et
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48759,"vous êtes en sûreté . Vous leur obéirez , je"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48769,n' ai pas besoin de vous le recommander . À
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48774,"vous le recommander . À toi aussi , Suzanne ?–"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48777,". À toi aussi , Suzanne ?– Oui , mon"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48781,", Suzanne ?– Oui , mon oncle ! »« Quelle"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48785,", mon oncle ! »« Quelle petite farceuse hypocrite »"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48792,"farceuse hypocrite » , pensèrent ses cousins . « Pour"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48797,"ses cousins . « Pour vos études , notre ami"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48822,"à sept , pendant que vous ferez vos devoirs ."
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48824,", pendant que vous ferez vos devoirs . Il sortira"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48831,. Il sortira aussi avec vous les jours de congé
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48837,les jours de congé et vous accompagnera dans vos promenades
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48840,congé et vous accompagnera dans vos promenades . Vous lui
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48843,accompagnera dans vos promenades . Vous lui obéirez complètement .
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48850,"obéirez complètement . Quant à toi , Suzanne , nous"
Genestoux-Magdeleine-du_Mademoiselle-trouble-fete_<Mariette-1991>_48852,". Quant à toi , Suzanne , nous demandons à"
