,text_surronding
Genevoix-Maurice_Raboliot_<du boulanger-3303>_77829,laisser place à la camionnette du boulanger . Dans le
Genevoix-Maurice_Raboliot_<du boulanger-3303>_77891,"plus loin , et que le boulanger se penchait au"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_77914,", après le canal , sa maison lui est apparue"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_77916,"le canal , sa maison lui est apparue , juste"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_77925,juste dans la seconde où il s' attendait à la
Genevoix-Maurice_Raboliot_<du boulanger-3303>_77933,à la voir . Il lui aurait semblé y rentrer
Genevoix-Maurice_Raboliot_<du boulanger-3303>_77956,était tout simplement comme s' il eût oublié quelque chose
Genevoix-Maurice_Raboliot_<du boulanger-3303>_77964,"quelque chose , et qu' il fût revenu du travail"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_77974,"pour réparer l' oubli qu' il avait fait , pour"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_77989,". A dix mètres de sa maison , une volée"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78007,un ronflement de moteur . Il a songé vaguement :
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78013,a songé vaguement : « Le boulanger n' a pas
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78025,par là . » Et il a fait ses derniers
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78028,"» Et il a fait ses derniers pas , il"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78032,"fait ses derniers pas , il a poussé la porte"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78039,poussé la porte de chez lui . Elle était devenue
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78053,yeux rivés au visage de l' homme et serrant sa
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78056,visage de l' homme et serrant sa poitrine à deux
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78057,de l' homme et serrant sa poitrine à deux mains
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78063,poitrine à deux mains . Elle était trop bouleversée pour
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78075,seule parole . Ce fut lui qui dit en arrivant
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78076,parole . Ce fut lui qui dit en arrivant :—
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78081,qui dit en arrivant :— Te voilà … Te voilà
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78084,"arrivant :— Te voilà … Te voilà , Sandrine ."
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78087,"voilà … Te voilà , Sandrine . Il avait refermé"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78089,"Te voilà , Sandrine . Il avait refermé la porte"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78095,avait refermé la porte et s' était avancé un peu
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78096,"refermé la porte et s' était avancé un peu ,"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78106,sans toutefois aller jusqu' à elle . Elle devait ravauder
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78108,"aller jusqu' à elle . Elle devait ravauder , assise"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78125,"porte du jardin . Quand Raboliot était entré , elle"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78129,"Quand Raboliot était entré , elle s' était levée d'"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78139,"un sursaut , et n' avait plus bougé , toute"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78147,", toute droite ; mais il sentait en elle une"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78150,"; mais il sentait en elle une détresse panique ,"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78161,la fois un élan vers lui et un désir violent
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78167,"et un désir violent de le fuir , de s'"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78181,"les yeux . — N' aie pas peur , lui"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78185,"N' aie pas peur , lui dit - il ."
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78187,"pas peur , lui dit - il . Je ne"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78190,lui dit - il . Je ne suis pas venu
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78198,pas venu pour commander … Je suis venu pour que
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78203,Je suis venu pour que tu me redises ce que
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78204,suis venu pour que tu me redises ce que tu
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78208,tu me redises ce que tu m' as marqué là
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78209,me redises ce que tu m' as marqué là -
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78217,là - dedans – et il montrait la lettre dans
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78222,il montrait la lettre dans sa main – pour être
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78234,pour que ce soit bien toi qui me chasses …
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78236,ce soit bien toi qui me chasses … Elle ne
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78239,toi qui me chasses … Elle ne répondait toujours pas
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78296,de gaîté fraîche qui traversa Raboliot tout entier . Il
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78300,traversa Raboliot tout entier . Il n' avait pas vu
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78323,"de chiffon , nouée sous ses aisselles , la maintenait"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78326,"nouée sous ses aisselles , la maintenait à la perche"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78342,"joignait le carrelage . Et Sylvie tournait tout autour ,"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78348,"tournait tout autour , abandonnant son petit corps , les"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78365,"dans la main . — Elle a bien profité ,"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78371,"a bien profité , dit Raboliot . Il se raidit"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78373,"profité , dit Raboliot . Il se raidit contre la"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78380,"raidit contre la force qui le jetait vers elle ,"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78383,"force qui le jetait vers elle , s' appuya des"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78385,"le jetait vers elle , s' appuya des deux paumes"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78397,", à la table . Il était juste en face"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78414,"du jardin éclairait en plein son visage , ses joues"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78417,"en plein son visage , ses joues creuses et velues"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78423,"joues creuses et velues , ses yeux brillants qui regardaient"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78428,ses yeux brillants qui regardaient Sandrine . Un long moment
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78433,"Sandrine . Un long moment son émotion le suffoqua ,"
Genevoix-Maurice_Raboliot_<du boulanger-3303>_78435,"Un long moment son émotion le suffoqua , trop poignante"
