,text_surronding
Giono-Jean_Colline_<Maurras-844>_20398,. C' est venu de Maurras . Tout à l'
Giono-Jean_Colline_<Maurras-844>_20404,. Tout à l' heure il lui a dit :
Giono-Jean_Colline_<Maurras-844>_20446,", quand je voudrai , tu entends ? « Ce"
Giono-Jean_Colline_<Maurras-844>_20455,Ce n' est pas à toi à me commander .
Giono-Jean_Colline_<Maurras-844>_20462,me commander . « Je te dois quelque chose ?
Giono-Jean_Colline_<Maurras-844>_20471,"? Parce que si je te dois quelque chose ,"
Giono-Jean_Colline_<Maurras-844>_20481,"dis - le , je te payerai . Et si"
Giono-Jean_Colline_<Maurras-844>_20488,". Et si je ne te dois rien , fous"
Giono-Jean_Colline_<Maurras-844>_20498,- moi la paix avec tes commandements . « On
Giono-Jean_Colline_<Maurras-844>_20539,du tout . C' est toi tout seul qui a
Giono-Jean_Colline_<Maurras-844>_20560,"Qu' est - ce que tu es , toi ,"
Giono-Jean_Colline_<Maurras-844>_20563,"ce que tu es , toi , ici , le"
Giono-Jean_Colline_<Maurras-844>_20567,", toi , ici , le pape ? — Bon"
Giono-Jean_Colline_<Maurras-844>_20577,", ça va bien , j' irai , moi ,"
Giono-Jean_Colline_<Maurras-844>_20580,"bien , j' irai , moi , a dit Jaume"
Giono-Jean_Colline_<Maurras-844>_20584,", moi , a dit Jaume , j' irai à"
Giono-Jean_Colline_<Maurras-844>_20586,", a dit Jaume , j' irai à ta place"
Giono-Jean_Colline_<Maurras-844>_20589,"Jaume , j' irai à ta place . » Et"
Giono-Jean_Colline_<Maurras-844>_20594,"ta place . » Et Maurras , qui s' en"
Giono-Jean_Colline_<Maurras-844>_20596,". » Et Maurras , qui s' en allait ,"
Giono-Jean_Colline_<Maurras-844>_20605,", s' est retourné pour lui répondre : — Envoies"
Giono-Jean_Colline_<Maurras-844>_20610,"lui répondre : — Envoies - y Ulalie , elle"
Giono-Jean_Colline_<Maurras-844>_20648,devant sait … Un doute lui prend le cœur :
Giono-Jean_Colline_<Maurras-844>_20654,"prend le cœur : sait - il , vraiment ?"
Giono-Jean_Colline_<Maurras-844>_20661,", vraiment ? — Suis - je de taille à"
Giono-Jean_Colline_<Maurras-844>_20673,la colère des collines ? J' ai de la bonne
Giono-Jean_Colline_<Maurras-844>_20685,et c' est tout . Je leur ai fait monter
Giono-Jean_Colline_<Maurras-844>_20742,"est toujours là , il me semble que j' entends"
Giono-Jean_Colline_<Maurras-844>_20745,", il me semble que j' entends bouger dans la"
Giono-Jean_Colline_<Maurras-844>_20824,"ses jambes enflées . Quand Jaume entre , elle est"
Giono-Jean_Colline_<Maurras-844>_20859,"si tu veux , dit Jaume , profite de ce"
Giono-Jean_Colline_<Maurras-844>_20865,", profite de ce que je suis là , je"
Giono-Jean_Colline_<Maurras-844>_20869,"que je suis là , je vais rester un peu"
Giono-Jean_Colline_<Maurras-844>_20885,"seuls , Janet a parlé le premier , comme s'"
Giono-Jean_Colline_<Maurras-844>_20904,les murs la venue de Jaume . — Tu resteras
Giono-Jean_Colline_<Maurras-844>_20907,venue de Jaume . — Tu resteras jusqu' à ce
Giono-Jean_Colline_<Maurras-844>_20933,", cette fois , écoute - moi bien . J'"
Giono-Jean_Colline_<Maurras-844>_20937,écoute - moi bien . J' avais pas encore osé
Giono-Jean_Colline_<Maurras-844>_20965,"nous sauver , écoute : j' ai vu le chat"
Giono-Jean_Colline_<Maurras-844>_21000,; son regard fuse vers Jaume . — Tourne -
Giono-Jean_Colline_<Maurras-844>_21004,"vers Jaume . — Tourne - moi la tête ,"
Giono-Jean_Colline_<Maurras-844>_21009,"- moi la tête , je te vois mal ,"
Giono-Jean_Colline_<Maurras-844>_21029,il faut se voir . Jaume prend la tête de
Giono-Jean_Colline_<Maurras-844>_21039,"Janet , et , doucement il la tourne vers lui"
Giono-Jean_Colline_<Maurras-844>_21043,doucement il la tourne vers lui . — Là .
Giono-Jean_Colline_<Maurras-844>_21048,"lui . — Là . Tu las vu , quand"
Giono-Jean_Colline_<Maurras-844>_21066,Et c' est maintenant que tu viens me le dire
Giono-Jean_Colline_<Maurras-844>_21068,est maintenant que tu viens me le dire ? —
Giono-Jean_Colline_<Maurras-844>_21087,"fois , on dit que tu las empêchée mais ,"
Giono-Jean_Colline_<Maurras-844>_21092,"tu las empêchée mais , j' ai peur que ça"
Giono-Jean_Colline_<Maurras-844>_21106,à cette heure . — T' as compté les dents
Giono-Jean_Colline_<Maurras-844>_21119,— Les dents ? — T' as vu s' elles
Giono-Jean_Colline_<Maurras-844>_21140,courant du vent ? — T' as parlé le berli
Giono-Jean_Colline_<Maurras-844>_21154,corbelle du corbeau ? — T' as louché ? —
Giono-Jean_Colline_<Maurras-844>_21159,T' as louché ? — T' as vu le nid
Giono-Jean_Colline_<Maurras-844>_21194,brûle dans son respir ? Jaume se demande si c'
Giono-Jean_Colline_<Maurras-844>_21198,? Jaume se demande si c' est le même homme
Giono-Jean_Colline_<Maurras-844>_21200,se demande si c' est le même homme de tout
Giono-Jean_Colline_<Maurras-844>_21212,"heure , aigre et net qui parle ainsi . C'"
Giono-Jean_Colline_<Maurras-844>_21216,net qui parle ainsi . C' est le même :
Giono-Jean_Colline_<Maurras-844>_21218,parle ainsi . C' est le même : le même
Giono-Jean_Colline_<Maurras-844>_21237,"tabac . — Non , j' ai rien fait de"
Giono-Jean_Colline_<Maurras-844>_21247,"tout ça . — Que t' as fait , alors"
Giono-Jean_Colline_<Maurras-844>_21254,"fait , alors ? — Moi , Janet , j'"
Giono-Jean_Colline_<Maurras-844>_21256,"alors ? — Moi , Janet , j' ai dit"
Giono-Jean_Colline_<Maurras-844>_21258,"— Moi , Janet , j' ai dit : «"
Giono-Jean_Colline_<Maurras-844>_21295,et elle est morte . J' ai cherché l' eau
Giono-Jean_Colline_<Maurras-844>_21301,ai cherché l' eau ; j' ai fouillé la terre
Giono-Jean_Colline_<Maurras-844>_21308,"fouillé la terre , puis ma tête . À la"
Giono-Jean_Colline_<Maurras-844>_21326,", là - haut , tu sais où je veux"
Giono-Jean_Colline_<Maurras-844>_21329,"haut , tu sais où je veux dire ? Maintenant"
Giono-Jean_Colline_<Maurras-844>_21347,. Une chose extraordinaire que mon livre ne connaît pas
Giono-Jean_Colline_<Maurras-844>_21491,on y passera . « J' ai peur pour les
Giono-Jean_Colline_<Maurras-844>_21504,"Couillon . — Couillon , je te dis . Et"
Giono-Jean_Colline_<Maurras-844>_21505,". — Couillon , je te dis . Et ça"
Giono-Jean_Colline_<Maurras-844>_21517,", ça . Ah , tu as vu le chat"
Giono-Jean_Colline_<Maurras-844>_21526,chat ; bon . Et tu as mis les hommes
Giono-Jean_Colline_<Maurras-844>_21536,sur les chemins ? » Il rit . Sa bouche
Giono-Jean_Colline_<Maurras-844>_21539,? » Il rit . Sa bouche s' ouvre et
Giono-Jean_Colline_<Maurras-844>_21554,du bois . — Et tu ne veux pas que
Giono-Jean_Colline_<Maurras-844>_21559,tu ne veux pas que je te dise couillon ?
Giono-Jean_Colline_<Maurras-844>_21560,ne veux pas que je te dise couillon ? Sa
Giono-Jean_Colline_<Maurras-844>_21564,je te dise couillon ? Sa voix se fait plus
Giono-Jean_Colline_<Maurras-844>_21574,rauque et plus basse . Il est de pierre .
Giono-Jean_Colline_<Maurras-844>_21579,Il est de pierre . Ses yeux ne cillent pas
Giono-Jean_Colline_<Maurras-844>_21585,yeux ne cillent pas . Il est comme une pierre
Giono-Jean_Colline_<Maurras-844>_21610,"Ne dis pas ça , Janet . On dirait que"
Giono-Jean_Colline_<Maurras-844>_21615,Janet . On dirait que tu en es heureux .
Giono-Jean_Colline_<Maurras-844>_21621,en es heureux . — Je suis bien content ;
Giono-Jean_Colline_<Maurras-844>_21640,trop . — Pourquoi parles - tu comme ça ?
Giono-Jean_Colline_<Maurras-844>_21646,tu comme ça ? « Tu as à te plaindre
Giono-Jean_Colline_<Maurras-844>_21666,est - ce qu' on t' a fait ? —
Giono-Jean_Colline_<Maurras-844>_21677,"êtes toujours là , devant mes yeux , avec vos"
Giono-Jean_Colline_<Maurras-844>_21681,"devant mes yeux , avec vos jambes qui bougent ,"
Giono-Jean_Colline_<Maurras-844>_21687,"jambes qui bougent , avec vos bras comme des branches"
Giono-Jean_Colline_<Maurras-844>_21694,"comme des branches , avec vos ventres tendus ; vous"
Giono-Jean_Colline_<Maurras-844>_21704,avez pas seulement pensé à me donner un peu de
Giono-Jean_Colline_<Maurras-844>_21709,me donner un peu de votre vie . Un petit
Giono-Jean_Colline_<Maurras-844>_21716,". Un petit peu , j' en demandais pas beaucoup"
Giono-Jean_Colline_<Maurras-844>_21725,"beaucoup , juste pour bourrer ma pipe et aller m'"
Giono-Jean_Colline_<Maurras-844>_21729,bourrer ma pipe et aller m' asseoir sous l' arbre
Giono-Jean_Colline_<Maurras-844>_21736,"sous l' arbre . — Tu sais bien , Janet"
Giono-Jean_Colline_<Maurras-844>_21740,"— Tu sais bien , Janet , que ça se"
Giono-Jean_Colline_<Maurras-844>_21759,"ça . Et puis , tu penses un peu aux"
Giono-Jean_Colline_<Maurras-844>_21790,"et son mauvais temps , ta fille , Gondran ,"
Giono-Jean_Colline_<Maurras-844>_21796,"fille , Gondran , qui te fait l' absinthe comme"
Giono-Jean_Colline_<Maurras-844>_21806,il faut ? — Y me la donne plus depuis
Giono-Jean_Colline_<Maurras-844>_21812,la donne plus depuis que je suis malade . —
Giono-Jean_Colline_<Maurras-844>_21861,", tout ça . — Je suis bien prêt ,"
Giono-Jean_Colline_<Maurras-844>_21866,"Je suis bien prêt , moi . — Et tes"
Giono-Jean_Colline_<Maurras-844>_21870,", moi . — Et tes champs , ces morceaux"
Giono-Jean_Colline_<Maurras-844>_21882,"claire dans les arbres , tes olives , tes bons"
Giono-Jean_Colline_<Maurras-844>_21885,"arbres , tes olives , tes bons melons . Tu"
Giono-Jean_Colline_<Maurras-844>_21889,", tes bons melons . Tu y penses un peu"
Giono-Jean_Colline_<Maurras-844>_21899,à toutes ces choses ? Tu veux que ça redevienne
Giono-Jean_Colline_<Maurras-844>_21913,"? — Tout ça , je l' ai au cul"
Giono-Jean_Colline_<Maurras-844>_21919,"l' ai au cul ; je vais devant , c'"
Giono-Jean_Colline_<Maurras-844>_21928,c' est derrière . Où je vais j' en ai
Giono-Jean_Colline_<Maurras-844>_21930,derrière . Où je vais j' en ai pas besoin
Giono-Jean_Colline_<Maurras-844>_21937,ai pas besoin . — Tu es un égoïste .
Giono-Jean_Colline_<Maurras-844>_21943,es un égoïste . — Je m' en fous .
Giono-Jean_Colline_<Maurras-844>_21950,en fous . « Et je te le redis encore
Giono-Jean_Colline_<Maurras-844>_21951,fous . « Et je te le redis encore une
Giono-Jean_Colline_<Maurras-844>_21962,: c' est fini ; vous n' en avez pas
Giono-Jean_Colline_<Maurras-844>_21972,pour un mois . Et tu sais que quand je
Giono-Jean_Colline_<Maurras-844>_21976,"Et tu sais que quand je dis quelque chose ,"
Giono-Jean_Colline_<Maurras-844>_21986,c' est vrai . « Tu te souviens de ta
Giono-Jean_Colline_<Maurras-844>_21990,« Tu te souviens de ta femme ? Je t'
Giono-Jean_Colline_<Maurras-844>_21993,"souviens de ta femme ? Je t' avais prévenu ,"
Giono-Jean_Colline_<Maurras-844>_21994,"de ta femme ? Je t' avais prévenu , pas"
Giono-Jean_Colline_<Maurras-844>_22001,"prévenu , pas vrai ? Tu l' as vue ,"
Giono-Jean_Colline_<Maurras-844>_22009,"vue , pendue ? Et ta fille qui se fait"
Giono-Jean_Colline_<Maurras-844>_22020,par le baveux … » Jaume a bondi . La
Giono-Jean_Colline_<Maurras-844>_22028,. La chaise tombe derrière lui . Il saisit Janet
Giono-Jean_Colline_<Maurras-844>_22030,chaise tombe derrière lui . Il saisit Janet par le
Giono-Jean_Colline_<Maurras-844>_22032,derrière lui . Il saisit Janet par le cou .
Giono-Jean_Colline_<Maurras-844>_22038,"par le cou . — Toi , dit - il"
Giono-Jean_Colline_<Maurras-844>_22041,". — Toi , dit - il , et les"
Giono-Jean_Colline_<Maurras-844>_22049,"et les mots giclent entre ses dents serrées , y"
Giono-Jean_Colline_<Maurras-844>_22058,"y en a assez de tes méchantises , t' es"
Giono-Jean_Colline_<Maurras-844>_22061,"assez de tes méchantises , t' es pire qu' un"
Giono-Jean_Colline_<Maurras-844>_22068,pire qu' un loup . Tu le sais que de
Giono-Jean_Colline_<Maurras-844>_22073,Tu le sais que de ma femme faut rien dire
Giono-Jean_Colline_<Maurras-844>_22080,"faut rien dire , surtout toi . Et de ma"
Giono-Jean_Colline_<Maurras-844>_22084,surtout toi . Et de ma fille … Si t'
Giono-Jean_Colline_<Maurras-844>_22088,de ma fille … Si t' étais droit je te
Giono-Jean_Colline_<Maurras-844>_22091,… Si t' étais droit je te mettrais mon poing
Giono-Jean_Colline_<Maurras-844>_22092,Si t' étais droit je te mettrais mon poing sur
Giono-Jean_Colline_<Maurras-844>_22094,étais droit je te mettrais mon poing sur la gueule
Giono-Jean_Colline_<Maurras-844>_22104,". — Cherche pas . Il se calme , aspire"
Giono-Jean_Colline_<Maurras-844>_22108,". Il se calme , aspire un coup d' air"
Giono-Jean_Colline_<Maurras-844>_22114,"un coup d' air , écoute vers la chambre où"
Giono-Jean_Colline_<Maurras-844>_22122,chambre où dort Marguerite . Il redresse sa chaise et
Giono-Jean_Colline_<Maurras-844>_22124,dort Marguerite . Il redresse sa chaise et s' assied
Giono-Jean_Colline_<Maurras-844>_22128,redresse sa chaise et s' assied . Il est redevenu
Giono-Jean_Colline_<Maurras-844>_22130,chaise et s' assied . Il est redevenu le maître
Giono-Jean_Colline_<Maurras-844>_22133,assied . Il est redevenu le maître de lui -
Giono-Jean_Colline_<Maurras-844>_22136,est redevenu le maître de lui - même . Janet
Giono-Jean_Colline_<Maurras-844>_22140,de lui - même . Janet semble mort . Mais
Giono-Jean_Colline_<Maurras-844>_22147,mort . Mais on entend son petit rire qui grignote
Giono-Jean_Colline_<Maurras-844>_22156,"grignote le silence . — Janet , je ne suis"
Giono-Jean_Colline_<Maurras-844>_22158,"silence . — Janet , je ne suis pas venu"
Giono-Jean_Colline_<Maurras-844>_22167,"venu pour me disputer . Tu vois , je suis"
Giono-Jean_Colline_<Maurras-844>_22170,"disputer . Tu vois , je suis tranquille maintenant ."
Giono-Jean_Colline_<Maurras-844>_22178,maintenant . C' est pas moi tout seul qui risque
Giono-Jean_Colline_<Maurras-844>_22193,penses - y . Si tu sais ce qu' il
Giono-Jean_Colline_<Maurras-844>_22202,"il faut faire , dis - le . — Je"
Giono-Jean_Colline_<Maurras-844>_22206,dis - le . — Je vais te le dire
Giono-Jean_Colline_<Maurras-844>_22208,le . — Je vais te le dire . C'
Giono-Jean_Colline_<Maurras-844>_22244,"serait dessous , étalée . Janet halète ; une petite"
Giono-Jean_Colline_<Maurras-844>_22253,petite haleine d' oiseau . Il a fermé les yeux
Giono-Jean_Colline_<Maurras-844>_22259,a fermé les yeux . Il regarde dans son dedans
Giono-Jean_Colline_<Maurras-844>_22262,yeux . Il regarde dans son dedans ; vers la
Giono-Jean_Colline_<Maurras-844>_22269,; vers la cave de sa poitrine où tant de
Giono-Jean_Colline_<Maurras-844>_22328,un tonneau oublié . « Tu veux savoir ce qu'
Giono-Jean_Colline_<Maurras-844>_22338,"il faut faire , et tu ne connais pas seulement"
Giono-Jean_Colline_<Maurras-844>_22346,pas seulement le monde où tu vis . Tu comprends
Giono-Jean_Colline_<Maurras-844>_22349,monde où tu vis . Tu comprends que quelque chose
Giono-Jean_Colline_<Maurras-844>_22356,"que quelque chose est contre toi , et tu ne"
Giono-Jean_Colline_<Maurras-844>_22359,"est contre toi , et tu ne sais pas quoi"
Giono-Jean_Colline_<Maurras-844>_22369,. Tout ça parce que tu as regardé l' alentour
Giono-Jean_Colline_<Maurras-844>_22382,compte . Je parie que tu n' as jamais pensé
Giono-Jean_Colline_<Maurras-844>_22414,"c' est pas fait pour toi , unique , à"
Giono-Jean_Colline_<Maurras-844>_22419,"toi , unique , à ton usance , sans fin"
Giono-Jean_Colline_<Maurras-844>_22437,de temps en temps . T' es comme un fermier
Giono-Jean_Colline_<Maurras-844>_22471,"en peau de mouton . Tu le connais , le"
Giono-Jean_Colline_<Maurras-844>_22479,", le patron ? « T' as jamais entendu chuinter"
Giono-Jean_Colline_<Maurras-844>_22556,", qu' il dit , t' es tout trempé ,"
Giono-Jean_Colline_<Maurras-844>_22561,"t' es tout trempé , t' as l' œil qui"
Giono-Jean_Colline_<Maurras-844>_22573,"l' oreille qui saigne , t' as donc couru pour"
Giono-Jean_Colline_<Maurras-844>_22578,t' as donc couru pour ta peau ? Pose -
Giono-Jean_Colline_<Maurras-844>_22582,pour ta peau ? Pose - toi entre mes jambes
Giono-Jean_Colline_<Maurras-844>_22589,"entre mes jambes ; n' as pas peur , là"
Giono-Jean_Colline_<Maurras-844>_22595,"pas peur , là , t' es à la douce"
Giono-Jean_Colline_<Maurras-844>_22621,qui arrivent . « Quand tu te dis : il
Giono-Jean_Colline_<Maurras-844>_22633,", c' est qu' il t' a semé pour aller"
Giono-Jean_Colline_<Maurras-844>_22671,"ses jambes le chien et le lapin font ami ,"
Giono-Jean_Colline_<Maurras-844>_22684,", poil contre poil . Le lapinot sent ton chien"
Giono-Jean_Colline_<Maurras-844>_22693,"chien dans l' oreille , ton chien secoue l' oreille"
Giono-Jean_Colline_<Maurras-844>_22712,regarde autour de lui et il a l' air de
Giono-Jean_Colline_<Maurras-844>_22726,pas ma faute si je l' ai coursé tout le
Giono-Jean_Colline_<Salaud-1356>_34390,y aura Janet . « Salaud . « C' est
Giono-Jean_Colline_<Salaud-1356>_34393,. « Salaud . « C' est lui qui a
Giono-Jean_Colline_<Salaud-1356>_34395,Salaud . « C' est lui qui a fait tout
Giono-Jean_Colline_<Salaud-1356>_34403,"fait tout ça , avec sa tête . « Ça"
Giono-Jean_Colline_<Salaud-1356>_34507,« Il a fallu qu' il s' en soit mêlé
Giono-Jean_Colline_<Salaud-1356>_34518,« Il a fallu qu' il sache ce sacré putain
Giono-Jean_Colline_<Salaud-1356>_34538,"loisir , l' enrager quand il veut . « Il"
Giono-Jean_Colline_<Salaud-1356>_34546,« Il a fallu que ce soit ce salaud qui
Giono-Jean_Colline_<Salaud-1356>_34548,a fallu que ce soit ce salaud qui le sache
Giono-Jean_Colline_<Salaud-1356>_34550,que ce soit ce salaud qui le sache . «
Giono-Jean_Colline_<Salaud-1356>_34555,qui le sache . « Il n' a plus que
Giono-Jean_Colline_<Salaud-1356>_34571,fait le mal . « Il ne veut pas y
Giono-Jean_Colline_<Salaud-1356>_34579,pas y aller seul ; il veut qu' on l'
Giono-Jean_Colline_<Salaud-1356>_34583,; il veut qu' on l' accompagne tous avec les
Giono-Jean_Colline_<Salaud-1356>_34610,un roi … « Sûrement il veut tous nous faire
Giono-Jean_Colline_<Salaud-1356>_34624,côté en même temps que lui . « Et ça
Giono-Jean_Colline_<Salaud-1356>_34637,comme un fil … « Il faudrait pas lui laisser
Giono-Jean_Colline_<Salaud-1356>_34640,… « Il faudrait pas lui laisser le temps …
Giono-Jean_Colline_<Salaud-1356>_34647,"le temps … » — Alexandre , donne ta tasse"
Giono-Jean_Colline_<Salaud-1356>_34650,"» — Alexandre , donne ta tasse , dit Marguerite"
Giono-Jean_Colline_<Salaud-1356>_34663,avec la débéloire . — Je lui en laisserai pas
Giono-Jean_Colline_<Salaud-1356>_34664,la débéloire . — Je lui en laisserai pas le
Giono-Jean_Colline_<Salaud-1356>_34672,"pas le temps , pense Jaume , de la rage"
Giono-Jean_Colline_<Salaud-1356>_34698,a la petite bouteille que Jaume a trimbalée toute la
Giono-Jean_Colline_<Salaud-1356>_34708,matinée dans la poche . Gondran plaisante en versant l'
Giono-Jean_Colline_<Salaud-1356>_34727,"avait été du lait , tu aurais fait du beurre"
Giono-Jean_Colline_<Salaud-1356>_34761,pré d' avril . Subitement Jaume se dresse . On
Giono-Jean_Colline_<Salaud-1356>_34766,Jaume se dresse . On le regarde . Il est
Giono-Jean_Colline_<Salaud-1356>_34769,. On le regarde . Il est gêné . Babette
Giono-Jean_Colline_<Salaud-1356>_34789,", il faudrait sortir . J' ai quelque chose à"
Giono-Jean_Colline_<Salaud-1356>_34812,sérieux à la tête de Jaume . Sous le poil
Giono-Jean_Colline_<Salaud-1356>_34820,"le poil non rasé , ses joues sont blanches comme"
Giono-Jean_Colline_<Salaud-1356>_34917,"ne va pas , fait Jaume , en montrant ,"
Giono-Jean_Colline_<Salaud-1356>_34951,ce sera long . « Je n' ai pas voulu
Giono-Jean_Colline_<Salaud-1356>_34991,"y a quelque temps que j' y pense , comme"
Giono-Jean_Colline_<Salaud-1356>_35004,"savoir au juste ; maintenant je sais , et je"
Giono-Jean_Colline_<Salaud-1356>_35008,"maintenant je sais , et je vais vous dire ."
Giono-Jean_Colline_<Salaud-1356>_35025,"c' est grave ce que je vais vous dire ,"
Giono-Jean_Colline_<Salaud-1356>_35032,"vous dire , grave pour moi , et pour vous"
Giono-Jean_Colline_<Salaud-1356>_35048,"d' accord ou pas , je veux savoir si vous"
Giono-Jean_Colline_<Salaud-1356>_35056,si vous avez confiance en moi . Je veux dire
Giono-Jean_Colline_<Salaud-1356>_35058,avez confiance en moi . Je veux dire : si
Giono-Jean_Colline_<Salaud-1356>_35072,"vous demandant quelque chose , je vous le demande parce"
Giono-Jean_Colline_<Salaud-1356>_35094,"» Jaume a regardé surtout Maurras . — Moi ,"
Giono-Jean_Colline_<Salaud-1356>_35097,"regardé surtout Maurras . — Moi , je le crois"
Giono-Jean_Colline_<Salaud-1356>_35099,"Maurras . — Moi , je le crois , fait"
Giono-Jean_Colline_<Salaud-1356>_35104,"je le crois , fait Maurras . Il est sincère"
Giono-Jean_Colline_<Salaud-1356>_35106,"crois , fait Maurras . Il est sincère ; ça"
Giono-Jean_Colline_<Salaud-1356>_35115,ça se voit . — T' as jamais fait de
Giono-Jean_Colline_<Salaud-1356>_35126,", disent les autres . Jaume est de plus en"
Giono-Jean_Colline_<Salaud-1356>_35135,en plus pâle . — J' ai jamais fait de
Giono-Jean_Colline_<Salaud-1356>_35146,; c' est sûr . Je me suis trompé comme
Giono-Jean_Colline_<Salaud-1356>_35164,ce n' est pas de ma faute . Cette fois
Giono-Jean_Colline_<Salaud-1356>_35170,"faute . Cette fois , je ne me trompe pas"
Giono-Jean_Colline_<Salaud-1356>_35176,ne me trompe pas . Je suis sûr de ce
Giono-Jean_Colline_<Salaud-1356>_35182,suis sûr de ce que je vais vous dire ;
Giono-Jean_Colline_<Salaud-1356>_35193,- vous de ça : j' en suis sûr .
Giono-Jean_Colline_<Salaud-1356>_35198,j' en suis sûr . J' ai pas besoin de
Giono-Jean_Colline_<Salaud-1356>_35219,et ce matin ; quand je vous dirai qu' on
Giono-Jean_Colline_<Salaud-1356>_35273,- ci ? — Comment tu veux dire ? —
Giono-Jean_Colline_<Salaud-1356>_35280,"dire ? — Oui : tu te souviens , on"
Giono-Jean_Colline_<Salaud-1356>_35317,saloir et la jarre . J' avais déjà touché un
Giono-Jean_Colline_<Salaud-1356>_35328,au courtier de Pertuis pour mes haricots et les prix
Giono-Jean_Colline_<Salaud-1356>_35352,"ça a commencé . Si j' ai bonne mémoire ,"
Giono-Jean_Colline_<Salaud-1356>_35384,l' a écouté ; ça m' a fait un drôle
Giono-Jean_Colline_<Salaud-1356>_35484,"mal , pas vrai , Arbaud , mais ça ne"
Giono-Jean_Colline_<Salaud-1356>_35504,pas encore . « Quand j' ai vu le chat
Giono-Jean_Colline_<Salaud-1356>_35510,"ai vu le chat , je ne vous l' ai"
Giono-Jean_Colline_<Salaud-1356>_35518,l' ai pas caché : je vous ai dit :
Giono-Jean_Colline_<Salaud-1356>_35533,", à franchement parler , je ne croyais pas que"
Giono-Jean_Colline_<Salaud-1356>_35545,"si mal . Et , j' ai bien réfléchi :"
Giono-Jean_Colline_<Salaud-1356>_35630,y passons . C' est mon avis . — Moi
Giono-Jean_Colline_<Salaud-1356>_35634,"est mon avis . — Moi aussi , dit Arbaud"
Giono-Jean_Colline_<Salaud-1356>_35638,"— Moi aussi , dit Arbaud . — Et voilà"
Giono-Jean_Colline_<Salaud-1356>_35672,"on en sortirait mais , vous voulez que je vous"
Giono-Jean_Colline_<Salaud-1356>_35675,"mais , vous voulez que je vous le dise ?"
Giono-Jean_Colline_<Salaud-1356>_35744,rien dans l' affaire . Il l' enlève enfin de
Giono-Jean_Colline_<Salaud-1356>_35750,l' enlève enfin de devant sa bouche pour laisser sortir
Giono-Jean_Colline_<Salaud-1356>_35755,sa bouche pour laisser sortir sa pensée . — C'
Giono-Jean_Colline_<Salaud-1356>_35764,"C' est bien ça , je ne disais rien ,"
Giono-Jean_Colline_<Salaud-1356>_35770,"ne disais rien , mais j' avais compris . Pas"
Giono-Jean_Colline_<Salaud-1356>_35776,"avais compris . Pas comme tu le dis , tu"
Giono-Jean_Colline_<Salaud-1356>_35780,"comme tu le dis , tu es plus fort que"
Giono-Jean_Colline_<Salaud-1356>_35788,"fort que nous , mais je m' en doutais ."
Giono-Jean_Colline_<Salaud-1356>_35793,"je m' en doutais . Tu as raison , c'"
Giono-Jean_Colline_<Salaud-1356>_35822,? Sous la lèvre de Jaume on voit une dent
Giono-Jean_Colline_<Salaud-1356>_35836,"disparaît . — Il faut le tuer , dit -"
Giono-Jean_Colline_<Salaud-1356>_35840,"faut le tuer , dit - il . Ça ne"
Giono-Jean_Colline_<Salaud-1356>_35880,"et lourde est sortie , Jaume respire mieux . Il"
Giono-Jean_Colline_<Salaud-1356>_35884,", Jaume respire mieux . Il est devenu subitement tout"
Giono-Jean_Colline_<Salaud-1356>_35895,; de grosses veines serrent ses tempes comme les racines
Giono-Jean_Colline_<Salaud-1356>_35904,racines d' un chêne . Il parle d' une voix
Giono-Jean_Colline_<Salaud-1356>_35914,"sans élan qui passe juste sa bouche , puis tombe"
