,text_surronding
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_31994,"» Depuis le matin , j' étais aux prises avec"
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32025,était pas plus méfié de moi que si j' avais
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32028,méfié de moi que si j' avais été un veau
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32062,respecté les convenances . On me poussait vers l' abattoir
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32073,le moindre ménagement . Que j' aie une intelligence quelconque
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32088,. Ils avaient décidé de moi et la cause était
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32095,la cause était entendue . Je ne voulais pas arriver
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32114,"liés , au contraire . Je voulais bien qu' elle"
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32124,"attende un veau , mais je voulais qu' elle reçoive"
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32165,couvrait tous les bruits . Je décidai de profiter de
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32173,profiter de la circonstance . Je me rapprochai de la
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32192,recouvertes d' une bâche . J' en soulevai un coin
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32198,en soulevai un coin . Je vis bien les dindes
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32205,"bien les dindes , mais je vis surtout un lascar"
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32243,. L' alternative qui restait m' était de toute façon
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32265,encore en terrain découvert . Je fis faire un petit
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32274,"petit saut de carpe à mon bidet qui , malgré"
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32295,se débrouilla assez bien . Je me trouvais ainsi sur
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32319,du marchand d' huile . J' avais judicieusement réparti mon
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32323,. J' avais judicieusement réparti mon artillerie dans mes poches
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32326,judicieusement réparti mon artillerie dans mes poches et dans mes
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32330,dans mes poches et dans mes fontes . Un regard
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32341,une fente de la ridelle m' apprit que le lascar
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32375,soit en position de pouvoir me mettre en joue .
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32384,". D' ailleurs il ne me regardait pas , il"
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32408,allait avoir du spectacle . Mes deux gros pistolets de
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32419,étaient chargés à boulets . Je fis feu du premier
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32450,éclatèrent toutes les deux . Je m' étais arrangé pour
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32466,bruit et de fumée . J' avais réussi . Je
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32470,. J' avais réussi . Je pris le pistolet de
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32475,Je pris le pistolet de ma poche gauche et je
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32479,de ma poche gauche et je tirai vers les oreilles
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32549,"quoique fort rapide , elle me paraissait et elle devait"
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32556,et elle devait paraître à mes adversaires très lente aussi
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32562,adversaires très lente aussi . Je m' étais porté à
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32594,tomber de son siège quand je tirai un autre coup
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32612,entendit hurler son fantassin que je venais de blesser à
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32620,blesser à la main . J' avais arrêté la charrette
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32627,arrêté la charrette en mettant ma gauche au mors du
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32634,"au mors du cheval , ma droite était déjà armée"
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32666,va comme ça ? dis - je au marchand de
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32718,pourrait bien l' être . J' avais l' habitude de
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32750,du courage pour travailler . J' avais compté sur leur
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32758,"sur leur couardise , et je ne m' étais pas"
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32874,n' était pas grave . J' avais fait tout ce
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32885,"il fallait pour ça , je n' avais pas besoin"
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32893,pas besoin de plus . Je savais que ces paysans
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32938,", tous les deux . Je pris le fusil ."
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32943,Je pris le fusil . Je fouillai mes deux bonshommes
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32945,le fusil . Je fouillai mes deux bonshommes . C'
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32954,C' était bien ce que je pensais : ils étaient
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_32984,"( le grand flandrin , je crois ) , avait"
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_33008,des coeurs de Marie . Je confisquai sautoirs et bagues
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_33021,"toute réflexion faite ( car j' inventais ) , je"
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_33025,"car j' inventais ) , je pris tout ce qu'"
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_33061,"et continuant à inventer , je les fis déshabiller complètement"
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_33069,déshabiller complètement . « Faites - moi sauter ces chemises
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_33082,"en vitesse , et jetez - moi tout ça dans"
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_33113,"vous faire pendre ailleurs , fouette cocher , ne me"
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_33117,", fouette cocher , ne me laissez pas le temps"
Giono-Jean_Les-recits-de-la-demi-brigade_<j'-1643>_33135,"tous les deux . » Mes pistolets au poing ,"
