,text_surronding
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49325,"entrant dans la loge , madame de D *** n'"
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49356,"être ne viendra - t - elle pas , continua"
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49370,le plus naturel . Je l' ai vue ce matin
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49376,"ai vue ce matin , elle a plusieurs personnes à"
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49383,"plusieurs personnes à dîner chez elle aujourd' hui , elle"
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49387,"chez elle aujourd' hui , elle ne sera sans doute"
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49406,dans la loge comme si madame de D *** lui
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49429,"présence , il parla d' elle comme s' il la"
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49433,d' elle comme s' il la connaissait intimement . Madame
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49474,qui la rassurait . — Madame de D *** est
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49479,Madame de D *** est une femme charmante ! disait
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49494,", si gracieuse ! — Elle est ravissante , reprenait"
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49510,"esprit , d' instruction ; c' est une personne très"
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49512,d' instruction ; c' est une personne très distinguée .
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49538,il n' avait jamais vu madame de D *** que
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49552,était allé en fraude chez elle ; il pouvait la
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49556,"chez elle ; il pouvait la trouver belle , puisqu'"
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49562,"trouver belle , puisqu' il l' avait vue , mais"
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49587,"encore d' autres qualités à madame de D *** ,"
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49598,il jeta les yeux sur Clarisse ; l' expression pénible
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49604,"; l' expression pénible de son visage l' arrêta ,"
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49635,"éloges qu' il prodiguait à madame de D*** , il"
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49648,"Malheureusement , nous allons bientôt la perdre , elle retourne"
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49651,"allons bientôt la perdre , elle retourne en Italie dans"
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49667,magiques ; les joues de Clarisse devinrent roses de plaisir
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49677,", un sourire involontaire éclaira ses traits . — C'"
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49690,"nouvelle que vous donnez à ma fille , dit madame"
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49694,"à ma fille , dit madame Blandais , qui n'"
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49697,", dit madame Blandais , qui n' avait pas suivi"
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49706,suivi ce drame muet ; madame de D *** est
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49711,madame de D *** est sa seule protectrice à Paris
Girardin-Delphine-de_La-canne-de-M-de-Balzac_<madame de D ***-1967>_49717,"seule protectrice à Paris , son absence nous fera grand"
