,text_surronding
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_4554,que des ombres insignifiantes savent m' apporter tout ce qui
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_4606,presser leurs formes tièdes sur son cœur pour qu' elles
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_4611,son cœur pour qu' elles l' envahissent et le dilatent
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_4651,". Humbles et parfaits , mes disparus sont mes esclaves"
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_4654,"parfaits , mes disparus sont mes esclaves . Ils m'"
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_4658,"sont mes esclaves . Ils m' appartiennent , tant je"
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_4662,"Ils m' appartiennent , tant je les vois distinctement ,"
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_4668,"les vois distinctement , comme m' appartiendrait un mort dont"
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_4673,"m' appartiendrait un mort dont j' aurais le portrait ,"
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_4694,sont aussi les seuls auxquels je consente à plaire :
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_4709,", malgré l' averse , je vais marcher , lentement"
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_4727,: au nom d' Édith je veux arriver à ce
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_4741,l' omnibus qui galope derrière moi . J' y suis
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_4743,qui galope derrière moi . J' y suis . Je
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_4747,. J' y suis . Je respire . Vive Édith
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_4774,Et quelle compassion n' aurais - je pas pour Étienne
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_4835,pitoyable . Son sourire éternel me dirait : – Tu
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_4839,éternel me dirait : – Tu vois enfin ? qu'
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_4845,vois enfin ? qu' avais - je besoin de me
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_4855,"hâter dans cette vie ? Ma flânerie , mon ignorance"
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_4858,"vie ? Ma flânerie , mon ignorance s' expliquaient :"
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_4912,"la lune en souvenir de moi , le soir ."
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_4917,"moi , le soir . Tu verras , le ciel"
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_4973,". Il flâne autour de ma chambre , en pardessus"
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_4998,"sur le plus léger de mes fauteuils , et étend"
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5006,et étend la main vers ma table . — Je
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5011,ma table . — Je t' emporte ce roman .
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5018,ce roman . Il enlève mes livres les plus chers
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5058,sont toutes ses excuses . Je me tais . —
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5079,"magasin de couleurs , pour ta commission . Puisqu' il"
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5090,"aime pas le silence , je vais lui répondre :"
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5103,est pas vrai . Il me regarde sans étonnement .
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5109,regarde sans étonnement . — Tu dis ? — Je
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5116,"? — Je dis que tu mens , tu ne"
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5119,"dis que tu mens , tu ne lui as pas"
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5131,Il rabaisse les yeux sur ses bottines avec un air
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5153,"les femmes . — À ton aise , fait -"
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5157,"À ton aise , fait - il . Je ne"
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5160,", fait - il . Je ne lui ai pas"
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5167,"lui ai pas écrit , j' ai écrit au pape"
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5184,"ainsi . — Pourquoi mens - tu toujours , Étienne"
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5188,"mens - tu toujours , Étienne ? Pourquoi mens -"
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5192,", Étienne ? Pourquoi mens - tu avec cette obstination"
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5207,attendant . Il faut que tu touches toujours à quelque
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5215,à quelque objet et que tu le casses . J'
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5219,que tu le casses . J' aime voir mes affaires
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5222,casses . J' aime voir mes affaires en place .
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5230,place . — Maniaque ! Il ne se doute pas
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5242,qui se prépare . — Je te demande pourquoi tu
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5243,se prépare . — Je te demande pourquoi tu mens
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5246,— Je te demande pourquoi tu mens ? Pourquoi racontes
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5251,tu mens ? Pourquoi racontes - tu que Madame de
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5263,"Pourçain divorce à cause de toi , alors que son"
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5273,mari la battait ? Pourquoi m' annonces - tu avec
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5275,battait ? Pourquoi m' annonces - tu avec solennité que
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5280,- tu avec solennité que tu viendras prendre demain le
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5287,prendre demain le thé chez moi avec Fabienne et me
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5291,chez moi avec Fabienne et me laisses - tu acheter
Giraudoux-Jean_L-ecole-des-indifferents_<m'-229>_5293,avec Fabienne et me laisses - tu acheter mes gâteaux
