,text_surronding
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_6850,de tant de prévenances ? Ce petit garçon n' est
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_6863,"fils , et pourtant elle le suit des yeux ,"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_6894,conduite en ce qui concerne l' enfant . Un observateur
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_6914,on adressât la parole à Franz ; ce qui n'
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_6924,"était pas facile , car le fils de Lhena était"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_6955,à fixer l' attention de Franz : « Vois -
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_6959,de Franz : « Vois - tu le Rigi ?
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_6969,"le mont Pilate ? Quand tu seras grand , tu"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_6973,"Quand tu seras grand , tu feras des excursions ;"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_6978,tu feras des excursions ; tu auras un bâton ferré
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_6984,auras un bâton ferré comme ce monsieur . FRANZ .
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_6987,"ferré comme ce monsieur . FRANZ . Nous autres ,"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7011,"sa maîtresse , Catherine conduisit l' enfant dans la salle"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7020,salle à manger ; mais Franz ne voulut rien prendre
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7026,ne voulut rien prendre . Il remonta bien vite et
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7031,Il remonta bien vite et garda le silence jusqu' à
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7048,mire dans le lac réveilla son attention ; puis il
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7052,réveilla son attention ; puis il se disait : «
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7057,il se disait : « Me voici au terme de
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7062,"Me voici au terme de mon voyage , et je"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7066,"de mon voyage , et je serai bien content de"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7072,serai bien content de revoir ma mère . » Tout
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7083,mis en œuvre pour amuser l' enfant : promenades en
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7099,; mais la curiosité de Franz était satisfaite ; il
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7103,de Franz était satisfaite ; il demandait sans cesse à
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7111,cesse à Catherine quel jour il retournerait à Schwytz .
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7121,MADAME SAINT - VICTOR . Tu veux nous quitter déjà
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7127,veux nous quitter déjà ? FRANZ . Ma mère .
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7129,quitter déjà ? FRANZ . Ma mère . . .
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7140,MADAME SAINT - VICTOR . Ta mère ne t' attend
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7143,VICTOR . Ta mère ne t' attend pas sitôt .
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7149,attend pas sitôt . Que t' a - t -
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7157,t - elle dit ? FRANZ . Elle pleurait tant
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7170,pouvait pas parler ; alors je pense qu' elle sera
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7178,elle sera bien contente de me revoir . MADAME SAINT
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7199,". et il faut que tu viennes avec nous ,"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7208,", mon petit . » Franz devint tout à fait"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7221,Catherine essayait - elle de le distraire . Il ne
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7224,elle de le distraire . Il ne parlait que de
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7229,"Il ne parlait que de sa mère , de ses"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7233,"de sa mère , de ses chèvres , de ses"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7237,"de ses chèvres , de ses camarades et du Hacken"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7296,fallait dire la vérité à Franz ; et la tendresse
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7302,; et la tendresse qu' il avait pour sa mère
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7305,"tendresse qu' il avait pour sa mère , la fierté"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7315,et la vivacité naturelles de son caractère apparaissaient à Mme
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7357,la pensée de dire à un pauvre enfant : «
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7362,un pauvre enfant : « tu ne verras plus ta
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7366,"« tu ne verras plus ta mère , ta présence"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7369,"verras plus ta mère , ta présence est nécessaire à"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7391,"châlet allait être offert à Lhena , que l' aisance"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7431,vint trouver la mère de Franz et lui dit :
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7471,"joli troupeau de chèvres . LHENA . Moi , quitter"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7493,à la place où je l' ai bercé sur mes
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7519,"vous , où je crois le voir entrer . Hier"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7532,"positivement entendu le son de sa voix . Non ,"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7540,"Non , non , quand il sera revenu , nous"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7690,". Ma bonne Catherine , le petit Franz est bien"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7701,. Je comprends que vous lui ayez ouvert la porte
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7707,"ayez ouvert la porte . Cet enfant est pauvre ,"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7712,"Cet enfant est pauvre , sa mère tremble qu' il"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7716,", sa mère tremble qu' il ne prenne le métier"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7726,"de guide , et ne finisse comme son père ."
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7728,", et ne finisse comme son père . . ."
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7735,. . . . Je l' adopte . . .
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7756,- VICTOR . Qui vous l' a dit ? CATHERINE
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7793,"certain temps , d' aimer l' enfant , et de"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7799,"enfant , et de m' en faire aimer ? CATHERINE"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7825,"à faire oublier Lhena à Franz , je ne le"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7880,"me seconder , d' encourager l' enfant , de lui"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7884,"encourager l' enfant , de lui faire valoir les avantages"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7890,faire valoir les avantages de sa nouvelle condition et le
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_7900,bien qui en résultera pour sa mère . CATHERINE .
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_8009,fait . Comment annoncer à Franz que Bâle n' était
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_8018,"était pas le terme de son voyage , et qu'"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_8023,"son voyage , et qu' il suivrait désormais Mme Saint"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_8032,Saint - Victor partout ? L' enfant était soucieux quoique
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_8045,"Un matin , Catherine vint lui dire que madame le"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_8049,vint lui dire que madame le demandait . Franz se
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_8052,que madame le demandait . Franz se rendit aussitôt à
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_8078,"elle pâlit en voyant entrer le fils de Lhena ,"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_8084,"fils de Lhena , et lui dit avec émotion :"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_8090,"dit avec émotion : « Franz , m' aimes -"
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_8094,"« Franz , m' aimes - tu ? FRANZ ."
Gouraud-Julie_L-Enfant-du-guide_<Ce petit garçon-296>_8097,m' aimes - tu ? FRANZ . Oh ! oui
