,text_surronding
Gouraud-Julie_Le-Vieux-chateau_<Marthe-551>_8994,"une nombreuse famille , et Marthe , qui était une"
Gouraud-Julie_Le-Vieux-chateau_<Marthe-551>_8996,"famille , et Marthe , qui était une bonne voisine"
Gouraud-Julie_Le-Vieux-chateau_<Marthe-551>_9117,"il expliquait le ciel à Marthe , ce qui lui"
Gouraud-Julie_Le-Vieux-chateau_<Marthe-551>_9174,"étonnait . « Ah ! dame , pensait le brave"
Gouraud-Julie_Le-Vieux-chateau_<Marthe-551>_9277,", mon brave homme ? Germaine n' est pas malade"
Gouraud-Julie_Le-Vieux-chateau_<Marthe-551>_9284,"est pas malade , nous l' avons trouvée embellie et"
Gouraud-Julie_Le-Vieux-chateau_<Marthe-551>_9303,"pas , madame , qu' elle me fait un gros"
Gouraud-Julie_Le-Vieux-chateau_<Marthe-551>_9340,de M . le baron la demande en mariage .
Gouraud-Julie_Le-Vieux-chateau_<Marthe-551>_9351,Et vous redoutez de perdre cette charmante enfant ? —
Gouraud-Julie_Le-Vieux-chateau_<Marthe-551>_9364,"êtes pas , madame ; Germaine refuse d' épouser ce"
Gouraud-Julie_Le-Vieux-chateau_<Marthe-551>_9375,Théodore ; j' ai beau lui dire qu' elle sera
Gouraud-Julie_Le-Vieux-chateau_<Marthe-551>_9378,ai beau lui dire qu' elle sera heureuse avec lui
Gouraud-Julie_Le-Vieux-chateau_<Marthe-551>_9402,"tout à fait gentil , elle dit non , toujours"
Gouraud-Julie_Le-Vieux-chateau_<Marthe-551>_9430,"potager , tout ça ne lui dit rien ; il"
Gouraud-Julie_Le-Vieux-chateau_<Marthe-551>_9457,le deviner ; mais si madame a la bonté de
Gouraud-Julie_Le-Vieux-chateau_<Marthe-551>_9471,", je suis sûr qu' elle se décidera à épouser"
Gouraud-Julie_Le-Vieux-chateau_<Marthe-551>_9496,". — J' irai voir votre fille , mon brave"
Gouraud-Julie_Le-Vieux-chateau_<Marthe-551>_9515,". » Le lendemain , Mme Duquesne et ses enfants"
Gouraud-Julie_Le-Vieux-chateau_<Marthe-551>_9518,"lendemain , Mme Duquesne et ses enfants dirigèrent leur promenade"
