,text_surronding
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24524,"arrivèrent rue de Vaugirard , Mme de Versannes était encore"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24532,"était encore à table , elle avait du monde ."
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24539,du monde . Un laquais lui parla à l' oreille
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24552,"est bien , qu' on la fasse dîner , »"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24558,"fasse dîner , » répondit la jeune femme . CHAPITRE"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24580,éblouie de tout ce qui l' entourait . Une petite
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24590,chambre voisine de celle de sa maîtresse mit le comble
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24596,maîtresse mit le comble à son contentement . Cette chambre
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24613,"de Mme Papon , qui l' avait menacée d' être"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24637,"se faisaient impérieusement passage , Rosine aurait pu se croire"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24644,pu se croire heureuse . Elle fut bien accueillie à
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24697,dîner de noce ! « Je voudrais que Mme Papon
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24708,"petit oiseau , » pensait Rosine . Ursule ne quitta"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24710,", » pensait Rosine . Ursule ne quitta pas sa"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24714,. Ursule ne quitta pas sa jeune compagne avant dix
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24721,compagne avant dix heures ; elle lui fit ses recommandations
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24722,"avant dix heures ; elle lui fit ses recommandations ,"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24724,"heures ; elle lui fit ses recommandations , et lui"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24728,"fit ses recommandations , et lui conseilla de faire un"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24738,somme jusqu' à ce que sa maîtresse l' appelât .
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24740,à ce que sa maîtresse l' appelât . « C'
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24747,". « C' est à votre tour de veiller ,"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24770,"la mère , et je vous avoue que je ne"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24786,aide de camp . » Rosine trouva le conseil excellent
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24792,trouva le conseil excellent ; elle tira de sa malle
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24795,excellent ; elle tira de sa malle un bonnet de
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24807,"et la tête appuyée sur son fauteuil , elle s'"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24810,"appuyée sur son fauteuil , elle s' endormit , ronfla"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24814,", elle s' endormit , ronfla tout à son aise"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24817,"endormit , ronfla tout à son aise . Il était"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24843,brusquement dans la chambre de Rosine . Les éclats de
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24859,"seuls le pouvoir d' éveiller la paysanne , qui ne"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24862,"d' éveiller la paysanne , qui ne songea même pas"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24872,à l' effet produit par son bonnet de coton .
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24885,"dis - moi bonjour , Rosine , et puis bonsoir"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24891,", et puis bonsoir . Pauvre fille ! Comment Ursule"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24897,fille ! Comment Ursule ne t' a - t -
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24911,te coucher ? ne suis - je donc pas capable
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24928,minutes s' écoulèrent avant que Rosine ait pu se rendre
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24938,compte de la situation . Elle ôta enfin son bonnet
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24941,situation . Elle ôta enfin son bonnet de coton et
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24958,de la jeune femme éveillèrent la paysanne . ( P
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24970,". ) « Enfin , te voilà donc ! Ce"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_24994,"Paris ! . . . Tu meurs de sommeil ,"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25004,"ma pauvre Rosine ; couche - toi , et n'"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25017,"ma chambre avant que je t' appelle . Bonsoir ,"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25022,"t' appelle . Bonsoir , dors tranquille , tout ira"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25049,de prolonger le sommeil de la villageoise au delà de
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25057,delà de l' heure où elle s' éveillait habituellement .
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25062,elle s' éveillait habituellement . Rosine se leva bien avant
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25077,qui régnait dans la maison lui permit de mettre ordre
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25083,permit de mettre ordre à ses pensées et à ses
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25087,à ses pensées et à ses effets . Tout en
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25093,effets . Tout en rangeant son modeste trousseau dans une
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25102,"une commode d' acajou , elle pensait à Trouville ,"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25120,la mer surtout qu' il lui semblait entendre encore .
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25136,"un peu d' air , elle n' osa pas ouvrir"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25151,de la tête de carton lui causa une véritable joie
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25167,yeux bleus ébahis réveillaient en elle les plus chers souvenirs
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25174,plus chers souvenirs : « Tu n' es pas belle
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25184,. . . . Mais tu es une vieille amie
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25186,. . Mais tu es une vieille amie . En
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25220,un mouchoir de mousseline protégea sa laideur . Tout était
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25235,et dans les tiroirs ; Rosine se demandait pour combien
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25242,"demandait pour combien de temps elle était prisonnière , lorsque"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25254,"Ursule . « Je viens vous délivrer , ma chère"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25268,"j' en suis sûre , vous n' y tenez plus"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25313,Le café ! ça ne me connaît pas . Si
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25318,me connaît pas . Si je pouvais avoir de la
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25330,"un bout de fromage , je l' aimerais mieux ,"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25346,"serait facile , mais voyez - vous à Paris ,"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25362,dit café au lait . Vous ne seriez pas considérée
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25372,"à l' office , si vous mangiez la soupe le"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25393,qui est bon . » Rosine suivit la vieille bonne
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25402,"bonne sans résistance , et comprit d' emblée l' importance"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25474,", et l' arrivée de Rosine exigeait des frais ,"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25505,leva la séance . « Madame ne se lèvera pas
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25528,"faire un tour , venez Rosine . Règle générale ,"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25553,"avec empressement . « Je vous connais , c' est"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25563,"à l' église que je vous mène , à Saint"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25572,"Saint - Sulpice . Ah dame , c' est beau"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25644,", ne permit pas à Rosine de placer un mot"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25657,"était un avantage , puisque son goût ne s' accordait"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25698,"souvenir dans l' esprit de Mlle Joséphine , et c'"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25710,un véritable plaisir qu' elle la retrouvait . « Assieds
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25715,"la retrouvait . « Assieds - toi ici , près"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25730,raconte - moi ce qui t' est arrivé depuis que
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25735,t' est arrivé depuis que tu nous apportais de si
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25796,"coiffe moi - même , tu auras cependant la bonté"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25832,"» Tout en causant , elle nattait ses beaux cheveux"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25834,"en causant , elle nattait ses beaux cheveux noirs ,"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25839,"ses beaux cheveux noirs , lissait ses bandeaux sans trop"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25840,"beaux cheveux noirs , lissait ses bandeaux sans trop se"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25851,"dans la glace . « Je te dirai , Rosine"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25852,"la glace . « Je te dirai , Rosine ,"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25855,"« Je te dirai , Rosine , que tu ne"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25858,"dirai , Rosine , que tu ne peux pas garder"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25863,tu ne peux pas garder ta mise de village ;
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25873,"c' est dommage , elle te sied à ravir ;"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25887,soumettre à l' usage . Tu es à peu près
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25893,"es à peu près de ma taille , aussi je"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25897,"de ma taille , aussi je vais sans tarder procéder"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25903,vais sans tarder procéder à ton déguisement . Tu porteras
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25906,"procéder à ton déguisement . Tu porteras chapeau , ceci"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25916,est indispensable . » Et l' aimable maîtresse ouvrit une
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25923,"maîtresse ouvrit une armoire , donna deux robes noires ,"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25938,de deuil tout neufs à sa femme de chambre .
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25944,femme de chambre . « Passe - moi ma robe
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25945,"de chambre . « Passe - moi ma robe ,"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25947,". « Passe - moi ma robe , et va"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25952,"ma robe , et va t' habiller ; il me"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25956,va t' habiller ; il me tarde de te voir
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25959,; il me tarde de te voir en demoiselle .
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25965,voir en demoiselle . » La sage Rosine ne se
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25976,"pas prier : seule dans sa chambre , elle examina"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25979,"seule dans sa chambre , elle examina de près les"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_25986,de près les cadeaux de sa maîtresse . Une robe
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26008,avenant . Quel rêve ! Mlle Brou s' ajusta avec
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26017,avec un certain plaisir : elle ne se reconnaissait plus
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26026,plus ! La pensée de Mme Papon se présentait à
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26034,présentait à l' esprit de Rosine dans toutes les circonstances
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26047,"ce changement de costume , elle ne l' ignorait pas"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26059,pouvait obtenir l' assentiment de cette amie raisonnable : «
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26066,raisonnable : « Que dirait - elle ? Ce n'
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26080,"deviner , mais comme disait ma pauvre mère , l'"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26094,le moine . » . Notre villageoise s' étonnait de
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26102,étonnait de porter sans embarras son nouveau costume ; elle
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26106,"embarras son nouveau costume ; elle se trouvait rajeunie ,"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26121,résultat de ce changement . Mme de Versannes éprouva un
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26131,plaisir d' enfant à voir ses hardes sur le dos
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26137,hardes sur le dos de Rosine . Un mois s'
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26148,"à peine écoulé , et la nouvelle femme de chambre"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26157,chambre était au courant de son service . Assise dans
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26181,"un assortiment de mercerie , elle aurait encore pu se"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26194,"renommée de Trouville , si son ouvrage n' eût été"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26222,ordinaires qui passaient jadis par ses mains . Mlle Brou
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26236,faisait pour se passer d' elle . Beaucoup de gens
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26262,de toutes les pratiques de Rosine ; on trouvait sa
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26299,gens de l' hôtel : la privilégiée de madame n'
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26309,"excitait point de jalousie , elle ne s' en faisait"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26319,"pas trop accroire , et fermait les yeux sur ce"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26326,yeux sur ce qui ne la regardait pas . Une
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26352,l' ombre du tableau . Rosine aurait voulu l' habiller
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26376,"à sa bonne pour embrasser Rosine , dont la physionomie"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26378,"bonne pour embrasser Rosine , dont la physionomie douce et"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26384,la physionomie douce et française lui plaisait plus que celle
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26390,plaisait plus que celle de l' étrangère . Tout allait
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26420,"offrait que des avantages à Rosine ; aussi , fut"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26425,"Rosine ; aussi , fut - elle bouleversée , lorsque"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26430,"- elle bouleversée , lorsque sa protectrice lui annonça son"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26432,"bouleversée , lorsque sa protectrice lui annonça son départ ."
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26434,lorsque sa protectrice lui annonça son départ . « Chacun
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26442,"« Chacun son tour , ma fille : je m'"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26445,"tour , ma fille : je m' en retourne dans"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26450,je m' en retourne dans mon Auvergne où j' ai
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26453,retourne dans mon Auvergne où j' ai une petite maison
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26466,et une nièce qui va me soigner jusqu' à la
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26473,jusqu' à la fin de mes jours . » Quoique
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26484,"la plupart du temps , Rosine savait qu' Ursule était"
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26491,qu' Ursule était là ; elle pouvait la consulter au
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26529,appui qui allait manquer à la jeune femme de chambre
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26545,un surcroît d' ouvrage . Elle témoigna ses regrets et
Gouraud-Julie_Les-Quatre-pièces-d'or_<Mme de Versannes-1397>_26547,d' ouvrage . Elle témoigna ses regrets et ses craintes
