,text_surronding
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84050,avec sa piscine turquoise … Marc devait avoir dépassé 1
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84060,500 mètres d' altitude quand il découvrit les premiers villages
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84117,"en 4 x 4 . Il ralentit , et comprit"
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84121,". Il ralentit , et comprit qu' ils ne composaient"
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84206,tenaient d' autres instruments . Marc les rattrapa et observa
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84210,. Marc les rattrapa et observa la longue tige de
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84237,spécialité de la région … Il freina brusquement . «
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84274,d' œil dans les boutiques lui confirma son intuition :
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84276,dans les boutiques lui confirma son intuition : les papillons
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84288,spécialité de la région . Il pénétra dans l' une
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84296,l' une des échoppes et se fit expliquer le phénomène
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84324,était unique au monde . Il reprit sa route .
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84326,au monde . Il reprit sa route . À Tanah
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84340,"mètres d' altitude – , il trouva un restaurant chinois"
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84346,trouva un restaurant chinois et s' installa au fond de
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84347,un restaurant chinois et s' installa au fond de la
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84363,le lieu était désert . Il commanda un café .
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84371,café . Les papillons . Il ne parvenait pas à
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84415,"brune aux relents javellisés , il imagina des pratiques meurtrières"
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84429,"base de papillons . Reverdi lui apparut , déposant ces"
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84458,les incisions . Un détail lui revint . Le taux
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84483,Pour attirer les papillons ? Il commanda un second café
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84490,un second café . Il lui vint à l' esprit
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84527,"ses victimes . Or , Marc en était certain ,"
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84564,"une fiction qui , à ses yeux , avait valeur"
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84582,"la salle faiblement éclairée , il distinguait , au -"
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84635,à un village alpin . Il se concentra sur les
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84676,leur propre note exotique . Il se concentra sur deux
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84699,énormes sacs à dos . Sa conviction revint en force
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84710,Reverdi était venu ici . Il avait chassé sur ces
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84717,chassé sur ces sommets . Il se leva et paya
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84721,. Il se leva et paya . Les papillons :
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84726,paya . Les papillons : il n' avait qu' à
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84733,avait qu' à vérifier . Il visita les ateliers d'
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84748,sont placés sous verre . Il posa ses questions dans
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84750,sous verre . Il posa ses questions dans l' indifférence
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84770,yeux de leur ouvrage . Il partit à l' assaut
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84827,la une des journaux . Il grimpa dans les hauteurs
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84884,"un hôtel . Exténué , il refusait encore de s'"
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84895,vaincu . Mais le crépuscule lui brouillait les idées .
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84911,avait parlé de hauteur et il s' était précipité à
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84921,"la montagne . Ensuite , il s' était inventé un"
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84948,la ville étaient complets . Marc s' aventura dans les
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_84958,environs de Tanah Rata . Il découvrit un manoir en
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_85007,: — Nous allons chercher votre matériel ? — Mon
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_85011,chercher votre matériel ? — Mon matériel ? — Vous
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_85015,— Mon matériel ? — Vous n' êtes pas chasseur
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_85019,— Vous n' êtes pas chasseur ? Chasseur de papillons
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_85059,"très connu . Alors , je pensais … Marc fit"
Grange-Jean-Christophe_La-Ligne-noire_<Marc-3446>_85062,"Alors , je pensais … Marc fit le compte ."
