,text_surronding
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_4943,"Permettez , princesse , dit le général - major en"
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_4984,"avec quelque impatience , et vous le savez bien !"
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5033,faire ! Mais que voulez - vous qu' ils deviennent
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5135,maladie de foie . Croyez - vous qu' ils s'
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5156,de l' autre ? croyez - vous qu' ils se
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5174,ils croyaient s' aimer ? Elle haussa les épaules avec
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5182,"épaules avec dégoût . — Nadia , lui dit sa"
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5184,"dégoût . — Nadia , lui dit sa tante avec"
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5186,"— Nadia , lui dit sa tante avec douceur ,"
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5199,ne sont pas tels que tu les dépeins ! —
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5204,"tu les dépeins ! — Vous avez raison , ma"
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5208,"— Vous avez raison , ma tante ! Il y"
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5236,bien parce que … Mais j' oublie que je suis
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5239,… Mais j' oublie que je suis une demoiselle bien
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5241,"j' oublie que je suis une demoiselle bien élevée ,"
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5252,que certains sujets de conversation me sont interdits . —
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5257,me sont interdits . — Nadia ! fit doucement son
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5261,— Nadia ! fit doucement son père avec un accent
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5270,"accent de tendre reproche . Elle allait parler , lorsque"
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5283,jouèrent une phrase mélodieuse qui la fit tressaillir . —
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5291,. — Écoutez ! dit - elle . On écouta
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5344,"explosion bruyante et banale . Nadia releva la tête ,"
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5350,"releva la tête , qu' elle tenait baissée pour mieux"
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5358,"pour mieux entendre , et ses yeux rencontrèrent le regard"
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5370,". — Quel serait donc votre idéal du mariage ,"
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5375,"votre idéal du mariage , princesse ? dit - il"
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5388,d' une voix nette . La jeune fille le regarda
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5400,"sorte de défi . — Je voudrais , dit -"
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5404,"— Je voudrais , dit - elle avec plus de"
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5411,avec plus de force qu' elle n' en apportait d'
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5423,"de simples conversations mondaines , je voudrais que chaque être"
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5451,"science , peu importe . Je voudrais qu' un homme"
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5505,qui n' ont rien . Je voudrais qu' il fît
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5519,il fût quelqu' un ; je voudrais que ce fût
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5614,réprobation s' éleva autour de Nadia . — Oh !
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5619,Nadia . — Oh ! princesse ! vous le dites
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5621,"— Oh ! princesse ! vous le dites , mais"
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5626,"vous le dites , mais vous ne le feriez pas"
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5641,des attachés au ministère . Nadia se leva et promena
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5645,. Nadia se leva et promena sur ceux qui l'
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5649,et promena sur ceux qui l' entouraient un regard assuré
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5656,un regard assuré . — Moi ? Vous ne me
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5660,— Moi ? Vous ne me connaissez pas ! Eh
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5667,"pas ! Eh bien , je le jure en présence"
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5686,puisque le ciel a voulu me faire riche et de
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5694,"et de haute naissance , je n' épouserai qu' un"
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5720,fait une position honorable . Je le jure ! Elle
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5724,. Je le jure ! Elle étendit sa main droite
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5726,le jure ! Elle étendit sa main droite vers le
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5742,les prendre à témoin de son serment . — Nadia
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5746,de son serment . — Nadia ! fit son père
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5749,. — Nadia ! fit son père frappé au cœur
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5756,"frappé au cœur . — Je l' ai juré ,"
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5761,"Je l' ai juré , mon père , répéta la"
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5765,", mon père , répéta la jeune fille ; mais"
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5774,mais vous savez bien que je ne contrecarrerai pas vos
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5781,contrecarrerai pas vos désirs ; je saurais vivre et mourir
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5834,"les grands arbres . — Princesse , dit tout bas"
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5844,"Korzof , j' aurais à vous parler ; daignerez -"
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5848,à vous parler ; daignerez - vous m' accorder un
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5864,"il vous plaira , fit Nadia , les yeux encore"
Greville-Henry_Le-voeu-de-Nadia_<le général - major-246>_5875,d' une flamme hautaine . Son cercle d' adorateurs l'
