,text_surronding
Greville-Henry_Perdue_<une enfant-2352>_63351,ayant pris auprès d' elle une enfant telle que Simon
Greville-Henry_Perdue_<une enfant-2352>_63368,"père , elle était restée une fillette délicate et mignonne"
Greville-Henry_Perdue_<une enfant-2352>_63378,qui pouvait se douter que la grande jeune fille élancée
Greville-Henry_Perdue_<une enfant-2352>_63390,"une quinzaine d' années , que tout le monde croyait"
Greville-Henry_Perdue_<une enfant-2352>_63406,"mademoiselle de Beaurenom , était l' enfant cherchée ? Enfin"
Greville-Henry_Perdue_<une enfant-2352>_63456,"C' est mademoiselle de Beaurenom que vous cherchez , dit"
Greville-Henry_Perdue_<une enfant-2352>_63478,"habituelle d' énergie patiente . C' est elle , en"
Greville-Henry_Perdue_<une enfant-2352>_63480,"énergie patiente . C' est elle , en effet ,"
Greville-Henry_Perdue_<une enfant-2352>_63485,"elle , en effet , qui a recueilli jadis une"
Greville-Henry_Perdue_<une enfant-2352>_63489,", qui a recueilli jadis une fillette sans parents ;"
Greville-Henry_Perdue_<une enfant-2352>_63495,fillette sans parents ; mais cette petite doit avoir au
Greville-Henry_Perdue_<une enfant-2352>_63530,ne puis deviner comment est cette jeune fille que je
Greville-Henry_Perdue_<une enfant-2352>_63533,comment est cette jeune fille que je n' ai pas
Greville-Henry_Perdue_<une enfant-2352>_63541,ai pas revue depuis qu' elle avait trois ans et
Greville-Henry_Perdue_<une enfant-2352>_63550,et demi … Où demeure la vieille demoiselle ? On
Greville-Henry_Perdue_<une enfant-2352>_63621,"elles étaient blanches … — Marcelle est morte , se"
Greville-Henry_Perdue_<une enfant-2352>_63697,serait un héritier ? — C' est mademoiselle Hermine de
Greville-Henry_Perdue_<une enfant-2352>_63699,"héritier ? — C' est mademoiselle Hermine de Beaurenom ,"
Greville-Henry_Perdue_<une enfant-2352>_63755,tout . — Où est - elle ? dit -
Greville-Henry_Perdue_<une enfant-2352>_63765,il encore égaré . — Mademoiselle Hermine ? On va
Greville-Henry_Perdue_<une enfant-2352>_63770,Mademoiselle Hermine ? On va l' emporter ; l' enterrement
Greville-Henry_Perdue_<une enfant-2352>_63796,"veux ma fille Marcelle , que cette demoiselle avait élevée"
Greville-Henry_Perdue_<une enfant-2352>_63797,"ma fille Marcelle , que cette demoiselle avait élevée près"
Greville-Henry_Perdue_<une enfant-2352>_63803,demoiselle avait élevée près d' elle . Ma fille doit
Greville-Henry_Perdue_<une enfant-2352>_63823,ses esprits . Où est - elle ? Madame Permeny
Greville-Henry_Perdue_<une enfant-2352>_63859,"Oui , mademoiselle Monfort . Elle est ici ! Je"
Greville-Henry_Perdue_<une enfant-2352>_63865,"est ici ! Je veux la voir , je suis"
