,text_surronding
Guy-de-Maupassant_Contes-divers_<1875C'-133>_2484,ainsi troublé la sépulture . 1875C' était un très savant
Guy-de-Maupassant_Contes-divers_<1875C'-133>_2486,la sépulture . 1875C' était un très savant homme que
Guy-de-Maupassant_Contes-divers_<1875C'-133>_2491,un très savant homme que le docteur Héraclius Gloss .
Guy-de-Maupassant_Contes-divers_<1875C'-133>_2504,plus petit opuscule signé de lui n' eût paru chez
Guy-de-Maupassant_Contes-divers_<1875C'-133>_2525,docte cité de Balançon regardaient le docteur Héraclius comme un
Guy-de-Maupassant_Contes-divers_<1875C'-133>_2539,Comment et en quoi était - il docteur ? Nul
Guy-de-Maupassant_Contes-divers_<1875C'-133>_2554,. On savait seulement que son père et son grand
Guy-de-Maupassant_Contes-divers_<1875C'-133>_2557,seulement que son père et son grand - père avaient
Guy-de-Maupassant_Contes-divers_<1875C'-133>_2569,docteurs par leurs concitoyens . Il avait hérité de leur
Guy-de-Maupassant_Contes-divers_<1875C'-133>_2588,de leurs biens ; dans sa famille on était docteur
Guy-de-Maupassant_Contes-divers_<1875C'-133>_2615,". Du reste , s' il ne possédait point de"
Guy-de-Maupassant_Contes-divers_<1875C'-133>_2633,"de quelque illustre faculté , le docteur Héraclius n' en"
Guy-de-Maupassant_Contes-divers_<1875C'-133>_2643,était pas moins pour cela un très digne et très
Guy-de-Maupassant_Contes-divers_<1875C'-133>_2667,"couvraient les quatre panneaux de son vaste cabinet , pour"
Guy-de-Maupassant_Contes-divers_<1875C'-133>_2677,être bien convaincu que jamais docteur plus érudit n' avait
Guy-de-Maupassant_Contes-divers_<1875C'-133>_2696,qu' il était question de sa personne devant M .
Guy-de-Maupassant_Contes-divers_<1875C'-133>_2730,le recteur avait fait de lui un grand éloge en
Guy-de-Maupassant_Contes-divers_<1875C'-133>_2794,osé mettre en doute que le docteur Héraclius Gloss ne
Guy-de-Maupassant_Contes-divers_<1875C'-133>_2800,docteur Héraclius Gloss ne fût un très savant homme .
Guy-de-Maupassant_Contes-divers_<1875C'-133>_2849,"principaux traits du caractère , le docteur Héraclius n' était"
Guy-de-Maupassant_Contes-divers_<1875C'-133>_2864,"démenti à cette assertion . Il était petit , vif"
Guy-de-Maupassant_Contes-divers_<1875C'-133>_2876,". Il y avait en lui du rat , de"
Guy-de-Maupassant_Contes-divers_<1875C'-133>_2894,- à - dire qu' il était de la famille
Guy-de-Maupassant_Contes-divers_<1875C'-133>_2912,"et des infatigables . A le voir , on ne"
Guy-de-Maupassant_Contes-divers_<1875C'-133>_2924,que toutes les doctrines qu' il avait étudiées pussent entrer
Guy-de-Maupassant_Contes-divers_<1875C'-133>_2941,"s' imaginait bien plutôt qu' il devait , lui -"
Guy-de-Maupassant_Contes-divers_<1875C'-133>_2944,"plutôt qu' il devait , lui - même , pénétrer"
Guy-de-Maupassant_Contes-divers_<1875C'-133>_2969,gros livre . Ce qu' il avait surtout de singulier
Guy-de-Maupassant_Contes-divers_<1875C'-133>_2981,était l' extraordinaire minceur de sa personne ; son ami
