,text_surronding
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_22826,"près de la couche d' Yvette éperdue , qui avait"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_22829,"couche d' Yvette éperdue , qui avait envie de crier"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_22844,"de se sauver , et qui pleurait tout haut comme"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_22865,"regarda sa fille , et la voyant affolée de désespoir"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_22921,"ma pauvre petite , si tu savais comme tu me"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_22924,", si tu savais comme tu me fais mal ."
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_22962,"tout bas :– Allons , mignonne , c' est comme"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_22971,"comme ça , que veux - tu ? On n'"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_22991,vie comme elle vient . Yvette continuait de pleurer .
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23007,et trop inattendu pour qu' elle pût réfléchir et se
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23014,réfléchir et se remettre . Sa mère reprit :– Voyons
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23025,"lève - toi , et viens déjeuner , pour qu'"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23037,s' aperçoive de rien . La jeune fille faisait «
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23054,"pouvoir parler ; enfin , elle prononça d' une voix"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23067,"de sanglots :– Non , maman , tu sais ce"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23069,":– Non , maman , tu sais ce que je"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23073,", tu sais ce que je t' ai dit ,"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23074,"tu sais ce que je t' ai dit , je"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23078,"je t' ai dit , je ne changerai pas d'"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23085,changerai pas d' avis . Je ne sortirai pas de
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23090,Je ne sortirai pas de ma chambre avant qu' ils
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23098,qu' ils soient partis . Je ne veux plus voir
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23118,". S' ils reviennent , je … je … tu"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23120,"ils reviennent , je … je … tu ne me"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23122,", je … je … tu ne me reverras plus"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23124,… je … tu ne me reverras plus . La
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23128,ne me reverras plus . La marquise avait essuyé ses
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23132,". La marquise avait essuyé ses yeux , et ,"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23141,", fatiguée d' émotion , elle murmura :– Voyons ,"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23165,", il vaut mieux que tu te reposes ce matin"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23171,te reposes ce matin . Je viendrai te voir dans
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23173,ce matin . Je viendrai te voir dans l' après
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23184,midi . Et ayant embrassé sa fille sur le front
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23190,"fille sur le front , elle sortit pour s' habiller"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23199,"habiller , calmée déjà . Yvette , dès que sa"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23203,". Yvette , dès que sa mère eut disparu ,"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23209,"mère eut disparu , se leva , et courut pousser"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23212,", se leva , et courut pousser le verrou pour"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23224,", bien seule , puis elle se mit à réfléchir"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23245,à travers la porte :– Madame la marquise fait demander
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23251,la marquise fait demander si Mademoiselle n' a besoin de
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23261,"rien , et ce qu' elle veut pour son déjeuner"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23264,ce qu' elle veut pour son déjeuner ?Yvette répondit :–
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23269,son déjeuner ?Yvette répondit :– Je n' ai pas faim
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23275,n' ai pas faim . Je prie seulement qu' on
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23281,prie seulement qu' on ne me dérange pas . Et
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23286,me dérange pas . Et elle demeura au lit comme
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23292,demeura au lit comme si elle eût été fort malade
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23307,on frappa de nouveau . Elle demanda :– Qui est
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23318,?Ce fut la voix de sa mère . – C'
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23324,"mère . – C' est moi , mignonne , je"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23326,"– C' est moi , mignonne , je viens voir"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23332,", je viens voir comment tu vas . Elle hésita"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23335,voir comment tu vas . Elle hésita . Que ferait
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23340,Elle hésita . Que ferait - elle ? Elle ouvrit
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23343,"Que ferait - elle ? Elle ouvrit , puis se"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23348,"Elle ouvrit , puis se recoucha . La marquise s'"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23350,", puis se recoucha . La marquise s' approcha ,"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23370,"convalescente :– Eh bien , te trouves - tu mieux"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23372,"Eh bien , te trouves - tu mieux ? Tu"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23376,trouves - tu mieux ? Tu ne veux pas manger
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23392,", rien du tout . Mme Obardi s' était assise"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23412,"puis , enfin , comme sa fille restait immobile ,"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23427,draps . – Ne vas - tu pas te lever
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23450,"ton grave et lent :– J' ai beaucoup réfléchi ,"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23455,"J' ai beaucoup réfléchi , maman , et voici …"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23461,", et voici … voici ma résolution . Le passé"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23486,ou bien … ou bien je sais ce qui me
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23490,bien je sais ce qui me resterait à faire .
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23505,"fini là - dessus . La marquise , qui croyait"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23508,"dessus . La marquise , qui croyait terminée l' explication"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23519,sentit un peu d' impatience la gagner . C' était
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23539,savoir depuis longtemps . Mais elle ne répondit rien et
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23544,elle ne répondit rien et répéta :– Te lèves -
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23548,"et répéta :– Te lèves - tu ?– Oui ,"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23553,"- tu ?– Oui , je suis prête . Alors"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23558,je suis prête . Alors sa mère lui servit de
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23560,prête . Alors sa mère lui servit de femme de
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23567,"de femme de chambre , lui apportant ses bas ,"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23569,"de chambre , lui apportant ses bas , son corset"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23572,"lui apportant ses bas , son corset , ses jupes"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23575,"bas , son corset , ses jupes ; puis elle"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23579,", ses jupes ; puis elle l' embrassa . –"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23580,ses jupes ; puis elle l' embrassa . – Veux
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23585,l' embrassa . – Veux - tu faire un tour
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23595,"avant dîner ?– Oui , maman . Et elles allèrent"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23624,", dès le matin , Yvette s' en alla toute"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23637,à la place où Servigny lui avait lu l' histoire
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23645,l' histoire des fourmis . Elle se dit :– Je
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23649,. Elle se dit :– Je ne m' en irai
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23665,"pris une résolution . Devant elle , à ses pieds"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23668,". Devant elle , à ses pieds , l' eau"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23700,avec des tournoiements profonds . Elle avait déjà envisagé toutes
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23720,en sortir . Que ferait - elle si sa mère
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23723,Que ferait - elle si sa mère ne tenait pas
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23732,"pas scrupuleusement la condition qu' elle avait posée , ne"
Guy-de-Maupassant_Yvette_<Yvette éperdue-979>_23740,", ne renonçait pas à sa vie , à son"
