,text_surronding
Hemon-Louis_Colin-Maillard_<Mike-1729>_36653,"Quand elle se tut , Mike sentit qu' il était"
Hemon-Louis_Colin-Maillard_<Mike-1729>_36656,"tut , Mike sentit qu' il était toujours au seuil"
Hemon-Louis_Colin-Maillard_<Mike-1729>_36675,se demandant ce qu' il lui restait encore à faire
Hemon-Louis_Colin-Maillard_<Mike-1729>_36694,de sainteté heureuse où elle l' appelait ; la consolation
Hemon-Louis_Colin-Maillard_<Mike-1729>_36704,"et le grand espoir , il voulait cette chose -"
Hemon-Louis_Colin-Maillard_<Mike-1729>_36751,la réponse ? Que direz - vous à Jésus ?
Hemon-Louis_Colin-Maillard_<Mike-1729>_36765,? » Le voisin de Mike lui passa obligeamment un
Hemon-Louis_Colin-Maillard_<Mike-1729>_36766,» Le voisin de Mike lui passa obligeamment un feuillet
Hemon-Louis_Colin-Maillard_<Mike-1729>_36779,"paroles étaient imprimées , et il remua les lèvres et"
Hemon-Louis_Colin-Maillard_<Mike-1729>_36784,il remua les lèvres et fit semblant de chanter .
Hemon-Louis_Colin-Maillard_<Mike-1729>_36795,"cinquante voix s' adressaient à lui , lui demandait instamment"
Hemon-Louis_Colin-Maillard_<Mike-1729>_36797,"s' adressaient à lui , lui demandait instamment ce qu'"
Hemon-Louis_Colin-Maillard_<Mike-1729>_36802,"lui demandait instamment ce qu' il allait faire , la"
Hemon-Louis_Colin-Maillard_<Mike-1729>_36809,"faire , la réponse qu' il devait donner , et"
Hemon-Louis_Colin-Maillard_<Mike-1729>_36815,"devait donner , et quand il vit qu' elle chantait"
Hemon-Louis_Colin-Maillard_<Mike-1729>_36821,vit qu' elle chantait aussi il eut conscience de quelque
Hemon-Louis_Colin-Maillard_<Mike-1729>_36829,de quelque devoir impérieux qu' il ne comprenait pas bien
Hemon-Louis_Colin-Maillard_<Mike-1729>_36847,se leva de nouveau . Mike n' entendait que confusément
Hemon-Louis_Colin-Maillard_<Mike-1729>_36857,ce qu' il disait ; il perçut : « …
Hemon-Louis_Colin-Maillard_<Mike-1729>_36898,voie nouvelle … » Derrière lui quelqu' un se leva
Hemon-Louis_Colin-Maillard_<Mike-1729>_36909,moitié et se pencha sur son épaule en lui prenant
Hemon-Louis_Colin-Maillard_<Mike-1729>_36912,pencha sur son épaule en lui prenant le bras .
Hemon-Louis_Colin-Maillard_<Mike-1729>_36922,"C' était Boulter , qui lui chuchotait à l' oreille"
Hemon-Louis_Colin-Maillard_<Mike-1729>_36947,le salut ce soir et vivez en paix avec vous
Hemon-Louis_Colin-Maillard_<Mike-1729>_36951,et vivez en paix avec vous - même . Hein
Hemon-Louis_Colin-Maillard_<Mike-1729>_36962,"Qu' est - ce que vous choisissez , la gloire"
Hemon-Louis_Colin-Maillard_<Mike-1729>_36995,- être trop tard ! Mike n' écoutait guère et
Hemon-Louis_Colin-Maillard_<Mike-1729>_37000,Mike n' écoutait guère et attendait des ordres plus clairs
Hemon-Louis_Colin-Maillard_<Mike-1729>_37012,"inspiration d' en haut . Elle était assise , les"
Hemon-Louis_Colin-Maillard_<Mike-1729>_37021,"les yeux à terre , son livre d' hymnes entre"
Hemon-Louis_Colin-Maillard_<Mike-1729>_37029,hymnes entre les mains ; elle regardait un coin de
Hemon-Louis_Colin-Maillard_<Mike-1729>_37057,Révérend debout à côté d' elle ; elle semblait s'
Hemon-Louis_Colin-Maillard_<Mike-1729>_37059,à côté d' elle ; elle semblait s' appliquer à
Hemon-Louis_Colin-Maillard_<Mike-1729>_37067,appliquer à ne pas laisser ses regards se tourner vers
Hemon-Louis_Colin-Maillard_<Mike-1729>_37072,ses regards se tourner vers lui . Boulter lui chuchotait
Hemon-Louis_Colin-Maillard_<Mike-1729>_37075,tourner vers lui . Boulter lui chuchotait à l' oreille
Hemon-Louis_Colin-Maillard_<Mike-1729>_37092,"promesses de félicités inouïes , le sommait de ne pas"
Hemon-Louis_Colin-Maillard_<Mike-1729>_37106,prendre le salut pendant qu' il s' offrait . Entre
Hemon-Louis_Colin-Maillard_<Mike-1729>_37114,. Entre ces voix diverses Mike ressentait ce que doit
Hemon-Louis_Colin-Maillard_<Mike-1729>_37135,"rite qu' il ignore : il voulait le salut ,"
Hemon-Louis_Colin-Maillard_<Mike-1729>_37142,"le salut , bien qu' il se moquât des flammes"
Hemon-Louis_Colin-Maillard_<Mike-1729>_37148,se moquât des flammes ; il voulait tout ce dont
Hemon-Louis_Colin-Maillard_<Mike-1729>_37153,il voulait tout ce dont elle avait parlé ; mais
Hemon-Louis_Colin-Maillard_<Mike-1729>_37159,avait parlé ; mais maintenant elle ne disait rien !
Hemon-Louis_Colin-Maillard_<Mike-1729>_37167,rien ! Pourtant voici que ses yeux s' étaient levés
Hemon-Louis_Colin-Maillard_<Mike-1729>_37173,"yeux s' étaient levés sur lui , hâtivement , furtivement"
Hemon-Louis_Colin-Maillard_<Mike-1729>_37180,"hâtivement , furtivement , que ses regards avaient rencontré les"
Hemon-Louis_Colin-Maillard_<Mike-1729>_37197,. Au milieu du silence il se leva . Il
Hemon-Louis_Colin-Maillard_<Mike-1729>_37201,"silence il se leva . Il se leva , et"
Hemon-Louis_Colin-Maillard_<Mike-1729>_37207,"se leva , et ne sut que dire . Il"
Hemon-Louis_Colin-Maillard_<Mike-1729>_37211,ne sut que dire . Il ne comprenait pas exactement
Hemon-Louis_Colin-Maillard_<Mike-1729>_37221,"ce qu' on attendait de lui , et , même"
Hemon-Louis_Colin-Maillard_<Mike-1729>_37227,", et , même s' il l' avait compris ,"
Hemon-Louis_Colin-Maillard_<Mike-1729>_37234,"avait compris , comment aurait - il pu trouver les"
Hemon-Louis_Colin-Maillard_<Mike-1729>_37255,un pied sur l' autre il regardait sans voir par
Hemon-Louis_Colin-Maillard_<Mike-1729>_37267,les rangées de têtes et sondait péniblement son cœur obscur
Hemon-Louis_Colin-Maillard_<Mike-1729>_37269,de têtes et sondait péniblement son cœur obscur . Que
Hemon-Louis_Colin-Maillard_<Mike-1729>_37275,cœur obscur . Que voulait - il donc ? Ah
Hemon-Louis_Colin-Maillard_<Mike-1729>_37290,la grande paix ! Quand il fut sûr de cela
Hemon-Louis_Colin-Maillard_<Mike-1729>_37295,il fut sûr de cela il chercha à se rappeler
Hemon-Louis_Colin-Maillard_<Mike-1729>_37305,les phrases comme celles qu' il avait entendues le dimanche
Hemon-Louis_Colin-Maillard_<Mike-1729>_37326,ou encore comme celles qu' il avait lues dans des
Hemon-Louis_Colin-Maillard_<Mike-1729>_37342,de désœuvrement . Ce qu' il avait à dire ne
Hemon-Louis_Colin-Maillard_<Mike-1729>_37379,ces paroles sacrées ce qu' il sentait en lui .
Hemon-Louis_Colin-Maillard_<Mike-1729>_37382,ce qu' il sentait en lui . Il commença :
Hemon-Louis_Colin-Maillard_<Mike-1729>_37384,il sentait en lui . Il commença : — J'
Hemon-Louis_Colin-Maillard_<Mike-1729>_37388,. Il commença : — J' ai vécu dans les
Hemon-Louis_Colin-Maillard_<Mike-1729>_37407,cela ! Voilà longtemps qu' il était dans les ténèbres
Hemon-Louis_Colin-Maillard_<Mike-1729>_37419,", quand au péché , il n' en pouvait douter"
Hemon-Louis_Colin-Maillard_<Mike-1729>_37428,douter non plus . Que lui demandait - on d'
Hemon-Louis_Colin-Maillard_<Mike-1729>_37469,l' état de sainteté où il entrait . Il répéta
Hemon-Louis_Colin-Maillard_<Mike-1729>_37472,sainteté où il entrait . Il répéta : — J'
Hemon-Louis_Colin-Maillard_<Mike-1729>_37476,. Il répéta : — J' ai vécu dans les
Hemon-Louis_Colin-Maillard_<Mike-1729>_37490,… et soudain les mots lui vinrent . Il proclama
Hemon-Louis_Colin-Maillard_<Mike-1729>_37493,les mots lui vinrent . Il proclama qu' il avait
Hemon-Louis_Colin-Maillard_<Mike-1729>_37496,vinrent . Il proclama qu' il avait accumulé toute sa
Hemon-Louis_Colin-Maillard_<Mike-1729>_37500,qu' il avait accumulé toute sa vie des erreurs et
Hemon-Louis_Colin-Maillard_<Mike-1729>_37510,des iniquités sans nombre dont il comprenait maintenant la laideur
Hemon-Louis_Colin-Maillard_<Mike-1729>_37517,maintenant la laideur ; qu' il avait ignoré Dieu et
Hemon-Louis_Colin-Maillard_<Mike-1729>_37523,avait ignoré Dieu et mis son espoir en des idoles
Hemon-Louis_Colin-Maillard_<Mike-1729>_37529,espoir en des idoles qui l' avaient abandonné ; et
Hemon-Louis_Colin-Maillard_<Mike-1729>_37535,avaient abandonné ; et qu' il s' était cru heureux
Hemon-Louis_Colin-Maillard_<Mike-1729>_37543,"cru heureux , mais qu' il comprenait maintenant qu' il"
Hemon-Louis_Colin-Maillard_<Mike-1729>_37547,qu' il comprenait maintenant qu' il n' avait pas pu
Hemon-Louis_Colin-Maillard_<Mike-1729>_37560,Un moment était venu où il avait senti s' éveiller
Hemon-Louis_Colin-Maillard_<Mike-1729>_37566,"avait senti s' éveiller en lui un grand désir ,"
Hemon-Louis_Colin-Maillard_<Mike-1729>_37575,", une soif ardente qu' il ne savait comment étancher"
Hemon-Louis_Colin-Maillard_<Mike-1729>_37590,la soif du salut qui le brûlait ainsi . Il
Hemon-Louis_Colin-Maillard_<Mike-1729>_37594,qui le brûlait ainsi . Il entendait maintenant parler de
Hemon-Louis_Colin-Maillard_<Mike-1729>_37629,a touchés la foi . Il venait donc chercher le
Hemon-Louis_Colin-Maillard_<Mike-1729>_37642,"toutes ces choses . Quand il se tut , Boulter"
Hemon-Louis_Colin-Maillard_<Mike-1729>_37649,"tut , Boulter dit derrière lui d' une voix retentissante"
Hemon-Louis_Colin-Maillard_<Mike-1729>_37671,: « Alleluia » . Le Révérend le prit par
Hemon-Louis_Colin-Maillard_<Mike-1729>_37673,Alleluia » . Le Révérend le prit par le bras
Hemon-Louis_Colin-Maillard_<Mike-1729>_37679,prit par le bras et l' emmena dans la pièce
Hemon-Louis_Colin-Maillard_<Mike-1729>_37680,par le bras et l' emmena dans la pièce voisine
Hemon-Louis_Colin-Maillard_<Mike-1729>_37687,"la pièce voisine , où il lui parla longuement ."
Hemon-Louis_Colin-Maillard_<Mike-1729>_37688,"pièce voisine , où il lui parla longuement . Par"
Hemon-Louis_Colin-Maillard_<Mike-1729>_37709,doute en l' honneur de sa conversion : « Oh
Hemon-Louis_Colin-Maillard_<Mike-1729>_37719,! Ce sera gloire pour moi ! gloire pour moi
Hemon-Louis_Colin-Maillard_<Mike-1729>_37723,pour moi ! gloire pour moi ! gloire pour moi
Hemon-Louis_Colin-Maillard_<Mike-1729>_37727,pour moi ! gloire pour moi ! Quand par sa
Hemon-Louis_Colin-Maillard_<Mike-1729>_37733,! Quand par sa grâce je pourrai voir sa face
Hemon-Louis_Colin-Maillard_<Mike-1729>_37745,! Ce sera gloire pour moi . » Les voix
