,text_surronding
Huysmans-Joris-Karl_Marthe-et-autres-nouvelles_<Léo-1046>_23794,avait quitté Marthe songeait à Léo . Quelle différence entre
Huysmans-Joris-Karl_Marthe-et-autres-nouvelles_<Léo-1046>_23811,"Où étaient les respects égrillards du poète , les hâtes"
Huysmans-Joris-Karl_Marthe-et-autres-nouvelles_<Léo-1046>_23821,"si ralenties du déshabillé ? Léo défaisait , une à"
Huysmans-Joris-Karl_Marthe-et-autres-nouvelles_<Léo-1046>_23828,", une à une , ses jupes , délaçait son"
Huysmans-Joris-Karl_Marthe-et-autres-nouvelles_<Léo-1046>_23831,"une , ses jupes , délaçait son corsage , la"
Huysmans-Joris-Karl_Marthe-et-autres-nouvelles_<Léo-1046>_23832,", ses jupes , délaçait son corsage , la soie"
Huysmans-Joris-Karl_Marthe-et-autres-nouvelles_<Léo-1046>_23839,", la soie sifflait et lui battait les hanches ,"
Huysmans-Joris-Karl_Marthe-et-autres-nouvelles_<Léo-1046>_23844,"lui battait les hanches , sa gorge s' arrondissait à"
Huysmans-Joris-Karl_Marthe-et-autres-nouvelles_<Léo-1046>_23862,"col aux pieds . Alors il la prenait , la"
Huysmans-Joris-Karl_Marthe-et-autres-nouvelles_<Léo-1046>_23867,"il la prenait , la portait dans le lit ,"
Huysmans-Joris-Karl_Marthe-et-autres-nouvelles_<Léo-1046>_23900,"soir où elle vint chez lui , les premiers instants"
Huysmans-Joris-Karl_Marthe-et-autres-nouvelles_<Léo-1046>_23976,"à perte d' haleine , l' obsédèrent à nouveau et"
Huysmans-Joris-Karl_Marthe-et-autres-nouvelles_<Léo-1046>_23984,"nouveau et , furieuse , elle poussa rudement dans l'"
Huysmans-Joris-Karl_Marthe-et-autres-nouvelles_<Léo-1046>_23990,"poussa rudement dans l' alcôve son amant , qui se"
Huysmans-Joris-Karl_Marthe-et-autres-nouvelles_<Léo-1046>_24013,"bien ! mais non , tu sais , tu m'"
Huysmans-Joris-Karl_Marthe-et-autres-nouvelles_<Léo-1046>_24016,"non , tu sais , tu m' embêtes , toi"
Huysmans-Joris-Karl_Marthe-et-autres-nouvelles_<Léo-1046>_24020,", tu m' embêtes , toi ! Tiens - toi"
