,text_surronding
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_2813,dis - toi : « L' oncle Anghel a brisé
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_2818,L' oncle Anghel a brisé sa vie parce qu' il
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_2822,brisé sa vie parce qu' il a aimé aveuglément la
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_2835,"du village , et qu' il n' a pas regardé"
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_2843,"pas regardé le dessous de son lit , ni le"
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_2850,", ni le derrière de ses oreilles , ni les"
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_2857,", ni les doigts de ses pieds ! » »"
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_2875,"… Après la mort de sa femme , l' oncle"
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_2878,"mort de sa femme , l' oncle Anghel continua ,"
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_2897,une demeure sans gardien . Il se réservait de lui
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_2923,ayant enlevé tout ce qu' il avait de précieux et
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_2932,"et l' entassant autour de sa boutique , il commença"
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_2935,"autour de sa boutique , il commença une vie d'"
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_2946,", mais d' un ermite qui prenait l' habitude de"
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_2959,langue dans l' alcool qu' il vendait . Bel homme
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_2984,"cheveux frisés et grisonnants , il en imposait à tous"
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_2990,"en imposait à tous . Sa myopie , qui l'"
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_2994,". Sa myopie , qui l' obligeait à avancer sa"
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_2998,qui l' obligeait à avancer sa poitrine contre la poitrine
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_3009,"celui qui entrait , pour le reconnaître , n' en"
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_3018,"en impressionnait que davantage . Il était foncièrement bon ,"
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_3025,"foncièrement bon , mais ne supportait pas d' être trop"
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_3046,"leurs propres forces . Et ses forces , il les"
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_3049,". Et ses forces , il les décupla pour atteindre"
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_3055,"les décupla pour atteindre à son but qui était ,"
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_3061,"but qui était , disait - il , de «"
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_3076,"» , le jour où ses enfants seraient dignes de"
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_3081,ses enfants seraient dignes de lui faire honneur . Ainsi
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_3088,"honneur . Ainsi , malgré son désastre , il passait"
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_3091,", malgré son désastre , il passait pour un homme"
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_3099,"un homme riche . Mais sa véritable richesse , son"
Istrati-Panait_Les-recits-d-Adrien-Zograffi_<L' oncle Anghel-151>_3103,"Mais sa véritable richesse , son bonheur , son espoir"
