,text_surronding
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17135,à personne . La servante nous demande : – Vous
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17139,"servante nous demande : – Vous voulez bien , n'"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17149,est - ce pas ? Vous porterez chacun un sac
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17151,"ce pas ? Vous porterez chacun un sac , et"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17159,", et moi je porterai vos valises . Grand -"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17213,si ça vous amuse … Nous partons avec la servante
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17219,partons avec la servante . Nous marchons derrière elle jusqu'
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17228,jusqu' à la cure . Nous voyons ses deux tresses
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17292,une maille a filé . Nous arrivons à la cure
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17302,avec la servante . Elle nous fait entrer par la
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17311,la porte de derrière . Nous déposons les sacs dans
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17321,le garde - manger et nous allons à la buanderie
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17364,"profond . La servante ouvre nos valises , met nos"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17368,"ouvre nos valises , met nos vêtements à tremper dans"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17403,tout de suite ce dont vous avez immédiatement besoin .
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17410,"immédiatement besoin . Pendant que vous vous baignerez , ça"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17418,", ça séchera . Je vous rapporterai les autres habits"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17459,"Alors , qui commence ? Nous ne bougeons pas ."
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17468,". Elle dit : – C' est toi , ou"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17470,"dit : – C' est toi , ou c' est"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17475,"toi , ou c' est toi ? Allez , déshabillez"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17483,", déshabillez - vous ! Nous demandons : – Vous"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17487,! Nous demandons : – Vous voulez rester ici pendant
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17493,voulez rester ici pendant que nous nous baignons ? Elle
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17514,ici ! Je vais même vous frotter le dos et
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17519,vous frotter le dos et vous laver les cheveux .
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17524,vous laver les cheveux . Vous n' allez pas vous
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17539,! Je pourrais presque être votre mère . Nous ne
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17542,presque être votre mère . Nous ne bougeons toujours pas
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17566,"est moi qui commencerai . Vous voyez , je ne"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17575,ne me gêne pas devant vous . Vous n' êtes
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17577,gêne pas devant vous . Vous n' êtes que de
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17581,. Vous n' êtes que de tout petits garçons .
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17600,elle se rend compte que nous la regardons . Elle
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17699,à faire la lessive en nous tournant le dos .
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17706,"le dos . Alors , nous nous déshabillons et nous"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17710,", nous nous déshabillons et nous entrons dans le bain"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17725,largement assez de place pour nous deux . Au bout
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17737,"certain temps , la servante nous tend deux grands linges"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17748,: – J' espère que vous vous êtes bien frottés
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17755,êtes bien frottés partout . Nous sommes assis sur un
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17764,"un banc , emballés dans nos linges , attendant que"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17769,"nos linges , attendant que nos habits sèchent . La"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17797,ciseaux : – Je vais vous couper les ongles .
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17803,couper les ongles . Et cessez de faire des manières
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17811,des manières ; je ne vous mangerai pas . Elle
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17816,vous mangerai pas . Elle nous coupe les ongles des
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17827,et des pieds . Elle nous coupe aussi les cheveux
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17834,aussi les cheveux . Elle nous embrasse sur le visage
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17912,"partout , partout . Elle nous caresse et nous embrasse"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17915,. Elle nous caresse et nous embrasse sur tout le
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17923,tout le corps . Elle nous chatouille avec sa langue
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17949,le banc et elle suce nos sexes qui grandissent et
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17964,Elle est maintenant assise entre nous deux ; elle nous
Kristof-Agota_Le-Grand-Cahier_<nous-563>_17968,entre nous deux ; elle nous serre contre elle :
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18005,comme ça . Elle tire nos têtes vers ses seins
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18016,sont sortis du peignoir et nous en suçons les bouts
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18047,Comme c' est dommage que vous ne soyez pas plus
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18068,"est bon de jouer avec vous ! Elle soupire ,"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18084,"elle se raidit . Quand nous partons , elle nous"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18088,"Quand nous partons , elle nous dit : – Vous"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18092,elle nous dit : – Vous reviendrez tous les samedis
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18101,samedis pour vous baigner . Vous prendrez votre linge sale
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18103,vous baigner . Vous prendrez votre linge sale avec vous
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18107,prendrez votre linge sale avec vous . Je veux que
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18112,vous . Je veux que vous soyez toujours propres .
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18117,vous soyez toujours propres . Nous disons : – Nous
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18121,. Nous disons : – Nous vous apporterons du bois
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18122,Nous disons : – Nous vous apporterons du bois en
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18129,du bois en échange de votre travail . Et des
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18148,". Le samedi suivant , nous revenons prendre notre bain"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18151,"suivant , nous revenons prendre notre bain . Après ,"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18158,". Après , la servante nous dit : – Venez"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18173,vais faire du thé et nous mangerons des tartines .
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18178,nous mangerons des tartines . Nous sommes en train de
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18194,entre dans la cuisine . Nous disons : – Bonjour
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18214,", voici mes protégés . Les petits - fils de"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18235,curé dit : – Je les connais . Venez avec
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18242,. Venez avec moi . Nous le suivons . Nous
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18246,. Nous le suivons . Nous traversons une pièce où
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18271,sur le mur . Puis nous entrons dans une chambre
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18337,Le curé dit : – Vous avez beaucoup changé .
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18342,Vous avez beaucoup changé . Vous êtes propres . Vous
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18346,. Vous êtes propres . Vous avez l' air de
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18367,face à son bureau ; nous nous asseyons . Lui
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18379,derrière son bureau . Il nous tend une enveloppe :
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18395,"en prenant l' enveloppe , nous disons : – Vous"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18450,". Et maintenant , si nous parlions d' autre chose"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18457,d' autre chose ? Il nous regarde ; nous nous
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18460,? Il nous regarde ; nous nous taisons . Il
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18470,dit : – Je ne vous vois jamais à l'
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18478,à l' église . – Nous n' y allons pas
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18486,allons pas . – Priez - vous parfois ? –
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18493,"parfois ? – Non , nous ne prions pas ."
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18508,"prierai pour vous . Savez - vous lire , au"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18520,"– Oui , monsieur . Nous savons lire . Le"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18526,savons lire . Le curé nous tend un livre :
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18537,"Tenez , lisez ceci . Vous y trouverez de belles"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18558,". – Ces histoires , nous les connaissons déjà ."
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18563,nous les connaissons déjà . Nous avons une Bible .
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18568,Nous avons une Bible . Nous avons lu l' Ancien
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18601,"– Oui , monsieur . Nous en savons même plusieurs"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18668,"– Non , monsieur , nous ne les respectons pas"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18708,c' est la guerre . Nous disons : – Nous
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18712,. Nous disons : – Nous aimerions lire d' autres
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18723,"que la Bible , mais nous n' en avons pas"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18737,en avez . Vous pourriez nous en prêter . –
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18762,la Bible ? Le curé nous regarde . Il demande
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18837,pour finir vos tartines . Nous cueillons des cerises dans
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18877,ordonnance s' arrête près de nous . Il dit :
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18926,la maison . La servante nous dit : – Pourquoi
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18966,"homme , l' officier ! Nous demandons : – L'"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_18996,. Et il parle bien notre langue . Elle dit
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19141,nettoyer chambre très sale ? Nous disons : – Nous
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19145,? Nous disons : – Nous voulons bien vous aider
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19165,. Besoin jolie mademoiselle . Nous disons à la servante
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19174,servante : – Venez . On l' aide un peu
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19180,l' aide un peu . Nous allons tous trois dans
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19182,un peu . Nous allons tous trois dans la chambre
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19288,serre très fort . Il nous dit : – Vous
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19292,"Il nous dit : – Vous , dehors ! Et"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19301,Et fermer la porte . Nous demandons à la servante
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19311,: – Vous voulez que nous restions ? Elle rit
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19331,bien toute seule . Alors nous sortons de la chambre
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19337,"sortons de la chambre , nous refermons la porte derrière"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19342,nous refermons la porte derrière nous . La servante vient
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19352,"à la fenêtre , elle nous sourit , elle tire"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19364,et ferme la fenêtre . Nous montons dans le galetas
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19375,", par les trous , nous regardons ce qui se"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19500,"enferme avec l' ordonnance . Nous les regardons parfois ,"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19589,Cologne à la servante . Nous faisons notre exercice d'
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19591,la servante . Nous faisons notre exercice d' immobilité dans
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19603,. Il fait chaud . Nous sommes couchés sur le
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19620,"À travers les feuilles , nous voyons le ciel ,"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19675,"En passant à côté de nous , d' un coup"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19691,sable et du gravier sur notre visage et sur notre
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19695,sur notre visage et sur notre corps . Elle marmonne
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19750,"Soudain , il vient vers nous ; il nous parle"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19753,"vient vers nous ; il nous parle , mais nous"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19757,"il nous parle , mais nous ne répondons pas ,"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19762,"nous ne répondons pas , nous ne le regardons pas"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19779,"Plus tard , l' ordonnance nous dit : – M"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19788,M . l' officier demande vous venir parler avec lui
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19794,venir parler avec lui . Nous ne répondons pas .
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19804,Il dit encore : – Vous lever et venir .
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19812,venir . Officier fâché si vous pas obéir . Nous
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19816,si vous pas obéir . Nous ne bougeons pas .
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19858,"côté de la cheminée , nous nous levons . Nous"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19862,", nous nous levons . Nous allons vers l' officier"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19868,"allons vers l' officier , nous nous arrêtons devant lui"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19879,Il appelle l' ordonnance . Nous demandons : – Que
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19905,". l' officier demander pourquoi vous pas bouger , pas"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19912,"bouger , pas parler ? Nous répondons : – Nous"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19916,? Nous répondons : – Nous faisions notre exercice d'
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19918,répondons : – Nous faisions notre exercice d' immobilité .
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19934,M . l' officier dire vous faire beaucoup d' exercices
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19947,sortes . Il a vu vous taper l' un l'
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19959,ceinture . – C' était notre exercice d' endurcissement .
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19971,. l' officier demander pourquoi vous faire tout ça ?
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19978,tout ça ? – Pour nous habituer à la douleur
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19987,douleur . – Il demander vous plaisir avoir mal ?
Kristof-Agota_Le-Grand-Cahier_<nous-563>_19995,mal ? – Non . Nous voulons seulement vaincre la
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20024,. l' officier admiration pour vous . Il trouver vous
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20028,pour vous . Il trouver vous extraordinaires . L' officier
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20039,quelques mots . L' ordonnance nous dit : – Bon
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20053,", obligé partir maintenant . Vous aussi , filer ,"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20066,pêche . Mais l' officier nous retient par le bras
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20092,", se retourne : – Vous , partir ! Vite"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20122,du jardin d' où il nous crie encore : –
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20131,"– Foutre le camp , vous ! Pas rester !"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20139,"rester ! Pas comprendre , imbéciles ? Il s' en"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20148,"en va . L' officier nous sourit , nous fait"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20151,"L' officier nous sourit , nous fait entrer dans sa"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20166,"sur une chaise , il nous tire à lui ,"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20171,"nous tire à lui , nous soulève , nous fait"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20174,"lui , nous soulève , nous fait asseoir sur ses"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20181,asseoir sur ses genoux . Nous mettons nos bras autour
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20183,ses genoux . Nous mettons nos bras autour de son
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20190,"autour de son cou , nous nous serrons contre sa"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20199,sa poitrine velue . Il nous berce . En dessous
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20205,"berce . En dessous de nous , entre les jambes"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20214,"jambes de l' officier , nous sentons un mouvement chaud"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20220,"sentons un mouvement chaud . Nous nous regardons , puis"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20225,"Nous nous regardons , puis nous regardons l' officier dans"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20234,"dans les yeux . Il nous repousse doucement , il"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20239,"nous repousse doucement , il nous ébouriffe les cheveux ,"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20250,se met debout . Il nous tend deux cravaches et
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20277,"sans connaître sa langue , nous comprenons . Nous frappons"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20280,"langue , nous comprenons . Nous frappons . Une fois"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20304,strie de raies rouges . Nous frappons de plus en
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20332,caleçon jusqu' aux chevilles . Nous frappons ses fesses blanches
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20354,", ses épaules de toutes nos forces , et tout"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20380,"draps , le tapis , nos mains , nos bras"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20383,"tapis , nos mains , nos bras sont rouges ."
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20393,"Le sang gicle même dans nos yeux , se mêle"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20399,"yeux , se mêle à notre transpiration , et nous"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20403,"à notre transpiration , et nous continuons de frapper jusqu'"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20422,", inhumain , et que nous tombions , épuisés ,"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20435,son lit . L' officier nous apporte un dictionnaire dans
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20447,peut apprendre sa langue . Nous apprenons les mots ;
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20455,mots ; l' ordonnance corrige notre prononciation . Quelques semaines
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20463,"Quelques semaines plus tard , nous parlons couramment cette langue"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20470,couramment cette langue nouvelle . Nous ne cessons de faire
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20493,officier est très content de nous . Il nous offre
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20496,content de nous . Il nous offre un harmonica .
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20502,offre un harmonica . Il nous donne aussi une clé
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20512,de sa chambre pour que nous puissions y entrer quand
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20517,nous puissions y entrer quand nous voulons ( nous y
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20520,entrer quand nous voulons ( nous y allions déjà avec
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20525,"nous y allions déjà avec notre clé , mais en"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20535,"cachette ) . Maintenant , nous n' avons plus besoin"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20544,besoin de nous cacher et nous pouvons y faire tout
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20551,y faire tout ce qui nous plaît : manger des
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20565,", fumer des cigarettes . Nous allons souvent dans cette"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20579,"y est propre , et nous y sommes plus tranquilles"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20593,". C' est là que nous faisons nos devoirs ,"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20595,"est là que nous faisons nos devoirs , le plus"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20616,"Couchés sur le lit , nous écoutons de la musique"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20632,"plaisir à l' officier , nous mettons l' hymne national"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20657,"de poing . Parfois , nous nous endormons sur le"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20673,"Un matin , l' ordonnance nous trouve là ; il"
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20688,– C' est imprudence ! Vous plus faire bêtise comme
Kristof-Agota_Le-Grand-Cahier_<nous-563>_20729,"L' ordonnance dit : – Vous , très bêtes ."
