,text_surronding
Le-Roy-Eugene_Jacquou-Le-Croquant_<je-4904>_90286,une vie factice . Comme je l' ai déjà dit
Le-Roy-Eugene_Jacquou-Le-Croquant_<je-4904>_90297,"ces contes de vieilles ne m' effrayaient pas , et"
Le-Roy-Eugene_Jacquou-Le-Croquant_<je-4904>_90302,"m' effrayaient pas , et j' allais souvent à ce"
Le-Roy-Eugene_Jacquou-Le-Croquant_<je-4904>_90368,"libre . Une nuit , j' étais là , assis"
Le-Roy-Eugene_Jacquou-Le-Croquant_<je-4904>_90400,"arbre , le bassinet de mon fusil à l' abri"
Le-Roy-Eugene_Jacquou-Le-Croquant_<je-4904>_90406,"fusil à l' abri sous ma veste , je songeais"
Le-Roy-Eugene_Jacquou-Le-Croquant_<je-4904>_90409,"abri sous ma veste , je songeais . Il faisait"
Le-Roy-Eugene_Jacquou-Le-Croquant_<je-4904>_90462,"- là . Autour de moi , les feuilles de"
Le-Roy-Eugene_Jacquou-Le-Croquant_<je-4904>_90511,"lamentablement à la mort . J' étais triste , cette"
Le-Roy-Eugene_Jacquou-Le-Croquant_<je-4904>_90522,"- là , pensant à ma chère Lina si malheureuse"
Le-Roy-Eugene_Jacquou-Le-Croquant_<je-4904>_90546,"mauvais Guilhem . Depuis que je lui avais parlé ,"
Le-Roy-Eugene_Jacquou-Le-Croquant_<je-4904>_90597,n' était pas heureuse . Je l' avais vue le
Le-Roy-Eugene_Jacquou-Le-Croquant_<je-4904>_90610,", elle avait pleuré en me contant toutes les misères"
Le-Roy-Eugene_Jacquou-Le-Croquant_<je-4904>_90627,"supporter , et ce souvenir me faisait passer dans la"
Le-Roy-Eugene_Jacquou-Le-Croquant_<je-4904>_90653,"les deux , Lina et moi ; mais la crainte"
Le-Roy-Eugene_Jacquou-Le-Croquant_<je-4904>_90662,crainte d' empirer sa position me retenait . Regardant l'
Le-Roy-Eugene_Jacquou-Le-Croquant_<je-4904>_90669,". Regardant l' avenir , je le trouvais rempli de"
Le-Roy-Eugene_Jacquou-Le-Croquant_<je-4904>_90685,"; et puis , reportant ma pensée en arrière et"
Le-Roy-Eugene_Jacquou-Le-Croquant_<je-4904>_90701,"poursuivre notre pauvre famille , je me remémorai mes malheurs"
Le-Roy-Eugene_Jacquou-Le-Croquant_<je-4904>_90704,"famille , je me remémorai mes malheurs , la mort"
Le-Roy-Eugene_Jacquou-Le-Croquant_<je-4904>_90710,"malheurs , la mort de mon père aux galères ,"
Le-Roy-Eugene_Jacquou-Le-Croquant_<je-4904>_90718,"galères , et celle de ma mère dont , à"
Le-Roy-Eugene_Jacquou-Le-Croquant_<je-4904>_90727,"à cette heure encore , mon cœur saignait . Et"
Le-Roy-Eugene_Jacquou-Le-Croquant_<je-4904>_90736,"Et remontant plus haut , je pensai à mon grand"
Le-Roy-Eugene_Jacquou-Le-Croquant_<je-4904>_90739,"haut , je pensai à mon grand - père ,"
