,text_surronding
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_278",". Il se présenta particulièrement un pauvre garçon , maigre"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_286",", maigre et pâle , qui gémissait . Il crachait"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_289","pâle , qui gémissait . Il crachait le sang ,"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_295","crachait le sang , prétendait - il . Le major"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_304","major ricana : — Prouvez - le , mon ami"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_312",mon ami . En attendant vous ferez comme tout le
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_319",comme tout le monde . Charles eut un sursaut .
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_325",eut un sursaut . Parfois son mouchoir se teintait de
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_333","teintait de rose , quand il l' appliquait le matin"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_339",l' appliquait le matin contre sa bouche . Et une
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_346",. Et une vilaine toux lui arrachait les poumons .
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_355",". Fils de veuve , il n' avait point fait"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_367",militaire . Mais la loi l' obligeait à une double
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_377",période sous les drapeaux . Il comptait néanmoins être réformé
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_391",. L' attitude du major lui parut de mauvais présage
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_400",présage . Une voix impérieuse le secoua . Le fourrier
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_405",le secoua . Le fourrier l' apostrophait : — Eh
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_417","qu' est - ce que vous fichez , vous ?"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_420","ce que vous fichez , vous ? Vous ne pouvez"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_422","vous fichez , vous ? Vous ne pouvez pas vous"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_432",déshabiller ? En toute hâte il enleva ses derniers vêtements
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_434","En toute hâte il enleva ses derniers vêtements , et"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_439","ses derniers vêtements , et il resta debout , misérable"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_449",et la peau frissonnante . Ses dents claquaient . Et
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_459","soudain , en face de lui , parmi les hommes"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_465",", parmi les hommes de sa batterie , il aperçut"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_468","hommes de sa batterie , il aperçut l' amant de"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_473",il aperçut l' amant de sa femme – nu .
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_483",Leurs regards se croisèrent . Paul Brancourt le reconnut .
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_502","l' air agressif . Puis Paul , réprimant un sourire"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_512",", tourna la tête , mit les mains sur ses"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_516",", mit les mains sur ses hanches et se campa"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_519",mains sur ses hanches et se campa en une pose
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_628",montait en l' âme de Charles Ramel . Il ne
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_631",âme de Charles Ramel . Il ne pouvait détacher les
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_681",idées tristes s' abattaient sur lui . Tout de suite
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_686",lui . Tout de suite le hanta le souvenir de
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_691",le hanta le souvenir de sa femme . Il se
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_694",souvenir de sa femme . Il se rappela sa tendresse
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_697","femme . Il se rappela sa tendresse pour elle ,"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_702","sa tendresse pour elle , sa foi naïve , son"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_747",de ses gestes . Et il se remémora la scène
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_773",". Depuis , lâchement , il s' efforçait de ne"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_794","bouderies , les querelles , il excusait tout . Les"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_815","Mais , au fond , il savait l' implacable vérité"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_848",", à quelques pas de lui , c' était cet"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_855",c' était cet homme qu' il ne pouvait pas ne
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_869",nudité radieuse . Une colère le cingla . Il serra
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_872","Une colère le cingla . Il serra les poings ,"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_885",ruer sur son rival . Il eût voulu l' abattre
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_895",", écraser cette silhouette dont il sentait l' attitude insolente"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_906","Surtout , une jalousie atroce lui tordait le cœur ."
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_917","peau , les lèvres de sa femme s' y collaient"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_1018","appuyés , des baisers de sa femme ; peut -"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_1027","- être aussi se crispait - il , mordu par"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_1039","rageuses , les dents de sa femme , dont il"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_1043","de sa femme , dont il s' imaginait distinguer les"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_1056",! Des visions plus nettes l' assiégèrent . Il les
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_1059",plus nettes l' assiégèrent . Il les aperçut réellement nus
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_1083",présence de l' amant les lui infligea avec une intensité
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_1098","À voir ces bras , il devinait leur enlacement impérieux"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_1125","siennes . Cette peau touchait sa peau , d' un"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_1133",d' un contact absolu . Il fit un effort suprême
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_1151","se dessinait , identique . Il céda , revint à"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_1154","identique . Il céda , revint à Paul , mais"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_1161","Paul , mais cette fois sa souffrance fut aiguë au"
"Leblanc-Maurice_Contes_<un pauvre garçon , maigre et pâle-21>_1168",fut aiguë au point de lui arracher un sanglot .
