,text_surronding
Lemaitre-Pierre_Au-revoir-la-haut_<- il-759>_23444,d' Édouard ? se demandait - il avec angoisse .
Lemaitre-Pierre_Au-revoir-la-haut_<- il-759>_23589,passa pas trop mal . Albert avait bien estimé la
Lemaitre-Pierre_Au-revoir-la-haut_<- il-759>_23644,"Même pendant son sommeil , Albert continua de lui parler"
Lemaitre-Pierre_Au-revoir-la-haut_<- il-759>_23661,de ce transfert fantôme . Il arriva à la conclusion
Lemaitre-Pierre_Au-revoir-la-haut_<- il-759>_23690,"tranquille , expliqua - t - il , ça m'"
Lemaitre-Pierre_Au-revoir-la-haut_<- il-759>_23694,"t - il , ça m' embête , tu sais"
Lemaitre-Pierre_Au-revoir-la-haut_<- il-759>_23702,tu sais . Mais comme je ne suis pas sûr
Lemaitre-Pierre_Au-revoir-la-haut_<- il-759>_23716,"raisonnable … À regret , il attacha Édouard à son"
Lemaitre-Pierre_Au-revoir-la-haut_<- il-759>_23723,Édouard à son lit et sortit . Dès qu' il
Lemaitre-Pierre_Au-revoir-la-haut_<- il-759>_23732,"il quittait la chambre , il surveillait ses arrières et"
Lemaitre-Pierre_Au-revoir-la-haut_<- il-759>_23734,"la chambre , il surveillait ses arrières et rasait les"
Lemaitre-Pierre_Au-revoir-la-haut_<- il-759>_23737,"il surveillait ses arrières et rasait les murs , mais"
Lemaitre-Pierre_Au-revoir-la-haut_<- il-759>_23765,de l' année ! dit le type . Il s'
Lemaitre-Pierre_Au-revoir-la-haut_<- il-759>_23768,! dit le type . Il s' appelait Grosjean .
Lemaitre-Pierre_Au-revoir-la-haut_<- il-759>_23814,"listes , les rapports , le caporal Grosjean avait l'"
Lemaitre-Pierre_Au-revoir-la-haut_<- il-759>_23822,avait l' air accablé . Il ouvrit un large registre
Lemaitre-Pierre_Au-revoir-la-haut_<- il-759>_23828,"ouvrit un large registre , suivit les colonnes d' un"
Lemaitre-Pierre_Au-revoir-la-haut_<- il-759>_23852,"eu des blessés ici , tu peux pas savoir …"
Lemaitre-Pierre_Au-revoir-la-haut_<- il-759>_23868,"quoi ? – Si , je peux savoir . Grosjean"
Lemaitre-Pierre_Au-revoir-la-haut_<- il-759>_23872,", je peux savoir . Grosjean leva la tête de"
Lemaitre-Pierre_Au-revoir-la-haut_<- il-759>_23877,Grosjean leva la tête de son registre et le regarda
Lemaitre-Pierre_Au-revoir-la-haut_<- il-759>_23881,de son registre et le regarda fixement . Albert mesura
Lemaitre-Pierre_Au-revoir-la-haut_<- il-759>_23884,"et le regarda fixement . Albert mesura son erreur ,"
Lemaitre-Pierre_Au-revoir-la-haut_<- il-759>_23886,"regarda fixement . Albert mesura son erreur , comment se"
Lemaitre-Pierre_Au-revoir-la-haut_<- il-759>_23894,"comment se rattraper , mais Grosjean avait déjà replongé ,"
Lemaitre-Pierre_Au-revoir-la-haut_<- il-759>_23901,"déjà replongé , absorbé dans sa recherche . – Merde"
Lemaitre-Pierre_Au-revoir-la-haut_<- il-759>_23907,"recherche . – Merde , je le connais ce nom"
