,text_surronding
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_16863,éternité d' un spasme . Moi aussi j' avais étreint
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_16865,un spasme . Moi aussi j' avais étreint l' Impure
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_16871,avais étreint l' Impure de mes bras tremblants de fièvre
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_16880,"fièvre et de désir , j' avais répandu devant elle"
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_16885,j' avais répandu devant elle ma vie sur le chemin
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_16892,sur le chemin . Jamais je n' aimai plus follement
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_16938,. Oh ! comme elle me faisait horreur et combien
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_16943,me faisait horreur et combien je l' appelai de l'
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_16972,"divinement terrestre et perfide , me devint bien plus méprisable"
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_16987,"Ève d' Éden , elle m' avait pris par la"
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_16995,"par la main , elle m' avait mené vers l'"
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17020,"les femmes , l' amour m' apparaissait masqué du rictus"
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17033,mort ! Ce fut pour moi la grande épreuve .
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17038,moi la grande épreuve . J' eus des crises de
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17046,crises de sensibilité convulsée où je stagnai aux eaux mortes
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17064,de souffrir l' immortelle souffrance me ramenait à la vie
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17070,ramenait à la vie . J' éprouvai l' évidence que
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17122,replis des cavernes . Et je crus comprendre enfin la
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17147,lieu du hasard malfaisant qui me fit à la fois
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17162,"plaies , de prudents éducateurs m' avaient enseigné que mes"
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17166,"éducateurs m' avaient enseigné que mes organes secrets , symboles"
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17201,"la clarté du ciel , je n' aurais pas été"
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17229,"des plus troubles désirs . Ma parente , déjà âgée"
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17350,roussissures d' automne . Cependant je n' aurais pris attention
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17371,"longue , n' avait forcé mon indifférence . Elle me"
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17375,forcé mon indifférence . Elle me souriait avec une humilité
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17389,"Ses mains , toujours espéraient me frôler . En rentrant"
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17396,". En rentrant , quelquefois j' apercevais ma table fleurie"
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17398,"rentrant , quelquefois j' apercevais ma table fleurie de petits"
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17417,Jamais elle ne pénétrait dans ma chambre sans bruyamment soupirer
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17424,sans bruyamment soupirer . Et j' avais vaguement cette conscience
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17455,un matin qu' un malaise m' avait retenu au lit
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17464,"lit , elle entra chez moi , déposa sur la"
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17511,", en s' appuyant à mon chevet , elle me"
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17515,"à mon chevet , elle me contemplait avec un étrange"
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17531,palettes de ses dents . J' avais retourné la tête
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17558,"aussitôt elle se baissa vers moi , elle me caressa"
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17561,"baissa vers moi , elle me caressa les cheveux de"
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17601,"Non , vrai … Elle me parlait comme en un"
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17609,en un léger délire et me poussait au visage un
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17640,"en travers des draps , me prit dans ses bras"
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17648,"ses bras , pinçant follement ma bouche entre ses lèvres"
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17678,"lascives . Sa rage cependant me laissait calme , je"
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17682,"cependant me laissait calme , je la laissais faire ,"
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17715,fastueuse de ses cheveux . Je compris que toute femme
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17742,fille brûlée de feux volcaniques me prit . Je roulai
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17745,feux volcaniques me prit . Je roulai sous ses seins
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17751,"roulai sous ses seins , ma vie délicieusement s' en"
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17761,alla . Et elle ne me disait que ce mot
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17809,. Ce fut ainsi que je connus l' amour .
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17815,connus l' amour . Il me fut révélé dans le
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17822,"révélé dans le moment où mes fibres saignaient encore ,"
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17846,", outrepassant les réserves de ma pusillanimité , m' enseigna"
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17849,"réserves de ma pusillanimité , m' enseigna le baiser furieux"
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17855,enseigna le baiser furieux que m' eût appris si tendrement
Lemonnier-Camille_L-homme-en-amour_<Moi-724>_17866,", que n' avait pu m' apprendre cette grasse gouge"
