,text_surronding
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_78597,"saluer son protecteur , il le trouva , à son"
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_78622,"à propos , lui dit M . Gérard , sans"
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_78635,main comme de coutume ; j' allais même vous prier
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_78647,"un mot , de venir me voir en particulier ."
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_78670,", en particulier , répéta M . Gérard ; car"
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_78677,Gérard ; car ce que j' ai à vous dire
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_78690,ni pour vous ni pour moi . Asseyez - vous
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_78723,"n' est pas content de vous au collège , et"
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_78736,"juste , c' est sur moi , reprit M ."
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_78739,"est sur moi , reprit M . Gérard avec une"
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_78752,"oui , c' est sur moi que cela retombe ."
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_78764,donc venu se plaindre à moi ; il m' en
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_78767,plaindre à moi ; il m' en coûte de vous
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_78781,enfin il le faut . J' ai dit qu' on
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_78789,qu' on est mécontent de vous ; je vais préciser
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_78791,est mécontent de vous ; je vais préciser : on
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_78801,ne se plaint pas de votre service de jour ;
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_78835,oreilles . – Ah ! vous avouez ! … Habemus
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_78844,"Habemus confitentem reum , dit l' excellent M . Gérard"
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_78863,", et se déridant malgré lui par cette citation empruntée"
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_78869,par cette citation empruntée a son domaine professionnel . Mais
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_78882,"vite à la sévérité qu' il s' était prescrite ,"
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_78887,"il s' était prescrite , il reprit : – Vous"
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_78894,": – Vous comprenez , mon ami , c' est"
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_78948,"voulu , par considération pour moi , dit - il"
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_78951,"considération pour moi , dit - il , et je"
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_78955,"dit - il , et je lui en suis obligé"
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_78988,"rien ; bref , il m' a parlé de la"
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_79013,"il ? Vous pouvez tout me dire , à moi"
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_79017,"tout me dire , à moi , j' imagine ?"
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_79019,"dire , à moi , j' imagine ? . Tenez"
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_79028,Tenez ! voulez - vous me permettre de vous interroger
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_79035,"de vous interroger , et me promettez - vous de"
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_79042,- vous de répondre à mes questions ? – Comme
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_79075,"de grands mots , je vous en prie ; répondez"
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_79080,"vous en prie ; répondez - moi tout simplement ,"
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_79124,- vous ? interrogea nettement M . Gérard . –
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_79156,"en ville ? . répéta M . Gérard , qui"
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_79160,"répéta M . Gérard , qui croyait avoir mal entendu"
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_79169,"entendu . – Oui , monsieur . – Ah !"
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_79183,Et où cela . si je ne suis pas trop
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_79200,. – Non . – Je n' ose dire dans
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_79261,- dessus les murs … M . Gérard fut stupéfié
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_79268,Gérard fut stupéfié . En sa qualité de président du
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_79279,"d' administration prenant à cœur son mandat , et ne"
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_79297,"sur un immeuble confié à sa haute surveillance , il"
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_79301,"à sa haute surveillance , il était , nous le"
Leriche-Henri_Henri-Leriche-La-Soutane-aux-orties_<le-2584>_79322,! … répéta - t - il machinalement … vous
