,text_surronding
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_111950,Nichette entra encore : – C' est un monsieur qui
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_111954,– C' est un monsieur qui s' appelle Dixmer et
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_111959,qui s' appelle Dixmer et qui demande à voir monsieur
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_111971,"suite . – Qui est - ce , Dixmer ?"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_111974,"Qui est - ce , Dixmer ? – Un haut"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_111977,"ce , Dixmer ? – Un haut fonctionnaire de la"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_111985,de la police . – Il est votre ami ?
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112007,Permettez - moi d' aller lui dire deux mots …
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112041,de Liliane et courut rejoindre Dixmer qui l' attendait dans
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112042,Liliane et courut rejoindre Dixmer qui l' attendait dans le
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112113,"lucidité , sa force . Dixmer n' avait pas quitté"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112122,quitté le déguisement que nous lui connaissons depuis son apparition
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112125,que nous lui connaissons depuis son apparition à l' Hôtellerie
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112137,"Mappemonde . Du reste , il n' eût point osé"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112145,point osé se montrer en Dixmer tant qu' il n'
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112148,montrer en Dixmer tant qu' il n' avait point réduit
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112172,"mort entre eux , et il n' avait pas eu"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112182,besoin de l' assurance que lui en avait fait Patte
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112200,Pourquoi Patte - d' Oie l' avait - il épargné
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112206,avait - il épargné ? Il ne le savait pas
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112214,"savait pas encore , mais il pensait bien qu' il"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112223,il ne dépendait que de lui d' en connaître la
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112235,"cette nuit même , s' il allait la chercher au"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112250,sergent du roi des Catacombes lui avait fixé au cabaret
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112262,Ange Gardien . Mais irait - il ? Pourquoi pas
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112279,"eu de mauvais desseins contre lui , il n' avait"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112281,"mauvais desseins contre lui , il n' avait , l'"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112299,"… Tout de même , Dixmer était perplexe … La"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112307,… La voix de Sinnamari le tira de cette perplexité
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112330,", de bonnes nouvelles . Vous pourriez bien avoir raison"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112347,"s' écria Sinnamari … Surtout Dixmer , pas de gaffes"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112397,"travaillé autour . Moi , je crois que c' est"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112439,il venait de recevoir . Dixmer la lut : –
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112489,"Qu' est - ce que vous avez découvert , Dixmer"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112493,"que vous avez découvert , Dixmer , qui vous fait"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112496,"découvert , Dixmer , qui vous fait croire davantage que"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112522,"choses … D' abord , j' ai vu un des"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112538,"un nommé Cassecou , que je connais bien , sortir"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112646,nom de Master Bob . J' aurais pu le faire
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112738,servirait à rien … Si vous voulez que je vous
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112741,… Si vous voulez que je vous explique comment ils
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112742,Si vous voulez que je vous explique comment ils sont
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112779,C . ? … – Je le crois … –
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112790,! Taisez - vous ! Je le fais arrêter tout
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112808,qu' il faudrait ! … Vous pensez bien que s'
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112918,déjouer toutes nos combinaisons … Vous le savez bien vous
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112922,… Vous le savez bien vous - même puisque vous
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112926,bien vous - même puisque vous en étiez ! …
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112938,est vrai ! fit mélancoliquement Dixmer . – Comprenez qu'
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112977,! … – Ce que je vous ai dit ne
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112978,… – Ce que je vous ai dit ne vous
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112982,"je vous ai dit ne vous suffit pas , monsieur"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112986,"ne vous suffit pas , monsieur le procureur impérial ?"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_112995,? – Non ! Il me faut d' autres preuves
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113008,toute la paperasserie diplomatique qui me recommande ce singulier comte
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113014,"recommande ce singulier comte … Songez , Dixmer , que"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113016,"singulier comte … Songez , Dixmer , que le comte"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113045,"prisonnier autrefois … Cassecou , votre Vautour , peuvent bien"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113078,"– Ecoutez , dit résolument Dixmer , je le saurai"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113080,", dit résolument Dixmer , je le saurai ce soir"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113092,Comment cela ? … – Je le demanderai à quelqu'
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113109,". C . , qui me veut , paraît -"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113132,"- d' Oie , qui m' a donné rendez -"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113175,bombe avec leurs gigolettes . Je me déguiserai en Titi
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113185,de Pantruche ce soir et j' irai le rejoindre .
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113190,j' irai le rejoindre . Je verrai de quoi il
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113203,"- d' Oie , et je cours le risque d'"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113216,qui y vient quelquefois . Je leur tirerai les vers
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113239,"doit savoir , et ça m' étonnerait bien si Patte"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113250,"d' Oie … Seulement , je vais avertir la Sûreté"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113270,de l' Ange Gardien … Je ne tiens pas à
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113275,Je ne tiens pas à me faire assassiner là -
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113286,", car au fond , je ne connais pas leurs"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113295,leurs intentions bien exactes à mon égard . – Faites
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113301,"égard . – Faites ! Prenez toutes vos précautions ,"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113303,"– Faites ! Prenez toutes vos précautions , Dixmer …"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113306,"Prenez toutes vos précautions , Dixmer … C' est cela"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113322,! – Entendu ! acquiesça Dixmer . – Et l'
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113419,mot d' ordre … Il me faudrait le mot d'
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113431,le sifflet … Tant que je n' aurai pas cela
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113442,rien à faire … Mais je l' aurai peut -
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113463,plus tôt possible ! … Je sens qu' il va
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113489,Qu' est - ce que vous espérez ? – Tout
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113495,espérez ? – Tout ! Je suis devenu intime avec
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113525,"rapprochés … A propos , j' ai découvert , dans"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113546,un nommé Robert Pascal ; j' ai failli me faire
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113577,"curieux , ce garçon , mon cher Dixmer ? –"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113623,"» – Tiens ! fit Sinnamari , surpris . Où"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113630,surpris . Où donc ai - je déjà entendu cette
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113639,"cette phrase - là , moi ! … Chapitre 16"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113647,"Chapitre 16 LE TROISIEME SOUHAIT Sinnamari , après avoir vainement"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113656,vainement cherché au fond de sa mémoire endormie dans quelle
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113668,"ou à quelle époque , il avait pu entendre cette"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113715,", sur l' empressement qu' il fallait montrer à réussir"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113794,"comte . – Allons , mon cher Dixmer , recommanda"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113799,"mon cher Dixmer , recommanda Sinnamari avant de le congédier"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113814,"nuit . Dixmer partit et Sinnamari courut au boudoir ,"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113820,"courut au boudoir , où il retrouva Liliane apprenant son"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113838,"en déposant son livre , vous ne m' avez pas"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113861,"le procureur , recevez toutes mes excuses . La faute"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113879,ce troisième souhait ? – Vous rappelez - vous la
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113881,souhait ? – Vous rappelez - vous la promenade que
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113920,promenade - là que je vous ai suppliée de tout
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_113981,"redescendus derrière Paris , par je ne sais plus quelle"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114065,"… dangereux même … – Vous rappelez - vous ,"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114067,"même … – Vous rappelez - vous , Sinna ,"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114070,"Vous rappelez - vous , Sinna , ce qui s'"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114085,"– Ma foi non , Liliane … – Comme je"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114089,", Liliane … – Comme je vantais le charme de"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114099,"cette thébaïde , et que je m' étonnais qu' elle"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114113,"dans la belle saison , vous avez étendu la main"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114122,main vers ces murs et vous m' avez dit :
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114123,vers ces murs et vous m' avez dit : «
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114133,"Oui , tout cela , mademoiselle , c' est du"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114147,une propriété qui est à moi et où je n'
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114150,est à moi et où je n' ai pas remis
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114163,vingt ans … » – Je vous ai dit cela
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114164,"ans … » – Je vous ai dit cela ,"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114169,"vous ai dit cela , Liliane ? Après tout ,"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114179,"c' est bien possible … J' ai , en effet"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114194,coin de terrain inculte dont je n' ai jamais rien
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114203,rien fait … Que voulez - vous que j' aille
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114206,Que voulez - vous que j' aille faire rue des
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114218,demanda avec une curiosité aiguë Sinnamari … – Rien !
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114229,est justement pour cela que je n' éprouve aucune gêne
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114236,éprouve aucune gêne à formuler mon troisième souhait : donnez
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114240,formuler mon troisième souhait : donnez - moi donc cette
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114241,mon troisième souhait : donnez - moi donc cette propriété
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114247,moi donc cette propriété dont vous ne faites rien !
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114262,"idée bizarre ! s' écria Sinnamari . – Mais ,"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114268,". – Mais , que vous prend - il ,"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114270,"Mais , que vous prend - il , mon ami"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114273,"vous prend - il , mon ami ? Vous voilà"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114276,"il , mon ami ? Vous voilà tout pâle !"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114285,! … Est - ce ma proposition qui vous met
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114288,- ce ma proposition qui vous met dans un pareil
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114298,"état ? – Non , Liliane , non … Mais"
Leroux-Gaston_Le-Roi-Mystere_<C'-4764>_114308,qui est - ce qui vous a donné cette idée
