,text_surronding
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_16869,le dernier combat – si j' ose employer ce mot
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_16876,"employer ce mot – auquel j' avais participé , je"
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_16880,"auquel j' avais participé , je me sentais envahi par"
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_16889,par un affreux dégoût de moi - même . Je
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_16893,de moi - même . Je ne pouvais plus supporter
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_16905,de l' équipage massacré . Je ne pouvais même me
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_16917,Virmoutiers . Cet homme était mon ami pour autant qu'
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_16923,ami pour autant qu' il me pensait trempé à son
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_16935,"Il n' eût pas compris mon attitude , et ce"
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_16946,pouvait rester d' honnête en moi lui eût semblé une
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_16971,l' ignominie bien propre à me rendre plus mélancolique que
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_16976,me rendre plus mélancolique que ma nature ne m' y
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_16979,mélancolique que ma nature ne m' y portait . Si
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_16996,est parmi ces brutes que j' étudiai un peu .
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17011,"de bandit , fut pour moi le plus précieux des"
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17028,demeura toujours un mystère pour moi . Il savait l'
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17056,papier de jolis bateaux qui me ravissaient . Ce fut
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17067,"qui , le premier , me parla des livres ,"
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17082,d' écrire des livres . Je ne sais pour quelle
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17148,"cruel comme les autres , me donna cependant son amitié"
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17161,"pourquoi , aujourd' hui , je ne peux guère penser"
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17174,où il fut mêlé sans me souvenir de son appui
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17327,"hiver de navigation , que je fis , je peux"
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17330,", que je fis , je peux le dire ,"
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17335,"je peux le dire , mon apprentissage de matelot ."
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17338,"dire , mon apprentissage de matelot . Plus d' une"
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17345,"Plus d' une fois , je fus sur le point"
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17353,le point de désespérer . Je guettais alors toutes les
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17376,"cartes à l' avant , mon service auprès du capitaine"
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17381,mon service auprès du capitaine me retenait à l' arrière
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17394,"une pièce de huit , je regardais avec convoitise le"
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17427,manière peu engageante . Et j' hésitais fort à confier
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17432,j' hésitais fort à confier ma vie à ce fragile
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17453,le réduire en miettes . Je passai la plus grande
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17460,la plus grande partie de mes nuits à combiner des
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17490,se calmer et à devenir ma complice pendant les quelques
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17498,les quelques heures nécessaires à mon évasion . Il me
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17502,à mon évasion . Il me fallait atteindre la grande
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17514,car les îles ne pouvaient m' offrir un abri sûr
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17529,". Quant à Ouessant , je savais que sa maigre"
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17550,qui ne manqueraient pas de me poursuivre . Je connaissais
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17553,pas de me poursuivre . Je connaissais trop Mathieu Miles
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17563,et Pain Noir pour que je pusse douter qu' ils
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17575,cette menace à exécution . J' en savais trop maintenant
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17590,"secret du Hollandais - Volant m' avait été révélé ,"
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17597,"été révélé , et il me fallait rester fidèle au"
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17606,au pavillon noir ou risquer ma vie sans attendre merci
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17612,vie sans attendre merci de mes compagnons . Je dois
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17615,merci de mes compagnons . Je dois dire qu' à
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17629,"l' on tient compte de mon éducation première , la"
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17647,Le travail pénible de matelot me rebutait et je me
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17650,de matelot me rebutait et je me sentais plus assez
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17675,entre ciel et eau . Je ne buvais pas et
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17684,"et , par ainsi , je ne pouvais m' acoquiner"
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17692,m' acoquiner plus intimement avec mes compagnons qui me tenaient
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17695,intimement avec mes compagnons qui me tenaient rigueur de mon
Mac-Orlan-Pierre_Les-clients-du-Bon-Chien-Jaune_<j'-938>_17699,qui me tenaient rigueur de mon attitude . Ils ne
