,text_surronding
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_2832,"dans la salle à manger du colonel , il fallait"
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_2841,fallait attendre le retour de celui - ci . Il
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_2849,. Il était convenable de lui demander cette chambre .
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_2864,", il était bon de le mettre dans l' impossibilité"
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_2929,contenta de tendre la main au colonel et de poser
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_2935,"colonel et de poser sur lui ses grands yeux ,"
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_2964,de serrer la main de ce cher colonel que le
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_2972,que le prince Mazzazoli attendait son retour avec impatience .
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_2982,"Il avait une demande à lui adresser , une prière"
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_3016,"il s' agit , interrompit le colonel , et je"
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_3020,"interrompit le colonel , et je suis heureux de mettre"
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_3027,heureux de mettre deux de mes chambres à la disposition
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_3036,disposition de ces dames . Je regrette seulement que vous
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_3049,"pas déjà pris possession en m' attendant , car vous"
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_3058,vous deviez bien penser que je m' empresserais de vous
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_3080,"temps qu' en remercîments , le colonel l' interrompit de"
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_3093,vous assure que vous ne me devez pas tant de
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_3105,Au reste le sacrifice que je vous fais est bien
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_3113,"est bien petit , et je regrette même que les"
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_3144,"de vos chambres , dit Carmelita . —Pour une nuit"
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_3168,—Je pars demain soir . Carmelita attacha sur le colonel
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_3171,soir . Carmelita attacha sur le colonel un long regards
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_3182,fit baisser les yeux à celui - ci . Pour
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_3195,"embarras que ce regard de Carmelita lui causait , il"
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_3235,"fatigue , le prince demanda au colonel la permission de"
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_3241,colonel la permission de conduire la comtesse à sa chambre
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_3244,de conduire la comtesse à sa chambre . Dans son
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_3248,"à sa chambre . Dans son état , elle avait"
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_3251,". Dans son état , elle avait besoin des plus"
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_3264,Et tout bas il dit au colonel que la pauvre
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_3267,il dit au colonel que la pauvre femme était bien
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_3280,un accès de fatigue pouvait la tuer . II Ce
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_3286,tuer . II Ce que le colonel eût voulu savoir
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_3294,"voulu savoir et ce qu' il se demandait curieusement ,"
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_3309,était venu au Glion . Il n' avait point oublié
Malot-Hector_Ida-et-Carmelita_<du colonel-184>_3323,ce que madame de Lucillière lui avait si souvent répété
