,text_surronding
Marmette-Joseph_Francois-De-Bienville--Scenes-de-la-Vie-Canadienne-au-XVII-siecle_<le sieur d' Hertel-3581>_66865,"trouva face à face avec le sieur d' Hertel ,"
Marmette-Joseph_Francois-De-Bienville--Scenes-de-la-Vie-Canadienne-au-XVII-siecle_<le sieur d' Hertel-3581>_66870,"le sieur d' Hertel , que le gouverneur faisait mander"
Marmette-Joseph_Francois-De-Bienville--Scenes-de-la-Vie-Canadienne-au-XVII-siecle_<le sieur d' Hertel-3581>_66876,le gouverneur faisait mander en son château pour le féliciter
Marmette-Joseph_Francois-De-Bienville--Scenes-de-la-Vie-Canadienne-au-XVII-siecle_<le sieur d' Hertel-3581>_66879,mander en son château pour le féliciter de sa belle
Marmette-Joseph_Francois-De-Bienville--Scenes-de-la-Vie-Canadienne-au-XVII-siecle_<le sieur d' Hertel-3581>_66882,château pour le féliciter de sa belle conduite durant le
Marmette-Joseph_Francois-De-Bienville--Scenes-de-la-Vie-Canadienne-au-XVII-siecle_<le sieur d' Hertel-3581>_66894,"71 - - Eh! sur mon âme! cher Bienville ,"
Marmette-Joseph_Francois-De-Bienville--Scenes-de-la-Vie-Canadienne-au-XVII-siecle_<le sieur d' Hertel-3581>_66900,"âme! cher Bienville , dit celui - là , comme"
Marmette-Joseph_Francois-De-Bienville--Scenes-de-la-Vie-Canadienne-au-XVII-siecle_<le sieur d' Hertel-3581>_66987,. . . - - J' avais raison! n' est
Marmette-Joseph_Francois-De-Bienville--Scenes-de-la-Vie-Canadienne-au-XVII-siecle_<le sieur d' Hertel-3581>_66999,"pas? Allons! bonne chance , mon amoureux! - - Et"
Marmette-Joseph_Francois-De-Bienville--Scenes-de-la-Vie-Canadienne-au-XVII-siecle_<le sieur d' Hertel-3581>_67008,"Et vous de même , mon ami . Toujours leste"
Marmette-Joseph_Francois-De-Bienville--Scenes-de-la-Vie-Canadienne-au-XVII-siecle_<le sieur d' Hertel-3581>_67033,"Louis d' Orsy , où il entra le cœur à"
Marmette-Joseph_Francois-De-Bienville--Scenes-de-la-Vie-Canadienne-au-XVII-siecle_<le sieur d' Hertel-3581>_67067,assis dans son lit lorsque Bienville arriva chez le jeune
Marmette-Joseph_Francois-De-Bienville--Scenes-de-la-Vie-Canadienne-au-XVII-siecle_<le sieur d' Hertel-3581>_67070,lit lorsque Bienville arriva chez le jeune baron . -
Marmette-Joseph_Francois-De-Bienville--Scenes-de-la-Vie-Canadienne-au-XVII-siecle_<le sieur d' Hertel-3581>_67076,"jeune baron . - - Sois le bienvenu , mon"
Marmette-Joseph_Francois-De-Bienville--Scenes-de-la-Vie-Canadienne-au-XVII-siecle_<le sieur d' Hertel-3581>_67084,", mon cher François , lui dit Louis en tendant"
Marmette-Joseph_Francois-De-Bienville--Scenes-de-la-Vie-Canadienne-au-XVII-siecle_<le sieur d' Hertel-3581>_67093,tendant sa main amaigrie à Bienville . - - Merci
