,text_surronding
Mettais-Hippolyte_Les-Amours-d-un-tribun_<Romain-3225>_78082,se trouvait le souvenir de Romain . Il avait juré
Mettais-Hippolyte_Les-Amours-d-un-tribun_<Romain-3225>_78090,"avait juré de ne plus le revoir , mais il"
Mettais-Hippolyte_Les-Amours-d-un-tribun_<Romain-3225>_78094,"plus le revoir , mais il n' était pas libre"
Mettais-Hippolyte_Les-Amours-d-un-tribun_<Romain-3225>_78100,n' était pas libre . Romain était en bonne voie
Mettais-Hippolyte_Les-Amours-d-un-tribun_<Romain-3225>_78132,"de tous les vents , il était arrivé à tout"
Mettais-Hippolyte_Les-Amours-d-un-tribun_<Romain-3225>_78139,arrivé à tout . Par son journal il avait gagné
Mettais-Hippolyte_Les-Amours-d-un-tribun_<Romain-3225>_78141,tout . Par son journal il avait gagné la fortune
Mettais-Hippolyte_Les-Amours-d-un-tribun_<Romain-3225>_78148,"gagné la fortune , par sa fortune et son journal"
Mettais-Hippolyte_Les-Amours-d-un-tribun_<Romain-3225>_78151,", par sa fortune et son journal il s' était"
Mettais-Hippolyte_Les-Amours-d-un-tribun_<Romain-3225>_78153,sa fortune et son journal il s' était fait un
Mettais-Hippolyte_Les-Amours-d-un-tribun_<Romain-3225>_78160,"était fait un nom , il s' était créé des"
Mettais-Hippolyte_Les-Amours-d-un-tribun_<Romain-3225>_78168,"créé des relations importantes , il avait crédit chez tous"
Mettais-Hippolyte_Les-Amours-d-un-tribun_<Romain-3225>_78182,dans tous les théâtres . Il avait des œuvres partout
Mettais-Hippolyte_Les-Amours-d-un-tribun_<Romain-3225>_78192,", entrée partout ; on lui souriait partout . La"
Mettais-Hippolyte_Les-Amours-d-un-tribun_<Romain-3225>_78210,là vers Marat . Malheureusement Romain n' avait rien oublié
Mettais-Hippolyte_Les-Amours-d-un-tribun_<Romain-3225>_78216,n' avait rien oublié . Il crut le moment favorable
Mettais-Hippolyte_Les-Amours-d-un-tribun_<Romain-3225>_78227,"dompter la farouche conscience de son ancien ami , qui"
Mettais-Hippolyte_Les-Amours-d-un-tribun_<Romain-3225>_78231,"de son ancien ami , qui faisait tant soit peu"
Mettais-Hippolyte_Les-Amours-d-un-tribun_<Romain-3225>_78241,crier la sienne . Mais ses insinuations tombèrent dans le
Mettais-Hippolyte_Les-Amours-d-un-tribun_<Romain-3225>_78254,furent pas ramassées ; mais ses offres directes furent reçues
Mettais-Hippolyte_Les-Amours-d-un-tribun_<Romain-3225>_78267,douteux qui voulait dire : je me tais et pour
Mettais-Hippolyte_Les-Amours-d-un-tribun_<Romain-3225>_78274,tais et pour cause . Romain n' en reçut pas
Mettais-Hippolyte_Les-Amours-d-un-tribun_<Romain-3225>_78281,en reçut pas moins bien son vieux camarade de collège
Mettais-Hippolyte_Les-Amours-d-un-tribun_<Romain-3225>_78287,vieux camarade de collège . Il lui donna toutes les
Mettais-Hippolyte_Les-Amours-d-un-tribun_<Romain-3225>_78288,camarade de collège . Il lui donna toutes les lettres
Mettais-Hippolyte_Les-Amours-d-un-tribun_<Romain-3225>_78294,donna toutes les lettres dont il . avait besoin pour
Mettais-Hippolyte_Les-Amours-d-un-tribun_<Romain-3225>_78303,"pour arriver à bien , lui promettant d' aller ensuite"
Mettais-Hippolyte_Les-Amours-d-un-tribun_<Romain-3225>_78304,"arriver à bien , lui promettant d' aller ensuite pousser"
Mettais-Hippolyte_Les-Amours-d-un-tribun_<Romain-3225>_78312,ensuite pousser les portes où il aurait frappé jusqu' à
Mettais-Hippolyte_Les-Amours-d-un-tribun_<Romain-3225>_78324,elles se fussent ouvertes . Marat se mit donc en
Mettais-Hippolyte_Les-Amours-d-un-tribun_<Romain-3225>_78334,route . Quelques jours après il reçut de Romain une
