,text_surronding
Millet-Richard_Corps-en-dessous_<Je-2>_29,15 La tête de biche Je ne suis belle qu'
Millet-Richard_Corps-en-dessous_<Je-2>_44,"Tous les deux jours , je cesse d' exister ;"
Millet-Richard_Corps-en-dessous_<Je-2>_49,je cesse d' exister ; je me sens sale ;
Millet-Richard_Corps-en-dessous_<Je-2>_54,je me sens sale ; je fuis mon reflet .
Millet-Richard_Corps-en-dessous_<Je-2>_56,sens sale ; je fuis mon reflet . Je sais
Millet-Richard_Corps-en-dessous_<Je-2>_59,je fuis mon reflet . Je sais à quel point
Millet-Richard_Corps-en-dessous_<Je-2>_64,Je sais à quel point je peux devenir laide :
Millet-Richard_Corps-en-dessous_<Je-2>_84,", sueur presque sanglante . Je ne trouve plus de"
Millet-Richard_Corps-en-dessous_<Je-2>_91,"trouve plus de grâce à mon corps , pourtant svelte"
Millet-Richard_Corps-en-dessous_<Je-2>_100,"svelte et délié , et je marche comme une adolescente"
Millet-Richard_Corps-en-dessous_<Je-2>_213,résiste à ce geste ? Je sais aussi me montrer
Millet-Richard_Corps-en-dessous_<Je-2>_263,"du Cantal , est à ma mesure . Les commerçants"
Millet-Richard_Corps-en-dessous_<Je-2>_277,"presque tout le monde connaît mon nom , celui de"
Millet-Richard_Corps-en-dessous_<Je-2>_282,"mon nom , celui de mon mari , du moins"
Millet-Richard_Corps-en-dessous_<Je-2>_291,"moins , plus beau que mon nom de jeune fille"
Millet-Richard_Corps-en-dessous_<Je-2>_297,nom de jeune fille . Je suis une femme exemplaire
Millet-Richard_Corps-en-dessous_<Je-2>_299,jeune fille . Je suis une femme exemplaire : n'
Millet-Richard_Corps-en-dessous_<Je-2>_305,femme exemplaire : n' ai - je pas toujours aimé
Millet-Richard_Corps-en-dessous_<Je-2>_314,aimé paraître tout autre que je ne suis ? Naguère
Millet-Richard_Corps-en-dessous_<Je-2>_319,je ne suis ? Naguère j' habitais Paris . J'
Millet-Richard_Corps-en-dessous_<Je-2>_323,"Naguère j' habitais Paris . J' avais un pâle ,"
Millet-Richard_Corps-en-dessous_<Je-2>_348,vient de se marier . J' étais belle chaque jour
Millet-Richard_Corps-en-dessous_<Je-2>_357,jour et chaque nuit . J' avais passé l' agrégation
Millet-Richard_Corps-en-dessous_<Je-2>_373,"goût pour l' enseignement , je travaillais au service de"
Millet-Richard_Corps-en-dessous_<Je-2>_407,séparent de notre mort . Je me disais mauvaise :
Millet-Richard_Corps-en-dessous_<Je-2>_412,Je me disais mauvaise : je n' étais que malheureuse
Millet-Richard_Corps-en-dessous_<Je-2>_418,n' étais que malheureuse . Ma mère est morte trop
Millet-Richard_Corps-en-dessous_<Je-2>_425,"est morte trop tôt pour me montrer comment souffrir ,"
Millet-Richard_Corps-en-dessous_<Je-2>_471,"corps maternel , comme si elle n' acceptait de souffrir"
Millet-Richard_Corps-en-dessous_<Je-2>_481,qu' à la condition que sa mère l' ait précédée
Millet-Richard_Corps-en-dessous_<Je-2>_483,la condition que sa mère l' ait précédée dans ce
Millet-Richard_Corps-en-dessous_<Je-2>_494,"de ronces . Quant à mon père , indifférent et"
Millet-Richard_Corps-en-dessous_<Je-2>_517,"île de Ré , il m' a vite laissée seule"
Millet-Richard_Corps-en-dessous_<Je-2>_529,"hommes : d' eux , j' ai appris à me"
Millet-Richard_Corps-en-dessous_<Je-2>_547,"à ne pas regarder en moi , ni derrière ."
Millet-Richard_Corps-en-dessous_<Je-2>_561,", près des Halles , je me suis laissé aborder"
Millet-Richard_Corps-en-dessous_<Je-2>_570,aborder par un homme dont je ne voyais pas le
Millet-Richard_Corps-en-dessous_<Je-2>_587,"basse , quasi péremptoire , me faisait frissonner . Il"
Millet-Richard_Corps-en-dessous_<Je-2>_592,me faisait frissonner . Il m' a emmenée dans un
Millet-Richard_Corps-en-dessous_<Je-2>_603,tenu par des Turcs . J' étais ivre . Je
Millet-Richard_Corps-en-dessous_<Je-2>_607,. J' étais ivre . Je riais . Il m'
Millet-Richard_Corps-en-dessous_<Je-2>_611,. Je riais . Il m' a donné de l'
Millet-Richard_Corps-en-dessous_<Je-2>_618,donné de l' argent . J' ai dormi jusqu' à
Millet-Richard_Corps-en-dessous_<Je-2>_634,sans doute le gérant – me chasse . À voir
Millet-Richard_Corps-en-dessous_<Je-2>_644,les traces de sperme sur mon ventre et mes cuisses
Millet-Richard_Corps-en-dessous_<Je-2>_647,"sperme sur mon ventre et mes cuisses , j' ai"
Millet-Richard_Corps-en-dessous_<Je-2>_650,"ventre et mes cuisses , j' ai pensé que plusieurs"
Millet-Richard_Corps-en-dessous_<Je-2>_656,ai pensé que plusieurs hommes m' avaient possédée . J'
