,text_surronding
Millet-Richard_La-Fiancee-libanaise_<j'-3030>_58352,ce bordeaux trop vieux que j' étais allé chercher à
Millet-Richard_La-Fiancee-libanaise_<j'-3030>_58411,Siom . Elle buvait en me jetant de brefs coups
Millet-Richard_La-Fiancee-libanaise_<j'-3030>_58420,coups d' œil et en me demandant si elle ne
Millet-Richard_La-Fiancee-libanaise_<j'-3030>_58425,"me demandant si elle ne m' ennuyait pas , sans"
Millet-Richard_La-Fiancee-libanaise_<j'-3030>_58432,"pas , sans néanmoins attendre ma réponse pour reprendre le"
Millet-Richard_La-Fiancee-libanaise_<j'-3030>_58460,"passer la nuit , disais - je en regardant Sahar"
Millet-Richard_La-Fiancee-libanaise_<j'-3030>_58489,était elle aussi décidée à l' entendre jusqu' au bout
Millet-Richard_La-Fiancee-libanaise_<j'-3030>_58525,semblables à celles dans lesquelles je la rapportais à Sahar
Millet-Richard_La-Fiancee-libanaise_<j'-3030>_58543,", à ceci près que je n' étais pas une"
Millet-Richard_La-Fiancee-libanaise_<j'-3030>_58585,"leur beauté , et dont j' avais peu à peu"
Millet-Richard_La-Fiancee-libanaise_<j'-3030>_58638,"nu - pieds , Sahar me priant donc de poursuivre"
Millet-Richard_La-Fiancee-libanaise_<j'-3030>_58688,"ressemble » , lui ai - je répondu en en"
Millet-Richard_La-Fiancee-libanaise_<j'-3030>_58817,"venait d' ouvrir et où je suis entrée , en"
Millet-Richard_La-Fiancee-libanaise_<j'-3030>_58875,"étaient jeunes et beaux . Je suis redevenue jeune ,"
Millet-Richard_La-Fiancee-libanaise_<j'-3030>_58887,"- neuf ans , et j' ai eu avec un"
Millet-Richard_La-Fiancee-libanaise_<j'-3030>_58903,près satisfaisante . Rien ne m' était pénible ; des
Millet-Richard_La-Fiancee-libanaise_<j'-3030>_58929,"jet set internationale , et je me rappelle la chanteuse"
Millet-Richard_La-Fiancee-libanaise_<j'-3030>_59042,", servi par une de mes collègues . Je travaillais"
Millet-Richard_La-Fiancee-libanaise_<j'-3030>_59045,une de mes collègues . Je travaillais à l' autre
Millet-Richard_La-Fiancee-libanaise_<j'-3030>_59060,"En retournant aux cuisines , j' ai regardé par hasard"
Millet-Richard_La-Fiancee-libanaise_<j'-3030>_59073,". Peut - être que j' invente , qu' une"
Millet-Richard_La-Fiancee-libanaise_<j'-3030>_59087,eu lieu que parce que je voudrais aujourd' hui qu'
Millet-Richard_La-Fiancee-libanaise_<j'-3030>_59122,"Bref , le jeune ingénieur m' a regardée comme je"
