,text_surronding
Modiano-Patrick_Villa-Triste_<l' oncle-2096>_36216,ai - je demandé à l' oncle en lui tendant
Modiano-Patrick_Villa-Triste_<l' oncle-2096>_36219,demandé à l' oncle en lui tendant le monocle .
Modiano-Patrick_Villa-Triste_<l' oncle-2096>_36264,Et moi aussi . Et l' oncle . Nous ne
Modiano-Patrick_Villa-Triste_<l' oncle-2096>_36282,"revenir , a - t - il déclaré . On"
Modiano-Patrick_Villa-Triste_<l' oncle-2096>_36337,": rassurant , parce que sa présence , sa manière"
Modiano-Patrick_Villa-Triste_<l' oncle-2096>_36340,"parce que sa présence , sa manière de parler ,"
Modiano-Patrick_Villa-Triste_<l' oncle-2096>_36345,"sa manière de parler , ses gestes me protégeaient ."
Modiano-Patrick_Villa-Triste_<l' oncle-2096>_36359,"manger , entre Yvonne et lui , je n' avais"
Modiano-Patrick_Villa-Triste_<l' oncle-2096>_36384,ai - je risqué . Il a allumé une cigarette
Modiano-Patrick_Villa-Triste_<l' oncle-2096>_36401,tenir ça tout seul … Il a eu un geste
Modiano-Patrick_Villa-Triste_<l' oncle-2096>_36419,. — Depuis longtemps ? Il me tendait son paquet
Modiano-Patrick_Villa-Triste_<l' oncle-2096>_36422,longtemps ? Il me tendait son paquet de Royales .
Modiano-Patrick_Villa-Triste_<l' oncle-2096>_36456,On ne devait pas souvent lui poser de questions sur
Modiano-Patrick_Villa-Triste_<l' oncle-2096>_36461,lui poser de questions sur lui et son travail .
Modiano-Patrick_Villa-Triste_<l' oncle-2096>_36463,de questions sur lui et son travail . Yvonne avait
Modiano-Patrick_Villa-Triste_<l' oncle-2096>_36513,les voitures de luxe … Il débitait ces phrases très
Modiano-Patrick_Villa-Triste_<l' oncle-2096>_36528,"- voix , comme s' il craignait qu' on l'"
Modiano-Patrick_Villa-Triste_<l' oncle-2096>_36532,"s' il craignait qu' on l' interrompît , mais Yvonne"
Modiano-Patrick_Villa-Triste_<l' oncle-2096>_36538,"interrompît , mais Yvonne ne lui prêtait pas la moindre"
Modiano-Patrick_Villa-Triste_<l' oncle-2096>_36559,"Ça marchait bien , avec son père … Il tirait"
Modiano-Patrick_Villa-Triste_<l' oncle-2096>_36562,", avec son père … Il tirait sur sa cigarette"
Modiano-Patrick_Villa-Triste_<l' oncle-2096>_36565,père … Il tirait sur sa cigarette qu' il serrait
Modiano-Patrick_Villa-Triste_<l' oncle-2096>_36568,tirait sur sa cigarette qu' il serrait entre pouce et
Modiano-Patrick_Villa-Triste_<l' oncle-2096>_36594,"Qu' est - ce que tu lui racontes , tonton"
Modiano-Patrick_Villa-Triste_<l' oncle-2096>_36598,"que tu lui racontes , tonton ? — Les débuts"
Modiano-Patrick_Villa-Triste_<l' oncle-2096>_36611,ton père … — Mais tu l' ennuies … Il
Modiano-Patrick_Villa-Triste_<l' oncle-2096>_36612,père … — Mais tu l' ennuies … Il y
Modiano-Patrick_Villa-Triste_<l' oncle-2096>_36632,"Pas du tout , ai - je dit . Pas"
Modiano-Patrick_Villa-Triste_<l' oncle-2096>_36654,ton père ? Cette question m' avait échappé et je
Modiano-Patrick_Villa-Triste_<l' oncle-2096>_36658,question m' avait échappé et je ne pouvais plus faire
