,text_surronding
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17402,", quand le Papon annonça M . de Coantré ,"
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17407,"M . de Coantré , M . de Coantré entra"
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17420,"en serrant la main de son oncle , s' inclina"
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17423,"main de son oncle , s' inclina de trois pouces"
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17438,gérant devant son patron . C' était un tout autre
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17440,son patron . C' était un tout autre M .
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17463,début de ce récit . Il portait un complet gris
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17502,pas sur un homme de son âge . Ce qui
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17525,"c' était la hauteur de son col empesé , d'"
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17572,"une dent de cerf . Ses manchettes empesées , et"
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17601,c' étaient peut - être ses bottines qui criaient le
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17662,"vingt ans d' âge , M . de Coantré ne"
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17685,avec le dernier soin . M . de Coantré avait
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17738,"les usages en vigueur dans sa jeunesse , il avait"
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17741,"vigueur dans sa jeunesse , il avait gardé son chapeau"
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17744,"jeunesse , il avait gardé son chapeau melon à la"
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17764,"s' étant maintenant assis , il avait prudemment étendus dans"
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17796,de la même main ; M . de Coantré prétendait
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17823,"des gants de deuil , M . de Coantré ,"
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17840,eu l' occasion de porter ses gants ailleurs que dans
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17876,été chaussés . À peine M . de Coantré était
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17881,M . de Coantré était - il assis que le
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17885,"était - il assis que le baron , avec cette"
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17893,avec cette décision qu' on lui voyait dans les conseils
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17920,"tout artificielle , par laquelle il masquait sa timidité )"
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17922,", par laquelle il masquait sa timidité ) , aiguilla"
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17933,conversation dans le sens qu' il désirait . Désignant le
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17941,"Désignant le Daily Mail , il dit , d' une"
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17950,une voix composée : — Tu as lu le magnifique
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17959,magnifique discours d' Herriot ? M . de Coantré eut
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17973,y avait là aiguillage . Lui aussi il aiguilla :
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17975,là aiguillage . Lui aussi il aiguilla : — Ma
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17993,"avec tous les soucis que j' ai , je n'"
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_17996,"soucis que j' ai , je n' en ai guère"
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_18005,guère le temps . Mais M . Octave feignit de
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_18019,et n' engagea résolument sur son rail . — Tu
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_18023,sur son rail . — Tu feras bien d' acheter
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_18033,le Temps en sortant . Il faut lire çà .
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_18047,. « Dans quel rêve il vit ! se disait
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_18052,il vit ! se disait M . de Coantré .
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_18112,"propos de tout , ils vous ramènent à leur pain"
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_18120,leur pain . ) Mais il se sentait plein de
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_18129,"de courage , et se jeta à l' eau ."
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_18136,"l' eau . — Pour vous parler franc , l'"
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_18140,"Pour vous parler franc , l' oncle Octave , je"
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_18144,", l' oncle Octave , je n' ai guère l'"
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_18154,esprit à la politique . J' ai vu Lebeau il
Montherlant-Henry-de_Les-celibataires_<M . de Coantré-812>_18171,"calculé ensemble ce qui allait me rester , et nous"
