,text_surronding
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22445,"Le long du Tibre , Isabelle m' attendait . Nous"
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22458,vers les hauts quartiers . Son physique surprenait dans ce
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22474,et à cuisses courtes . Elle avait une tête minuscule
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22480,avait une tête minuscule qu' elle disait pleine d' eau
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22487,pleine d' eau pour excuser ses folies . Avait -
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22491,excuser ses folies . Avait - elle jamais été capable
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22505,"? Dès les épaules , elle se divisait instantanément en"
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22527,en piquant les pavés . Elle portait à la cheville
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22543,toucouleur en cuivre sculpté qui la faisait boiter . Volontiers
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22554,"et devant des tiers , elle se taisait , mais"
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22563,mais en tête à tête elle se laissait aller à
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22569,se laissait aller à dire sa pensée . Elle n'
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22572,à dire sa pensée . Elle n' aimait pas les
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22596,les pensions – en quoi elle avait tort . Comme
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22602,avait tort . Comme je la mettais en garde contre
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22620,les amateurs de société . Ma mère par exemple .
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22637,"tient lieu de tout . Isabelle haïssait sa mère ,"
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22639,"de tout . Isabelle haïssait sa mère , ne manquait"
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22643,"haïssait sa mère , ne manquait pas l' occasion de"
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22676,de bondir sur elle . Isabelle souriait en plissant des
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22685,"des yeux étroits , et mâchonnait une petite cigarette d'"
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22702,ongles . Comme pour mettre son interlocuteur en présence d'
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22716,"l' inviter à répondre , elle terminait ses phrases en"
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22718,"à répondre , elle terminait ses phrases en présentant des"
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22737,"rose vif . Généralement , elle était sans esprit ,"
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22750,"toutes les femmes , dans ses lettres . Des fragments"
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22756,lettres . Des fragments de son journal dont elle me
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22759,fragments de son journal dont elle me donna connaissance m'
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22770,"dénués de valeur . Mais elle crachait le sang ,"
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22776,"crachait le sang , me gagnait en trichant de l'"
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22785,l' argent au poker et avait pour le mensonge un
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22801,"du courage physique . Je l' avais vue , au"
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22821,oublier de se faire panser elle - même . Pendant
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22831,"36 mois de guerre , elle conduisit une auto chirurgicale"
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22840,"chirurgicale sous Noyon . Dans sa chambre , Isabelle commandait"
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22843,". Dans sa chambre , Isabelle commandait à boire ,"
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22855,à mi - verre ; ses yeux alors se remplissaient
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22876,mystérieux et sensible ; puis elle continuait . Elle s'
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22879,; puis elle continuait . Elle s' asseyait en tailleur
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22888,"tailleur sur le tapis , ramenait ses pieds sous elle"
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22889,"sur le tapis , ramenait ses pieds sous elle ,"
Morand-Paul_Ouvert-la-nuit_<Isabelle-1351>_22892,", ramenait ses pieds sous elle , non sans que"
