,text_surronding
Nemirovsky-Irene_Les-Feux-de-l-automne_<Bernard-1831>_33776,dans ses bras . Lorsque Bernard l' eût invitée et
Nemirovsky-Irene_Les-Feux-de-l-automne_<Bernard-1831>_33783,eût invitée et qu' elle l' entendit demander des nouvelles
Nemirovsky-Irene_Les-Feux-de-l-automne_<Bernard-1831>_33793,"de Mme Humbert , elle le regarda d' un air"
Nemirovsky-Irene_Les-Feux-de-l-automne_<Bernard-1831>_33823,", c' est épatant ! Vous ne savez donc pas"
Nemirovsky-Irene_Les-Feux-de-l-automne_<Bernard-1831>_33837,"– Est - ce que vous croyez , par hasard"
Nemirovsky-Irene_Les-Feux-de-l-automne_<Bernard-1831>_33865,à un bal masqué . Je vais vous intriguer .
Nemirovsky-Irene_Les-Feux-de-l-automne_<Bernard-1831>_33949,un petit garçon … Elle l' interrompit : – Pardi
Nemirovsky-Irene_Les-Feux-de-l-automne_<Bernard-1831>_33955,"interrompit : – Pardi , Bernard Jacquelain ! Je me"
Nemirovsky-Irene_Les-Feux-de-l-automne_<Bernard-1831>_33963,Je me souviens maintenant . Ce Bernard avait de jolis
Nemirovsky-Irene_Les-Feux-de-l-automne_<Bernard-1831>_33971,de jolis yeux . – Je crois qu' il les
Nemirovsky-Irene_Les-Feux-de-l-automne_<Bernard-1831>_33974,". – Je crois qu' il les a toujours ,"
Nemirovsky-Irene_Les-Feux-de-l-automne_<Bernard-1831>_33980,"les a toujours , dit Bernard d' un air fat"
Nemirovsky-Irene_Les-Feux-de-l-automne_<Bernard-1831>_33997,fallait prendre ici . Elle lui sourit et ils tournèrent
Nemirovsky-Irene_Les-Feux-de-l-automne_<Bernard-1831>_34007,un instant en silence . Il regardait le spectacle par
Nemirovsky-Irene_Les-Feux-de-l-automne_<Bernard-1831>_34017,- dessus la tête de sa danseuse . Il respirait
Nemirovsky-Irene_Les-Feux-de-l-automne_<Bernard-1831>_34020,tête de sa danseuse . Il respirait le parfum de
Nemirovsky-Irene_Les-Feux-de-l-automne_<Bernard-1831>_34084,". Ah , sapristi , il l' avait bien compris"
Nemirovsky-Irene_Les-Feux-de-l-automne_<Bernard-1831>_34090,l' avait bien compris pendant sa dernière permission avant l'
Nemirovsky-Irene_Les-Feux-de-l-automne_<Bernard-1831>_34157,. Tout se confondait à ses yeux en un brouillard
Nemirovsky-Irene_Les-Feux-de-l-automne_<Bernard-1831>_34165,un brouillard doré et à ses oreilles se mêlaient les
Nemirovsky-Irene_Les-Feux-de-l-automne_<Bernard-1831>_34185,entendues : – Mais qu' il passe donc chez Chose
Nemirovsky-Irene_Les-Feux-de-l-automne_<Bernard-1831>_34203,secrétaire du ministre . Il lui fera avoir la croix
