,text_surronding
Orsenna-Erik_L-exposition-coloniale_<Vous-4426>_75553,"appeler ça un siège . Vous oseriez , vous ,"
Orsenna-Erik_L-exposition-coloniale_<Vous-4426>_75556,"siège . Vous oseriez , vous , Gabriel ? En"
Orsenna-Erik_L-exposition-coloniale_<Vous-4426>_75558,"Vous oseriez , vous , Gabriel ? En traversant des"
Orsenna-Erik_L-exposition-coloniale_<Vous-4426>_75605,"étaient brésiliens . — Et vous , Guy ? —"
Orsenna-Erik_L-exposition-coloniale_<Vous-4426>_75649,"place . En fait , je ferme boutique , le"
Orsenna-Erik_L-exposition-coloniale_<Vous-4426>_75660,"lentement possible … — Et mon métier à moi ,"
Orsenna-Erik_L-exposition-coloniale_<Vous-4426>_75663,"— Et mon métier à moi , dans tout ça"
Orsenna-Erik_L-exposition-coloniale_<Vous-4426>_75672,"ça ? — Oh ! vous , vous serez peut"
Orsenna-Erik_L-exposition-coloniale_<Vous-4426>_75674,"— Oh ! vous , vous serez peut - être"
Orsenna-Erik_L-exposition-coloniale_<Vous-4426>_75689,"maison mère . Venez , je vais vous expliquer ."
Orsenna-Erik_L-exposition-coloniale_<Vous-4426>_75691,". Venez , je vais vous expliquer . Nous sommes"
Orsenna-Erik_L-exposition-coloniale_<Vous-4426>_75702,par d' autres couloirs . Guy m' a présenté à
Orsenna-Erik_L-exposition-coloniale_<Vous-4426>_75703,d' autres couloirs . Guy m' a présenté à deux
Orsenna-Erik_L-exposition-coloniale_<Vous-4426>_75735,début du boom . — Je l' ai nommé responsable
Orsenna-Erik_L-exposition-coloniale_<Vous-4426>_75793,", presque frais . — Vous verrez , c' est"
Orsenna-Erik_L-exposition-coloniale_<Vous-4426>_75814,"jusqu' à la sieste , j' émigre vers un deuxième"
Orsenna-Erik_L-exposition-coloniale_<Vous-4426>_75826,à l' extrême ouest . Mon troisième bureau est à
Orsenna-Erik_L-exposition-coloniale_<Vous-4426>_75838,", pour le soir . Vous aussi , vous aurez"
Orsenna-Erik_L-exposition-coloniale_<Vous-4426>_75841,"soir . Vous aussi , vous aurez vos itinéraires ."
Orsenna-Erik_L-exposition-coloniale_<Vous-4426>_75843,"Vous aussi , vous aurez vos itinéraires . C' est"
Orsenna-Erik_L-exposition-coloniale_<Vous-4426>_75867,"être gêné . — Et mon métier à moi ,"
Orsenna-Erik_L-exposition-coloniale_<Vous-4426>_75870,"— Et mon métier à moi , Guy , mon"
Orsenna-Erik_L-exposition-coloniale_<Vous-4426>_75872,"mon métier à moi , Guy , mon métier dans"
Orsenna-Erik_L-exposition-coloniale_<Vous-4426>_75874,"à moi , Guy , mon métier dans tout ça"
Orsenna-Erik_L-exposition-coloniale_<Vous-4426>_75903,"des milliers de personnes , Gabriel , à tous ceux"
Orsenna-Erik_L-exposition-coloniale_<Vous-4426>_75935,"pour acheter le nécessaire , Gabriel , du tabac ,"
Orsenna-Erik_L-exposition-coloniale_<Vous-4426>_75975,en moins nous payer . Vous êtes chargé de récupérer
Orsenna-Erik_L-exposition-coloniale_<Vous-4426>_75983,"de récupérer nos créances , Gabriel , vous comprenez ?"
