,text_surronding
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14177,"comme de coutume , et Lebrac rompit le silence :"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14201,"de la messe , fit - il d' une voix"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14207,"il d' une voix qu' il voulait rendre ferme ,"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14253,et Camus le lapidé vint lui serrer les mains en
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14286,son domicile respectif . Quand Lebrac arriva à la maison
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14292,"arriva à la maison de son père , près de"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14302,"la fontaine du haut , il vit la lampe à"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14322,"un entrebâillement de rideaux , il remarqua que sa famille"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14325,"rideaux , il remarqua que sa famille était déjà en"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14342,. Cette constatation coupait net ses dernières chances de ne
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14357,tenue plutôt débraillée dans laquelle il se trouvait par le
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14368,"fatal des destins . Mais il réfléchit que , un"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14399,"tout recevoir , stoïquement , il leva le loquet de"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14407,"loquet de la cuisine , traversa la pièce et poussa"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14411,", traversa la pièce et poussa la porte du poêle"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14420,poêle . Le père de Lebrac tenait d' autant plus
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14479,directe des aptitudes intellectuelles de l' élève Lebrac . Il
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14494,conférer de ce sujet avec le père Simon et lui
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14498,avec le père Simon et lui recommandait avec insistance de
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14510,manquer son garnement et de le tanner chaque fois qu'
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14516,tanner chaque fois qu' il le jugerait bon . Ce
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14527,serait certes pas lui qui le soutiendrait comme certains parents
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14549,"enfants » , et quand le gars aurait été puni"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14577,"voit , le père de Lebrac avait en pédagogie des"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14662,Il avait naturellement appris que Lebrac jeune était resté en
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14678,"demie , heure à laquelle il avait , sans broncher"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14688,", récité la leçon qu' il n' avait pas sue"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14703,"prouvait bien que , quand il voulait … n' est"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14713,- ce pas … – Le rossard ! s' était
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14727,Savez - vous bien qu' il n' emporte jamais un
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14738,à la maison ? Foutez - lui donc des devoirs
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14762,"ayez crainte , j' vas le soigner ce soir ,"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14863,"apparut . – Ah ! te voilà , tout de"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14891,annonçait rien de bon . Lebrac jugea prudent de ne
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14899,de ne pas répondre et gagna sa place au bas
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14900,ne pas répondre et gagna sa place au bas de
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14917,"des intentions paternelles . – Mange ta soupe , grogna"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14918,"intentions paternelles . – Mange ta soupe , grogna la"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14935,"réfroidiete » ! – Et boutonne donc ton blouson ,"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14937,"! – Et boutonne donc ton blouson , fit le"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14944,", fit le père , tu m' as l' air"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14958,cabes [ 35 ] . Lebrac ramena d' un geste
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14967,geste aussi énergique qu' inutile sa blouse qui pendait dans
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14972,"sa blouse qui pendait dans son dos , mais n'"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14977,"son dos , mais n' agrafa rien , et pour"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14986,pour cause . – Je te dis d' agrafer ta
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_14990,"Je te dis d' agrafer ta blouse , répéta le"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15004,"abord , d' où viens - tu comme ça ?"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15009,- tu comme ça ? Tu sors pas de classe
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15025,heures - ci ? – J' ai perdu mon crochet
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15028,"? – J' ai perdu mon crochet de blouson ,"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15034,"crochet de blouson , marmotta Lebrac , évitant une réponse"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15043,réponse directe . – Las - moi ! Mon doux
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15091,avec eux ? – Et tes manches ? interrompit de
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15100,de nouveau le père . T' as perdu aussi les
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15111,? – Oui ! avoua Lebrac . Après cette nouvelle
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15138,examen détaillé s' imposait . Lebrac se sentit devenir rouge
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15192,"inquisiteurs de la famille , Lebrac apparut dans toute l'"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15199,"dans toute l' étendue de son désastre , aggravé encore"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15236,nom de Dieu ! ah salaud ! ah cochon !
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15239,! ah salaud ! ah cochon ! ah vaurien !
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15242,! ah cochon ! ah vaurien ! ah rossard !
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15258,. Pas un bouton à son tricot ni à sa
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15262,"à son tricot ni à sa chemise , des épines"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15269,", des épines pour fermer sa braguette , une épingle"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15278,"épingle de sûreté pour tenir son pantalon , des ficelles"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15284,"pantalon , des ficelles à ses souliers ! – Mais"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15317,"citoyen , eût pu procréer un garnement pareil , tandis"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15332,"sur le travail continuel que ce polisson , ce bougre"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15335,"continuel que ce polisson , ce bougre de gredin de"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15379,"à élever et à nourrir un salopiot comme toi ,"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15382,"à nourrir un salopiot comme toi , qui ne fout"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15384,"un salopiot comme toi , qui ne fout rien ,"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15410,ai parlé ce soir à ton maître d' école ?
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15419,"? – Ah ! je t' en foutrai , bandit"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15423,"je t' en foutrai , bandit ! Je vas te"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15427,", bandit ! Je vas te faire voir que les"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15445,les chiens . Ah ! rosse ! – ! …
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15454,"… – D' abord , tu vas te passer de"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15463,"de souper ! Mais vas - tu me répondre ,"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15475,Dieu ! où t' es - tu arrangé comme ça
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15487,! … – Ah ! tu ne veux rien dire
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15493,"ne veux rien dire , crapule , ah oui ,"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15503,"vraiment ! eh bien , attends un peu , nom"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15514,"Dieu , je veux bien te faire causer moi ,"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15554,"culotte , le père de Lebrac administra à son rejeton"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15560,"administra à son rejeton , qui se roulait , se"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15565,"qui se roulait , se tordait , écumait , râlait"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15567,"roulait , se tordait , écumait , râlait et hurlait"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15569,"se tordait , écumait , râlait et hurlait , hurlait"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15571,", écumait , râlait et hurlait , hurlait à faire"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15573,", râlait et hurlait , hurlait à faire trembler les"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15616,"de réplique : – Et file te coucher maintenant ,"
Pergaud-Louis_La-Guerre-des-boutons_<Lebrac-706>_15641,chose » ! … Sur sa paillasse de turquit [
