,text_surronding
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15114,position de la pauvre locataire m' avait inquiétée . Qu'
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15125,- elle devenir ? Comme je n' avais aucun désir
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15156,"promettait de rester longtemps , j' accompagnai la malheureuse femme"
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15177,marches . . . Et je la suivis . .
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15289,"temps : — Pardon ! monsieur le général , je"
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15299,ne savais pas être devant vous . — Il n'
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15311,"pas d' offense , répondit le général . Chacun est"
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15323,remonter chez soi . Puis il ajouta : — Vous
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15331,"— Vous venez , si je ne me trompe ,"
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15348,"propriétaire ? — Oui , monsieur le général ; mais"
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15386,"malade ? — Oui , général . — Votre position"
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15389,"Oui , général . — Votre position , je le"
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15392,". — Votre position , je le comprends , n'"
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15418,C' est le conseil que monsieur le général nous avait
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15429,donné . — Il fallait le suivre . J' arrive
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15432,Il fallait le suivre . J' arrive précisément des Tuileries
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15438,arrive précisément des Tuileries ; j' aurais pu faire remettre
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15453,de Sa Majesté . — Monsieur le général est bien
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15468,"avons eu tort , balbutia la pauvre femme . ."
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15484,"Mais ! fit avec impatience le vieux militaire , c'"
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15495,- à - dire que vous ressemblez à tous ceux
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15547,"manque de prévoyance . — Faites excuse , général ,"
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15550,". — Faites excuse , général , il n' y"
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15563,négligence de notre part . Mon mari ni moi ne
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15566,part . Mon mari ni moi ne savons écrire .
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15587,"écrire pour soi . Si vous m' aviez prévenu ,"
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15588,"pour soi . Si vous m' aviez prévenu , j'"
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15592,"vous m' aviez prévenu , j' aurais agi dans vos"
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15596,", j' aurais agi dans vos intérêts . — Général"
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15600,"dans vos intérêts . — Général , s' il n'"
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15610,était pas trop tard pour vous demander cette grâce .
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15617,cette grâce . . . je vous prierais . .
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15618,grâce . . . je vous prierais . . .
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15623,vous prierais . . . général . . . puisque
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15628,général . . . puisque vous daignez vous intéresser à
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15651,"pour faire bien , interrompit le général . A ma"
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15655,"interrompit le général . A ma rentrée chez moi ,"
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15658,". A ma rentrée chez moi , je ne quitterai"
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15660,"ma rentrée chez moi , je ne quitterai pas l'"
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15670,uniforme sans avoir songé à vous être utile . Je
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15674,à vous être utile . Je ferai la demande de
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15681,la demande de secours en votre nom . Mon domestique
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15684,secours en votre nom . Mon domestique la portera ensuite
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15686,votre nom . Mon domestique la portera ensuite à la
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15697,". C' est ainsi que j' expédie les choses ,"
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15703,"expédie les choses , fît le général en se frottant"
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15711,se frottant le menton à son col - cravate .
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15716,son col - cravate . Vous pouvez dormir tranquillement sur
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15728,"oreilles . Le secours , je vous le promets ,"
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15729,". Le secours , je vous le promets , et"
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15734,"vous le promets , et vous l' aurez avant peu"
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15740,l' aurez avant peu . La protégée se confondit en
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15748,"confondit en remerciements , et monsieur le général , lui"
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15752,"et monsieur le général , lui faisant un petit signe"
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15768,arriva à la porte de son appartement où il pénétra
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15771,porte de son appartement où il pénétra presque aussitôt .
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15790,"formule , j' avais suivi le général . Il se"
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15793,avais suivi le général . Il se jeta tout botté
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15821,en acajou moiré ; puis il sonna . Un valet
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15839,il présenté quelqu' un pendant mon absence ? — Personne
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15845,"absence ? — Personne , général . — A merveille"
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15851,. — A merveille . Je craignais que cette ennuyeuse
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15866,. ne fût venue pour me recommander encore son neveu
Poisle-Desgranges-Joseph_Roman-d-une-mouche_<m'-618>_15929,n' est pas comme de mon temps ! N' arrive
