,text_surronding
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_18980,"yeux , et je vis un homme agenouillé près de"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19000,Milles tonnerres ! s' écria l' ami qui me sauvait
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19002,"! s' écria l' ami qui me sauvait , le"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19016,Je reconnus Gherardo . — Tu n' as donc pas
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19043,"! mais je suis revenu te chercher , traînard ."
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19046,"suis revenu te chercher , traînard . Allons , voyons"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19056,", relève - toi et tâche de tenir un peu"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19062,"de tenir un peu sur tes quilles . Tiens ,"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19074,fiole de nectar : ça te remettra un peu de
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19090,"du cœur au ventre . Clampin , va ! je"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19097,va ! je croyais que tu suivais ; c' est
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19130,je me suis aperçu que tu manquais à l' ordre
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19145,"je me suis dit , il sera resté de l'"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19155,autre côté du Wop ; il craint l' eau comme
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19163,"eau comme un veau , il n' aura pas osé"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19175,"à la nage , courrons le chercher ; je suis"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19182,"; je suis accouru comme tu vois , et j'"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19196,", et me voilà à ton service , mon vieux"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19207,: compte sur moi et sois sûr que je te
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19211,et sois sûr que je te vas passer sur mon
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19228,. Ah çà ! comment te trouves - tu à
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19230,çà ! comment te trouves - tu à présent ?
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19240,Je ne répondis rien . Je ne me sentais bon
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19248,sentais bon à rien et je me jugeais fini .
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19275,les gamins de l' Hetman t' ont pas embroché !
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19282,pas embroché ! Heureusement que t' étais mort pour le
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19300,", et ne perdons pas notre temps aux bagatelles de"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19309,de la porte . — Je ne puis . Je
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19313,— Je ne puis . Je n' ai ni jambes
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19326,", ni énergie ; laisse - moi me rendormir ,"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19331,"- moi me rendormir , j' aime mieux trépasser que"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19347,glaciale ; son aspect seul me fait frémir . —
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19373,aura guère qu' un peu tes quilles . Ça sera
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19381,"Ça sera rien , ne fais pas attention ; en"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19388,"attention ; en avant , marche , et plus vite"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19400,". Il se baissa , me prit sur son dos"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19409,"dos , se releva , m' attacha fortement les bras"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19455,la rive opposée . Il me mit alors sur mes
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19459,Il me mit alors sur mes pieds . J' essayai
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19462,"alors sur mes pieds . J' essayai de marcher ,"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19471,", mais en vain ; je ne pouvais me soustraire"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19480,soustraire à la somnolence qui m' accablait . J' étais
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19483,somnolence qui m' accablait . J' étais atteint des symptômes
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19539,invincible de dormir . Gherardo me considérait d' un air
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19550,. Cependant il essaya de me communiquer une partie de
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19563,"le soutenait , et de me faire partager l' espérance"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19578,"à leur terme . Il me parla avec colère ,"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19590,. Il voulait agir sur moi à la façon de
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19607,"bouteille de Leyde , et me procurer un ébranlement salutaire"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19663,"Du feu ! m' écriai - je , avec une"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19670,", avec une exaltation qui me redonna un peu de"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19703,ai réservé une place pour toi tout près du brasier
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19765,"santé , la vie . J' arrivai au bivac ;"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19770,J' arrivai au bivac ; j' y passai la nuit
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19776,"y passai la nuit , je m' y réchauffai ,"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19781,"je m' y réchauffai , j' y dévorai un lambeau"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19790,lambeau de cheval . Mais mes forces ne revenaient point
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19796,forces ne revenaient point ; j' étais toujours dégoûté de
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19809,et les terribles symptômes ne me quittaient pas . Il
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19825,cependant . Gherardo veillait sur moi comme une mère sur
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19837,". Il se dépouillait pour me vêtir , il se"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19844,", il se privait pour me procurer quelque nourriture ."
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19850,procurer quelque nourriture . Tantôt me soutenant dans ses bras
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19857,"dans ses bras , tantôt me portant sur ses épaules"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19876,"parole , me relevant lorsque je m' affaissais sur moi"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19880,"lorsque je m' affaissais sur moi - même , s'"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19887,"même , s' arrêtant lorsque je m' arrêtais , me"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19921,et de peines inouïes à m' amener jusqu' à Smolensk
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19933,"fois dans cette ville , je fus sauvé . Quelques"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19949,", de bons soins , me redonnèrent des forces ."
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19956,"des forces . L' énergie me revint , l' amour"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19971,amour de la patrie surtout me ressaisirent . Gherardo m'
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19975,surtout me ressaisirent . Gherardo m' avait procuré des vêtements
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19984,"vêtements , des chaussures ; je demandai des armes et"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19989,je demandai des armes et je repris mon rang parmi
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_19991,des armes et je repris mon rang parmi les braves
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_20065,"plus douce . Là , je remerciai Dieu de l'"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_20076,"vie qu' il avait daigné me conserver , et je"
Pommier-Armand_La-Benjamine_<un homme agenouillé près de moi-788>_20080,"daigné me conserver , et je l' offris à Gherardo"
