,text_surronding
Pressense-Elise-de_Rosa_<Cécile-2848>_84705,ne tarda pas à rejoindre Cécile qui attendait dans la
Pressense-Elise-de_Rosa_<Cécile-2848>_84706,tarda pas à rejoindre Cécile qui attendait dans la voiture
Pressense-Elise-de_Rosa_<Cécile-2848>_84721,de soleil d' hiver . Pauvre Cécile ! Qui donc
Pressense-Elise-de_Rosa_<Cécile-2848>_84728,"! Qui donc aurait pu la reconnaître , elle si"
Pressense-Elise-de_Rosa_<Cécile-2848>_84731,"aurait pu la reconnaître , elle si fraîche et si"
Pressense-Elise-de_Rosa_<Cécile-2848>_84744,"quelques semaines auparavant , dans la pâle et triste jeune"
Pressense-Elise-de_Rosa_<Cécile-2848>_84752,triste jeune fille affaissée sur elle - même au fond
Pressense-Elise-de_Rosa_<Cécile-2848>_84770,des années eussent passé sur elle pendant ce court espace
Pressense-Elise-de_Rosa_<Cécile-2848>_84783,"et l' on voyait sur son visage , non -"
Pressense-Elise-de_Rosa_<Cécile-2848>_84810,qui s' était accompli en elle sous la double influence
Pressense-Elise-de_Rosa_<Cécile-2848>_84823,et de l' affliction . Elle était bien fatiguée lorsque
Pressense-Elise-de_Rosa_<Cécile-2848>_84837,"devant la porte , et sa tante , qui lui"
Pressense-Elise-de_Rosa_<Cécile-2848>_84841,"et sa tante , qui lui avait donné le bras"
Pressense-Elise-de_Rosa_<Cécile-2848>_84854,"escalier , ne voulut pas la quitter avant de l'"
Pressense-Elise-de_Rosa_<Cécile-2848>_84858,pas la quitter avant de l' avoir vue s' étendre
Pressense-Elise-de_Rosa_<Cécile-2848>_84876,"bon feu , et de lui avoir fait prendre quelques"
Pressense-Elise-de_Rosa_<Cécile-2848>_84885,quelques cuillerées de bouillon pour la restaurer . Ayant obéi
Pressense-Elise-de_Rosa_<Cécile-2848>_84897,"à toutes ces prescriptions , Cécile prit la main de"
Pressense-Elise-de_Rosa_<Cécile-2848>_84907,"Madame Reynold , et y appuya ses lèvres . C'"
Pressense-Elise-de_Rosa_<Cécile-2848>_84908,"Reynold , et y appuya ses lèvres . C' était"
Pressense-Elise-de_Rosa_<Cécile-2848>_84918,par cette caresse muette qu' elle lui exprimait le plus
Pressense-Elise-de_Rosa_<Cécile-2848>_84924,lui exprimait le plus habituellement sa reconnaissance . Madame Reynold
Pressense-Elise-de_Rosa_<Cécile-2848>_84949,assit près du fauteuil de la petite convalescente . –
Pressense-Elise-de_Rosa_<Cécile-2848>_84954,"la petite convalescente . – Chère enfant , dit -"
Pressense-Elise-de_Rosa_<Cécile-2848>_84962,"dit - elle , ne te laisse pas aller à"
Pressense-Elise-de_Rosa_<Cécile-2848>_84991,"heureux ! – Oh ! ma tante , c' est"
Pressense-Elise-de_Rosa_<Cécile-2848>_85012,"des pensées consolantes , mais moi . Elle s' arrêta"
Pressense-Elise-de_Rosa_<Cécile-2848>_85014,"consolantes , mais moi . Elle s' arrêta un moment"
Pressense-Elise-de_Rosa_<Cécile-2848>_85021,"arrêta un moment , puis reprit après avoir réprimé un"
Pressense-Elise-de_Rosa_<Cécile-2848>_85029,réprimé un sanglot : – Je ne me consolerai jamais
Pressense-Elise-de_Rosa_<Cécile-2848>_85123,"Sauveur ? – Oui , j' aime à vous l'"
Pressense-Elise-de_Rosa_<Cécile-2848>_85131,"vous l' entendre redire , ma tante . – Eh"
Pressense-Elise-de_Rosa_<Cécile-2848>_85149,"faire . Cède - lui ton fardeau , il te"
Pressense-Elise-de_Rosa_<Cécile-2848>_85153,"lui ton fardeau , il te le demande ; sans"
Pressense-Elise-de_Rosa_<Cécile-2848>_85160,"demande ; sans lui , tu en serais écrasée ;"
Pressense-Elise-de_Rosa_<Cécile-2848>_85171,"lui , le souvenir de tes torts et ton repentir"
Pressense-Elise-de_Rosa_<Cécile-2848>_85174,souvenir de tes torts et ton repentir seront comme un
Pressense-Elise-de_Rosa_<Cécile-2848>_85181,seront comme un aiguillon pour te pousser eu avant .
Pressense-Elise-de_Rosa_<Cécile-2848>_85191,"– Mais comment faire , ma tante ? je voudrais"
Pressense-Elise-de_Rosa_<Cécile-2848>_85194,"faire , ma tante ? je voudrais commencer une vie"
Pressense-Elise-de_Rosa_<Cécile-2848>_85202,"une vie nouvelle , et je ne trouve rien de"
Pressense-Elise-de_Rosa_<Cécile-2848>_85211,de bon au dedans de moi . J' ai peur
Pressense-Elise-de_Rosa_<Cécile-2848>_85213,au dedans de moi . J' ai peur d' être
Pressense-Elise-de_Rosa_<Cécile-2848>_85225,"irritable comme autrefois , quand j' aurai repris des forces"
Pressense-Elise-de_Rosa_<Cécile-2848>_85233,des forces et qu' il me faudra de nouveau vivre
Pressense-Elise-de_Rosa_<Cécile-2848>_85248,"Ma chère enfant , je te l' ai déjà dit"
Pressense-Elise-de_Rosa_<Cécile-2848>_85257,dit bien des fois : tu ne peux rien apporter
Pressense-Elise-de_Rosa_<Cécile-2848>_85297,Viens à lui telle que tu es . Le changement
Pressense-Elise-de_Rosa_<Cécile-2848>_85303,es . Le changement que tu désires est son œuvre
Pressense-Elise-de_Rosa_<Cécile-2848>_85318,". Ne regarde pas à toi - même , mais"
Pressense-Elise-de_Rosa_<Cécile-2848>_85346,"demandent . Madame Reynold quitta Cécile , la livrant au"
Pressense-Elise-de_Rosa_<Cécile-2848>_85348,"Madame Reynold quitta Cécile , la livrant au travail qui"
Pressense-Elise-de_Rosa_<Cécile-2848>_85356,"travail qui s' opérait en elle , après avoir cherché"
Pressense-Elise-de_Rosa_<Cécile-2848>_85362,", après avoir cherché à lui donner une direction salutaire"
Pressense-Elise-de_Rosa_<Cécile-2848>_85374,savait que le terrain de son cœur était naturellement aride
Pressense-Elise-de_Rosa_<Cécile-2848>_85389,"il fût profondément labouré . La pauvre enfant retrouvait ,"
Pressense-Elise-de_Rosa_<Cécile-2848>_85399,"dans le chemin nouveau où elle était entrée , les"
Pressense-Elise-de_Rosa_<Cécile-2848>_85406,"entrée , les difficultés de son caractère , et son"
