,text_surronding
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_17,"La Rochelle , il vit un homme sur le bord"
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_31,une boîte noire posée sur ses genoux . Il fit
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_34,posée sur ses genoux . Il fit arrêter son carrosse
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_37,genoux . Il fit arrêter son carrosse . Richelieu dit
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_43,carrosse . Richelieu dit à cet homme :— Prends ton
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_47,à cet homme :— Prends ton violon et viens .
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_52,ton violon et viens . L' homme obéit . Il
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_56,. L' homme obéit . Il monta dans le carrosse
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_62,monta dans le carrosse . Il s' assit devant le
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_80,"est une viole , dit le musicien . — La"
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_87,". — La nuit , j' ai peur . Voilà"
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_104,n' indique rien de plus au musicien qui désormais l'
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_106,rien de plus au musicien qui désormais l' accompagne partout
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_114,accompagne partout . Des chevaux le hantaient . Des chevaux
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_132,marchaient sur les morts qu' il aimait . Ils se
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_186,"sabots et leurs fers sur ses côtes , sur son"
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_190,"sur ses côtes , sur son ventre , sur ses"
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_194,"sur son ventre , sur ses poumons . Ils opprimaient"
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_199,ses poumons . Ils opprimaient son souffle . Il se
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_202,Ils opprimaient son souffle . Il se réveillait en sueur
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_216,de panique indescriptible . Aussitôt il appelait le musicien à
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_218,indescriptible . Aussitôt il appelait le musicien à son chevet
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_221,il appelait le musicien à son chevet . Richelieu dit
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_265,était l' idée fixe de cet homme que j' aimais
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_267,idée fixe de cet homme que j' aimais . La
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_295,contemplation à mort . Je le vois encore qui peint
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_298,. Je le vois encore qui peint en silence puis
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_303,qui peint en silence puis qui va à la table
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_317,"sous la fenêtre , où il range ses pinceaux ."
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_319,"fenêtre , où il range ses pinceaux . Il y"
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_322,il range ses pinceaux . Il y nettoie ses doigts
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_325,pinceaux . Il y nettoie ses doigts avec un chiffon
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_331,doigts avec un chiffon . Il revient . Il pose
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_334,chiffon . Il revient . Il pose sous son menton
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_337,revient . Il pose sous son menton son violon au
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_339,Il pose sous son menton son violon au bois clair
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_345,"violon au bois clair , il me fait un signe"
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_378,mais dans le même temps il incline le visage pour
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_390,scène peinte de côté . Il regarde de biais la
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_397,de biais la morte qu' il a peinte . Elle
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_422,"doucement , très doucement , il fait aller et venir"
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_437,pour parler aux corps qu' il a créés et pour
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_466,mère . La journée de Jean Rustin suivait un rythme
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_481,"l' après - midi , il ne songeait plus qu'"
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_490,"qu' à rendre visite à sa mère , préparer son"
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_494,"à sa mère , préparer son souper , mettre la"
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_505,", poser le rond de sa serviette , emplir son"
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_509,"de sa serviette , emplir son verre , l' embrasser"
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_516,", l' embrasser . Puis il reprenait le volant de"
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_521,il reprenait le volant de sa voiture et il rentrait
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_524,"volant de sa voiture et il rentrait chez lui ,"
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_527,"voiture et il rentrait chez lui , c' est -"
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_627,", courroucé , fébrile , il me demandait d' arriver"
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_678,que cela me prendrait . Jean était un très grand
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_680,me prendrait . Jean était un très grand peintre que
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_684,était un très grand peintre que j' admirais . Son
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_688,peintre que j' admirais . Son obstination et son silence
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_691,admirais . Son obstination et son silence m' emplissaient de
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_754,sangle pressait l' épaule . Il entendait la porte métallique
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_765,"l' ascenseur s' ouvrir , il arrivait en trottant dans"
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_770,il arrivait en trottant dans ses pantoufles . Il me
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_773,trottant dans ses pantoufles . Il me faisait asseoir dans
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_792,fût à la hauteur qu' il préconisait par rapport à
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_816,fixement dans les yeux . Il me montrait le travail
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_824,le travail des jours . Il ne parlait pas beaucoup
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_837,que toutes les toiles qu' il avait peintes récemment avaient
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_849,"le long des murs , il n' en laissait qu'"
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_879,D' un coup de menton il me montrait les deux
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_889,pupitres dépliés et préparés . Il avait placé ma chaise
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_901,", devant le chevalet , il préférait la gauche ,"
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_974,de manger un peu . Il s' asseyait sur le
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_986,"de la seconde pièce , il ôtait ses pantoufles ,"
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_988,"seconde pièce , il ôtait ses pantoufles , il laçait"
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_991,"il ôtait ses pantoufles , il laçait patiemment ses souliers"
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_994,"pantoufles , il laçait patiemment ses souliers . On descendait"
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_1142,", du petit caniveau . Lui , il s' asseyait"
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_1144,"petit caniveau . Lui , il s' asseyait au volant"
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_1150,s' asseyait au volant de sa voiture et claquait la
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_1153,volant de sa voiture et claquait la portière . Adieu
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_1165,"était fini . Adieu , Jean , c' est fini"
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_1193,écrase l' homme tandis qu' il est en train de
Quignard-Pascal_L-enfant-d-Ingolstadt_<un homme-5>_1201,train de regarder ce qui le sidère . Dans l'
Quignard-Pascal_L-enfant-d-Ingolstadt_<les hommes-1636>_32691,reprit Wang Yi . Jadis les hommes marchaient en dépliant
Quignard-Pascal_L-enfant-d-Ingolstadt_<les hommes-1636>_32696,les hommes marchaient en dépliant leurs jambes et en posant
Quignard-Pascal_L-enfant-d-Ingolstadt_<les hommes-1636>_32705,posant progressivement la plante de leurs pieds auprès de leurs
