,text_surronding
Rameau-Jean_Yan_<Emile-1020>_24073,Florence pour son filleul . Emile dressa le vieillard pour
Rameau-Jean_Yan_<Emile-1020>_24093,"Longtemps à l' avance , il lui indiqua les termes"
Rameau-Jean_Yan_<Emile-1020>_24115,"de voix à produire . Il aimait Florence , le"
Rameau-Jean_Yan_<Emile-1020>_24119,". Il aimait Florence , le bon Emile . Et"
Rameau-Jean_Yan_<Emile-1020>_24124,"le bon Emile . Et il craignait tellement , malgré"
Rameau-Jean_Yan_<Emile-1020>_24135,", de s' entendre refuser sa main , qu' il"
Rameau-Jean_Yan_<Emile-1020>_24139,"refuser sa main , qu' il aurait , sans remords"
Rameau-Jean_Yan_<Emile-1020>_24152,les monstruosités pour épargner à son cœur une telle catastrophe
Rameau-Jean_Yan_<Emile-1020>_24198,"phrase . — Voyons , papa! lui disait Emile en"
Rameau-Jean_Yan_<Emile-1020>_24201,"Voyons , papa! lui disait Emile en le poussant dans"
Rameau-Jean_Yan_<Emile-1020>_24209,poussant dans un coin . Figurez - vous que nous
Rameau-Jean_Yan_<Emile-1020>_24224,"M . Brion est devant vous , sa fille est"
Rameau-Jean_Yan_<Emile-1020>_24230,", sa fille est à votre droite , je suis"
Rameau-Jean_Yan_<Emile-1020>_24233,"est à votre droite , je suis à votre gauche"
Rameau-Jean_Yan_<Emile-1020>_24236,"droite , je suis à votre gauche , le domestique"
Rameau-Jean_Yan_<Emile-1020>_24283,épouvantablement les nasales: « — Monsieur le député . A
Rameau-Jean_Yan_<Emile-1020>_24325,"la phrase exacte! Désespéré , Emile écrivit le petit discours"
Rameau-Jean_Yan_<Emile-1020>_24331,écrivit le petit discours . Il l' écrivit en caractères
Rameau-Jean_Yan_<Emile-1020>_24349,"s' y reconnaître , et il supplia Yan de l'"
Rameau-Jean_Yan_<Emile-1020>_24416,déplorables yeux de presbyte: « Monsieur le député . A
Rameau-Jean_Yan_<Emile-1020>_24450,Emile à côté de moi; vous avez votre fille Florence
Rameau-Jean_Yan_<Emile-1020>_24452,côté de moi; vous avez votre fille Florence à côté
Rameau-Jean_Yan_<Emile-1020>_24458,fille Florence à côté de vous: ces enfants ne me
Rameau-Jean_Yan_<Emile-1020>_24475,"jeunes cœurs trop longtemps . Monsieur Brion , c' est"
Rameau-Jean_Yan_<Emile-1020>_24491,"j' ai l' honneur de vous demander , pour mon"
Rameau-Jean_Yan_<Emile-1020>_24502,", la main de Mademoiselle votre fille . » —"
Rameau-Jean_Yan_<Emile-1020>_24510,"» — Etudiez cela , papa! étudiez - le tout"
Rameau-Jean_Yan_<Emile-1020>_24518,le tout le temps! recommanda Emile . Yan promit tout
Rameau-Jean_Yan_<Emile-1020>_24596,". . . Ah! oui: Monsieur Brion , c' est"
Rameau-Jean_Yan_<Emile-1020>_24647,les jeunes cœurs » . Emile lui avait signalé ce
Rameau-Jean_Yan_<Emile-1020>_24738,il s' appelait Pierre . Monsieur Jean entra dans un
Rameau-Jean_Yan_<Emile-1020>_24747,un grand courroux quand on lui apprit ça . —
Rameau-Jean_Yan_<Emile-1020>_24769,"au monde! écuma - t - il , avec une"
Rameau-Jean_Yan_<Emile-1020>_24778,une grande indignation dans toute sa voix . Poutoun: petit
Rameau-Jean_Yan_<Emile-1020>_24833,. . . Scélérats! Mais ses plus grandes colères tombaient
Rameau-Jean_Yan_<Emile-1020>_24849,et de longues prostrations suivaient ses moindres emportements . Parfois
Rameau-Jean_Yan_<Emile-1020>_24876,"vue de la jeune fille l' apaisait , lui faisait"
Rameau-Jean_Yan_<Emile-1020>_24879,"jeune fille l' apaisait , lui faisait du bien ,"
Rameau-Jean_Yan_<Emile-1020>_24884,"lui faisait du bien , l' invitait au recueillement et"
Rameau-Jean_Yan_<Emile-1020>_24894,"au silence . Certes , il lui gardait beaucoup de"
Rameau-Jean_Yan_<Emile-1020>_24916,de? . . . Ah! il se proposait de lui
Rameau-Jean_Yan_<Emile-1020>_24922,"se proposait de lui dire son fait , un jour"
Rameau-Jean_Yan_<Emile-1020>_24954,elle seule savait être douce au vieillard . Elle seule
Rameau-Jean_Yan_<Emile-1020>_24959,au vieillard . Elle seule l' appelait encore « Yan
Rameau-Jean_Yan_<Emile-1020>_24963,seule l' appelait encore « Yan » tout court .
Rameau-Jean_Yan_<Emile-1020>_24984,"elle les répétait continuellement à Yan , et cette flatterie"
Rameau-Jean_Yan_<Emile-1020>_24990,", et cette flatterie emparadisait l' aïeul . Elle était"
