,text_surronding
Renard-Jules_Bucoliques_<BERTHE I-1126>_31713,chaîne vers l' Inconnu . BERTHE I Elle a cinq
Renard-Jules_Bucoliques_<BERTHE I-1126>_31715,l' Inconnu . BERTHE I Elle a cinq ans et
Renard-Jules_Bucoliques_<BERTHE I-1126>_31720,"Elle a cinq ans et elle est tellement grasse ,"
Renard-Jules_Bucoliques_<BERTHE I-1126>_31730,"grasse à lard , qu' elle ne pourrait pas boire"
Renard-Jules_Bucoliques_<BERTHE I-1126>_31744,se crotter les joues . Elle a une mine de
Renard-Jules_Bucoliques_<BERTHE I-1126>_31763,de lampe . Ce soir elle rêve et grogne dans
Renard-Jules_Bucoliques_<BERTHE I-1126>_31766,Ce soir elle rêve et grogne dans son lit .
Renard-Jules_Bucoliques_<BERTHE I-1126>_31768,elle rêve et grogne dans son lit . Sa maman
Renard-Jules_Bucoliques_<BERTHE I-1126>_31771,grogne dans son lit . Sa maman va la chercher
Renard-Jules_Bucoliques_<BERTHE I-1126>_31774,lit . Sa maman va la chercher et la garde
Renard-Jules_Bucoliques_<BERTHE I-1126>_31777,"maman va la chercher et la garde un peu ,"
Renard-Jules_Bucoliques_<BERTHE I-1126>_31778,"va la chercher et la garde un peu , près"
Renard-Jules_Bucoliques_<BERTHE I-1126>_31784,"un peu , près d' elle , dans le grand"
Renard-Jules_Bucoliques_<BERTHE I-1126>_31791,dans le grand lit . BERTHE A quoi ça sert
Renard-Jules_Bucoliques_<BERTHE I-1126>_31827,rêve n' existent pas . BERTHE Si ça ne sert
Renard-Jules_Bucoliques_<BERTHE I-1126>_31837,"à rien , pourquoi que je ne rêve pas toujours"
Renard-Jules_Bucoliques_<BERTHE I-1126>_31850,? LA MAMAN Parce que lu te couches sur le
Renard-Jules_Bucoliques_<BERTHE I-1126>_31851,LA MAMAN Parce que lu te couches sur le dos
Renard-Jules_Bucoliques_<BERTHE I-1126>_31858,"sur le dos . Console - toi vite , et"
Renard-Jules_Bucoliques_<BERTHE I-1126>_31864,"toi vite , et je te remettrai dans ton lit"
Renard-Jules_Bucoliques_<BERTHE I-1126>_31867,"et je te remettrai dans ton lit , sur le"
Renard-Jules_Bucoliques_<BERTHE I-1126>_31874,", sur le côté . BERTHE J' aime mieux rester"
Renard-Jules_Bucoliques_<BERTHE I-1126>_31875,sur le côté . BERTHE J' aime mieux rester là
Renard-Jules_Bucoliques_<BERTHE I-1126>_31887,"bord de toi , ça m' est égal de rêver"
Renard-Jules_Bucoliques_<BERTHE I-1126>_31896,rêver . LA MAMAN Mais tu me gênes . BERTHE
Renard-Jules_Bucoliques_<BERTHE I-1126>_31900,Mais tu me gênes . BERTHE Je dormirai bien sage
