,text_surronding
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43265,"de bon sens , avec Monsieur Henri , qui n'"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43268,", avec Monsieur Henri , qui n' est pas un"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43431,elle pas toujours près de Monsieur Henri ? Elle le
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43435,de Monsieur Henri ? Elle le suit de rocher en
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43461,à l' endroit même où Monsieur Henri a déjà fait
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43482,"trouver aucune crevette , puisque Monsieur Henri les a toutes"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43493,. MONSIEUR VERNET Possible . HENRI N' ai point observé
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43502,"observé ça . MADAME VERNET Monsieur Henri , vous êtes"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43505,"MADAME VERNET Monsieur Henri , vous êtes dans votre rôle"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43508,"Henri , vous êtes dans votre rôle de jeune homme"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43519,on n' a rien à vous dire . Mais quand
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43534,c' est plus frappant . Vous vous traînez côte à
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43545,", genou à genou . Vos deux fronts se touchent"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43552,fronts se touchent . Avez - vous assez de coquilles
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43565,"en veut plus . Si vous en ramassez , elle"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43578,quatre pattes . Comment expliquez - vous cela ? MONSIEUR
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43585,cela ? MONSIEUR VERNET Par sa naïveté . HENRI Moi
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43588,VERNET Par sa naïveté . HENRI Moi aussi . MADAME
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43589,Par sa naïveté . HENRI Moi aussi . MADAME VERNET
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43595,aussi . MADAME VERNET Donnez - vous la peine de
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43607,"qui est aveuglant . Si vous dites des vers ,"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43653,À seize ans ! Quand vous partez et que raisonnablement
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43662,"raisonnablement elle ne peut pas vous suivre , sa figure"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43676,si d' une passe magnétique vous lui aviez enlevé son
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43699,"des habitudes d' ivrognerie . Je ris , tant c'"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43707,"tant c' est bête ! HENRI Vous me confondez ,"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43708,"c' est bête ! HENRI Vous me confondez , bonnement"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43709,"est bête ! HENRI Vous me confondez , bonnement ."
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43712,"HENRI Vous me confondez , bonnement . MONSIEUR VERNET C'"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43714,"me confondez , bonnement . MONSIEUR VERNET C' est drôle"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43720,VERNET C' est drôle ! MADAME VERNET J' achève .
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43722,est drôle ! MADAME VERNET J' achève . Répondez -
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43726,"VERNET J' achève . Répondez - moi , sincères !"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43735,"! À chaque instant , je suis obligée de l'"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43752,"pour compter le linge , m' aider au ménage ."
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43770,"Hier , à déjeuner , je vous ai donné un"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43771,", à déjeuner , je vous ai donné un coup"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43782,serviette sur la tête en vous disant : « Faites
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43786,en vous disant : « Faites donc couper votre barbe
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43820,son assiette . L' avez - vous entendue ? Mes
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43824,avez - vous entendue ? Mes bras en sont tombés
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43830,bras en sont tombés . MONSIEUR VERNET Un mot !
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43838,mot ! Ou ce que tu nous racontes est faux
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43845,"racontes est faux , et tu chantes , ou c'"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43867,est un honnête homme . MADAME VERNET Il ne s'
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43897,se défendre . Il ne m' a pas chargé de
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43908,"surveiller , et il pourrait me faire sentir poliment mon"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43912,pourrait me faire sentir poliment mon indiscrétion . Je ne
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43915,sentir poliment mon indiscrétion . Je ne songe qu' à
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43938,s' est peut - être je le crains ! hélas
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43947,hélas ! irrémédiablement compromise . Monsieur Vernet s' épanouit au
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43958,de lune . Une idée lui est venue dont il
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43962,idée lui est venue dont il nous fait part :
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43978,", nous les marierons . Mon gaillard , répondez !"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43984,"gaillard , répondez ! » Je m' en garde ,"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43990,"m' en garde , et me dandine gauchement . MADAME"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43991,"en garde , et me dandine gauchement . MADAME VERNET"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_43994,"et me dandine gauchement . MADAME VERNET Victor , on"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_44005,peut pas parler gravement avec toi . Elle s' appuie
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_44007,parler gravement avec toi . Elle s' appuie du coude
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_44029,"taille , ils iront . Je les vois descendant les"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_44048,la fortune pour deux . MADAME VERNET Heureusement Monsieur Henri
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_44070,"pile et se tourne de mon côté , afin que"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_44075,"mon côté , afin que je reçoive l' éloge en"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_44083,éloge en plein visage . MONSIEUR VERNET N' apporterait -
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_44096,"talent , son avenir ? MADAME VERNET Si tu crois"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_44099,avenir ? MADAME VERNET Si tu crois qu' il faut
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_44113,femme de ce genre ! MONSIEUR VERNET Elle en vaut
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_44121,en vaut une autre . MADAME VERNET Est - ce
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_44151,c' est une bûche . MONSIEUR VERNET Je te trouve
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_44153,une bûche . MONSIEUR VERNET Je te trouve sévère ;
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_44154,bûche . MONSIEUR VERNET Je te trouve sévère ; mais
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_44164,"il est certain que si tu la déprécies , tu"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_44168,"si tu la déprécies , tu en dégoûteras Henri ."
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_44173,tu en dégoûteras Henri . Je me balance toujours en
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_44181,"toujours en ricanant , et j' attends que quelqu' un"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_44189,"quelqu' un de bonne volonté me souffle une réponse ,"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_44197,"réponse , dépité parce que je dois refuser le gâteau"
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_44204,refuser le gâteau qu' on m' offre . – «
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_44211,. – « Venez à mon secours ! » dis
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_44216,mon secours ! » dis - je à Madame Vernet
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_44219,» dis - je à Madame Vernet . – «
Renard-Jules_L-Ecornifleur_<Monsieur Henri-1465>_44227,"– « Véritablement , dit - elle à Monsieur Vernet"
