,text_surronding
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9580,. Luc de Certeuil conduisit Charles au bureau et demanda
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9586,au bureau et demanda pour lui une belle chambre sur
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9596,la mer . – Faites - moi l' amitié de
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9601,"- moi l' amitié de m' accompagner , dit Charles"
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9605,"de m' accompagner , dit Charles . J' ai hâte"
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9607,"accompagner , dit Charles . J' ai hâte de vous"
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9728,"femme de chambre : – Mon cher Certeuil , dit"
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9733,"Mon cher Certeuil , dit Charles Christiani , ma façon"
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9736,", dit Charles Christiani , ma façon d' être doit"
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9748,un peu bizarre . Pardonnez - moi … Vous voyez
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9773,… elle a fait sur moi une profonde impression …
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9784,", sans rien dire , le considérait d' un air"
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9792,un air si indéchiffrable que Charles s' interrompit un instant
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9800,"un instant et , à son tour , fixa curieusement"
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9803,", à son tour , fixa curieusement les yeux qui"
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9808,fixa curieusement les yeux qui le fixaient . – Qu'
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9821,"t - il ? reprit Charles , légèrement démonté ."
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9829,démonté . – Rien . Je vous écoute avec beaucoup
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9830,. – Rien . Je vous écoute avec beaucoup d'
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9857,"dire que , enfin … Vous devez bien penser ,"
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9862,"Vous devez bien penser , mon cher ami , que"
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9867,"mon cher ami , que je ne serai pas le"
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9882,… – Quoi ! dit Charles très gaiement . Parce
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9888,"très gaiement . Parce que je ne danse pas ,"
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9895,"danse pas , parce que je ne vais pas dans"
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9905,"le monde , parce que je suis un explorateur d'"
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9926,à des vœux perpétuels et me prendre pour un moine
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9934,un moine ? Dites ? Luc de Certeuil affecta de
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9946,"yeux précipitamment , pour manifester son incompréhension . – Vous"
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9950,manifester son incompréhension . – Vous voudrez bien m' excuser
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9953,". – Vous voudrez bien m' excuser , dit -"
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9957,"bien m' excuser , dit - il . Je n'"
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9960,", dit - il . Je n' y suis plus"
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9968,suis plus . Quelque chose m' échappe . Pour ne
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_9991,"D' abord … Enfin , mon cher , voyons ,"
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_10002,", est - ce à moi de vous rappeler …"
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_10004,- ce à moi de vous rappeler … Allons !
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_10009,vous rappeler … Allons ! vous me faites marcher !
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_10010,rappeler … Allons ! vous me faites marcher ! –
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_10020,"Pardon , pardon , dit Charles qui se troublait et"
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_10021,", pardon , dit Charles qui se troublait et parlait"
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_10025,Charles qui se troublait et parlait maintenant d' une voix
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_10032,d' une voix changée . Je n' ai pas rêvé
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_10042,", cependant . N' est - elle pas charmante ?"
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_10057,? – Certes ! confirma Luc sans quitter son rictus
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_10060,! confirma Luc sans quitter son rictus ironique . –
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_10065,son rictus ironique . – Je ne suppose pas qu'
Renard-Maurice_Le-Maitre-de-la-lumiere_<Charles au bureau-490>_10078,"ait rien à dire sur ses parents . Honnêtes ,"
