,text_surronding
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_17595,- pieds au couvent . Le père Théotiste était le
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_17615,"âge de discrétion , et il avait , à ce"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_17629,accès chez l' orfèvre ; c' était le seul visage
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_17654,ce que prétendait Màdeloun . Sa présence répandait toujours le
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_17674,même adoucissait son humeur pour le bien accueillir . Misé
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_17684,"Brun , entendant la voix du père Théotiste , se"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_17693,se hâta de descendre . Le bon religieux avait déjà
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_17703,pris place à table ; il arrêta d' un coup
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_17726,"quelque sévère remontrance , et dit en désignant la place"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_17812,"père , si je ne vous eusse point prié de"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_17829,"passant devant notre porte , vous n' auriez pas déjeuné"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_17836,"auriez pas déjeuné ? — Je serais allé , à"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_17850,"soupe du couvent , répondit - il ; certainement ce"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_17886,"pain manquait chez eux ! J' ai vu , pendant"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_17971,j' ai prié Dieu pour vous en disant ma messe
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_17982,car je voyais bien que vous oubliyez vous - même
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_17984,voyais bien que vous oubliyez vous - même de vous
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_17996,"lui , Ce matin , vous avez péché par omission"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18010,"— Il est vrai , mon père , répondit -"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18014,", mon père , répondit - elle avec humilité ;"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18020,elle avec humilité ; mais je ma repens de ma
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18024,mais je ma repens de ma faute et je tâcherai
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18027,repens de ma faute et je tâcherai de n' y
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18060,. Il faudra dire à votre tante Marianne que vous
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18064,à votre tante Marianne que vous êtes fâchée du scandale
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18070,êtes fâchée du scandale que vous lui avez donné involontairement
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18080,", et l' assurer que vous vous conduirez toujours d'"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18094,". C' est bien là votre pensée , n' est"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18104,"- ce pas ? — Je ne sais , mon"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18108,"— Je ne sais , mon père , répondit -"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18112,", mon père , répondit - elle en hésitant :"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18118,elle en hésitant : mais je lâcherai de penser au
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18131,ce que vous voulez que je dise à ma tante
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18134,voulez que je dise à ma tante Marianne . —
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18167,"Ma chère fille , quand vous êtes venue me demander"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18179,aux dernières fêtes de Pâques vous m' avez avoué vos
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18183,"Pâques vous m' avez avoué vos péchés , mais vous"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18187,"avoué vos péchés , mais vous ne m' avez pas"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18193,ne m' avez pas confié vos chagrins ; vous ne
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18196,pas confié vos chagrins ; vous ne vous trouvez pas
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18206,heureuse dans la famille où vous êtes entrée ? Pour
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18214,"? Pour toute réponse , la pauvre femme se prit"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18231,", parlez - moi de vos peines , reprit le"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18243,"onction ; à qui devrez - vous les confier ,"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18255,"n' est à moi , votre directeur , votre père"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18258,"moi , votre directeur , votre père spirituel ? Dites"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18268,- moi tout ce qui vous pèse sur le cœur
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18282,- il passé céans dont vous ayez sujet de vous
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18295,- ce l' humeur de votre tante Marianne qui vous
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18299,de votre tante Marianne qui vous rend malheureuse ? —
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18305,"rend malheureuse ? — Non mon père , j' y"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18308,"— Non mon père , j' y suis accoutumée ,"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18314,"y suis accoutumée , répondit - elle avec une naïve"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18365,manqué aux sentiments qu' il vous doit . Je sais
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18378,"est mélancolique et taciturne ;mais votre humeur agréable , votre"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18382,";mais votre humeur agréable , votre douceur , pourront changer"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18410,en toute ; occasion que vous désirez par dessus tout
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18426,bonheur est le butunique de vossoins ; aimez - le
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18435,"le enfin , c' est votre devoir . — Oh"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18441,devoir . — Oh ! mon père ! murmura misé
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18449,murmura misé Brun en cachant son visage dans ses mains
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18452,en cachant son visage dans ses mains avec un geste
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18464,et de douleur qui dévoila sa pensée et éclaira le
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18493,"il , au nom de votre tranquillité , de votre"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18497,"de votre tranquillité , de votre bonheur , de votre"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18501,"de votre bonheur , de votre salut éternel , achevez"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18513,"faire connaître l' état de votre âme , dites -"
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18521,dites - moi quels sont vos sentiments envers votre mari
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18524,quels sont vos sentiments envers votre mari . — Quand
Reybaud-Henriette-Etiennette-Fanny_Rose_<Le père Théotiste-769>_18529,"votre mari . — Quand je le vois , j'"
