,text_surronding
Riboulet-Mathieu_Les-oeuvres-de-misericorde_<moi un joli jour de juin-2036>_37203,qui l' a mené vers moi un joli jour de
Riboulet-Mathieu_Les-oeuvres-de-misericorde_<moi un joli jour de juin-2036>_37239,"bonne , s' enquiert de moi , de ma rencontre"
Riboulet-Mathieu_Les-oeuvres-de-misericorde_<moi un joli jour de juin-2036>_37242,"enquiert de moi , de ma rencontre avec Andreas ."
Riboulet-Mathieu_Les-oeuvres-de-misericorde_<moi un joli jour de juin-2036>_37247,ma rencontre avec Andreas . Je m' aperçois une fois
Riboulet-Mathieu_Les-oeuvres-de-misericorde_<moi un joli jour de juin-2036>_37296,plombs dans l' aile . Je lui raconte Cologne et
Riboulet-Mathieu_Les-oeuvres-de-misericorde_<moi un joli jour de juin-2036>_37301,Je lui raconte Cologne et mon désir confus de suivre
Riboulet-Mathieu_Les-oeuvres-de-misericorde_<moi un joli jour de juin-2036>_37321,"allemands . « Avec moi tu es mal tombé ,"
Riboulet-Mathieu_Les-oeuvres-de-misericorde_<moi un joli jour de juin-2036>_37344,- il . Il ne me prend apparemment pas pour
Riboulet-Mathieu_Les-oeuvres-de-misericorde_<moi un joli jour de juin-2036>_37352,pas pour un fou . Je réponds que j' ai
Riboulet-Mathieu_Les-oeuvres-de-misericorde_<moi un joli jour de juin-2036>_37355,"fou . Je réponds que j' ai l' habitude ,"
Riboulet-Mathieu_Les-oeuvres-de-misericorde_<moi un joli jour de juin-2036>_37375,"noirs sont nombreux , que je les étreins comme les"
Riboulet-Mathieu_Les-oeuvres-de-misericorde_<moi un joli jour de juin-2036>_37400,", s' excusant auprès de moi , en allemand ,"
Riboulet-Mathieu_Les-oeuvres-de-misericorde_<moi un joli jour de juin-2036>_37417,"lui - même saisi de mes intentions , leur conversation"
Riboulet-Mathieu_Les-oeuvres-de-misericorde_<moi un joli jour de juin-2036>_37430,"aisance accrue , naturellement . Je ne suis pas jaloux"
Riboulet-Mathieu_Les-oeuvres-de-misericorde_<moi un joli jour de juin-2036>_37441,"ne me sens exclu , j' aime infiniment entendre parler"
Riboulet-Mathieu_Les-oeuvres-de-misericorde_<moi un joli jour de juin-2036>_37451,"des langues étrangères autour de moi , même et surtout"
Riboulet-Mathieu_Les-oeuvres-de-misericorde_<moi un joli jour de juin-2036>_37457,", même et surtout si je ne les comprends pas"
Riboulet-Mathieu_Les-oeuvres-de-misericorde_<moi un joli jour de juin-2036>_37463,ne les comprends pas . Je m' attache à la
Riboulet-Mathieu_Les-oeuvres-de-misericorde_<moi un joli jour de juin-2036>_37481,"aiguisés , finalement protégé par mon incompréhension . À l'"
Riboulet-Mathieu_Les-oeuvres-de-misericorde_<moi un joli jour de juin-2036>_37510,", très vive , que me procurent mes deux amants"
Riboulet-Mathieu_Les-oeuvres-de-misericorde_<moi un joli jour de juin-2036>_37512,"vive , que me procurent mes deux amants d' Allemagne"
Riboulet-Mathieu_Les-oeuvres-de-misericorde_<moi un joli jour de juin-2036>_37527,"nets , dont la beauté me noue la gorge presque"
Riboulet-Mathieu_Les-oeuvres-de-misericorde_<moi un joli jour de juin-2036>_37555,"un vers l' autre , me regardent , ils sont"
Riboulet-Mathieu_Les-oeuvres-de-misericorde_<moi un joli jour de juin-2036>_37567,"gais , ce soir . Je veux , cette nuit"
Riboulet-Mathieu_Les-oeuvres-de-misericorde_<moi un joli jour de juin-2036>_37589,"de l' esprit dont ils me font cadeau , pour"
Riboulet-Mathieu_Les-oeuvres-de-misericorde_<moi un joli jour de juin-2036>_37601,"de réponses que leurs corps me fournissent , je veux"
Riboulet-Mathieu_Les-oeuvres-de-misericorde_<moi un joli jour de juin-2036>_37604,"leurs corps me fournissent , je veux , et même"
Riboulet-Mathieu_Les-oeuvres-de-misericorde_<moi un joli jour de juin-2036>_37628,"ils se souviendront , être le serviteur de leurs passions"
Riboulet-Mathieu_Les-oeuvres-de-misericorde_<moi un joli jour de juin-2036>_37669,"doux et très violent , je veux dire que nous"
