,text_surronding
Richardet-Gustave_Le-Mariage-de-Bouillardin_<le monsieur-207>_5334,"mon épaule , c' était le monsieur que j' avais"
Richardet-Gustave_Le-Mariage-de-Bouillardin_<le monsieur-207>_5336,", c' était le monsieur que j' avais appelé butor"
Richardet-Gustave_Le-Mariage-de-Bouillardin_<le monsieur-207>_5363,"profit . J' avais insulté ce monsieur , qui me"
Richardet-Gustave_Le-Mariage-de-Bouillardin_<le monsieur-207>_5366,"avais insulté ce monsieur , qui me faisait l' effet"
Richardet-Gustave_Le-Mariage-de-Bouillardin_<le monsieur-207>_5385,"j' acceptai le duel qu' il allait me proposer ,"
Richardet-Gustave_Le-Mariage-de-Bouillardin_<le monsieur-207>_5418,était certain . Comment veux - tu qu' une jeune
Richardet-Gustave_Le-Mariage-de-Bouillardin_<le monsieur-207>_5461,arrogant que je demandais à ce monsieur ce qu' il
Richardet-Gustave_Le-Mariage-de-Bouillardin_<le monsieur-207>_5465,à ce monsieur ce qu' il désirait . — Une
Richardet-Gustave_Le-Mariage-de-Bouillardin_<le monsieur-207>_5475,petite explication . — A vos ordres . — Est
Richardet-Gustave_Le-Mariage-de-Bouillardin_<le monsieur-207>_5493,frère ou de cousin que vous vous êtes interposé entre
Richardet-Gustave_Le-Mariage-de-Bouillardin_<le monsieur-207>_5516,"aucun de ces titres , monsieur . — Alors ,"
Richardet-Gustave_Le-Mariage-de-Bouillardin_<le monsieur-207>_5525,", permettez - moi de vous dire que vous êtes"
Richardet-Gustave_Le-Mariage-de-Bouillardin_<le monsieur-207>_5528,moi de vous dire que vous êtes un impertinent personnage
Richardet-Gustave_Le-Mariage-de-Bouillardin_<le monsieur-207>_5530,vous dire que vous êtes un impertinent personnage . —
Richardet-Gustave_Le-Mariage-de-Bouillardin_<le monsieur-207>_5538,". — Parbleu , je vous trouve plaisant , lui"
Richardet-Gustave_Le-Mariage-de-Bouillardin_<le monsieur-207>_5542,"je vous trouve plaisant , lui dis - je ,"
Richardet-Gustave_Le-Mariage-de-Bouillardin_<le monsieur-207>_5571,- ce une querelle que vous cherchez ? voici ma
Richardet-Gustave_Le-Mariage-de-Bouillardin_<le monsieur-207>_5587,ne souffrirais aucune insolence . Le monsieur repoussa ma carte
