,text_surronding
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_1573,"de sa douleur , que Hugues Viane s' en était"
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_1582,était si bien accommodé depuis son arrivée à Bruges .
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_1587,son arrivée à Bruges . Il n' avait pas eu
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_1599,"servante et celle - ci lui était devenue nécessaire ,"
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_1657,de ses ordres formels . Hugues attendit pour sortir qu'
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_1668,"eût rangé les meubles , s' assura que tout ce"
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_1674,assura que tout ce qui lui était cher fût intact
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_1694,"et les portes closes , il se décida à son"
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_1698,", il se décida à son ordinaire promenade du crépuscule"
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_1706,"du crépuscule , bien qu' il ne cessât pas de"
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_1759,", aux mailles interminables ! II Hugues recommençait chaque soir"
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_1760,aux mailles interminables ! II Hugues recommençait chaque soir le
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_1785,"peu voûté déjà , quoiqu' il eût seulement quarante ans"
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_1797,le veuvage avait été pour lui un automne précoce .
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_1814,pleins de cendre grise . Ses yeux fanés regardaient loin
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_1843,d' après - midi ! Il l' aimait ainsi !
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_1855,pour sa tristesse même qu' il l' avait choisie et
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_1861,l' avait choisie et y était venu vivre après le
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_1878,"temps de bonheur , quand il voyageait avec sa femme"
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_1881,", quand il voyageait avec sa femme , vivant à"
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_1886,"sa femme , vivant à sa fantaisie , d' une"
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_1909,"bord de la mer , il y était venu avec"
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_1938,"tard , resté seul , il s' était ressouvenu de"
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_1945,était ressouvenu de Bruges et avait eu l' intuition instantanée
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_1974,correspondre une ville morte . Son grand deuil exigeait un
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_1985,décor . La vie ne lui serait supportable qu' ici
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_1991,serait supportable qu' ici . Il y était venu d'
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_2018,tresse ses mille rumeurs . Il avait besoin de silence
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_2033,si monotone qu' elle ne lui donnerait presque plus la
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_2102,"et des rues inanimées , Hugues avait moins senti la"
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_2109,"moins senti la souffrance de son cœur , il avait"
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_2112,"souffrance de son cœur , il avait pensé plus doucement"
Rodenbach-Georges_Bruges-la-Morte_<Hugues Viane-71>_2121,doucement à la morte . Il l' avait mieux revue
