,text_surronding
Rolin-Olivier_L-Invention-du-monde_<te-2>_6,"Attends , oui , je te vois , je te"
Rolin-Olivier_L-Invention-du-monde_<te-2>_10,"je te vois , je te vois bien , maintenant"
Rolin-Olivier_L-Invention-du-monde_<te-2>_16,"vois bien , maintenant . Tu es debout , sur"
Rolin-Olivier_L-Invention-du-monde_<te-2>_43,". D' autres autour de toi , neuf , dix"
Rolin-Olivier_L-Invention-du-monde_<te-2>_51,", dix , onze . Tu te tiens à droite"
Rolin-Olivier_L-Invention-du-monde_<te-2>_124,"nom d' orange , dont tu n' auras jamais idée"
Rolin-Olivier_L-Invention-du-monde_<te-2>_164,"fais pas de souci pour toi , tes onze rivales"
Rolin-Olivier_L-Invention-du-monde_<te-2>_166,"de souci pour toi , tes onze rivales ont l'"
Rolin-Olivier_L-Invention-du-monde_<te-2>_186,la coopérative “Diana” . Mais toi … Tu as un
Rolin-Olivier_L-Invention-du-monde_<te-2>_188,“Diana” . Mais toi … Tu as un pantalon serré
Rolin-Olivier_L-Invention-du-monde_<te-2>_223,"et denses et bruns , ô bayadère … Je vois"
Rolin-Olivier_L-Invention-du-monde_<te-2>_224,"denses et bruns , ô bayadère … Je vois aussi"
Rolin-Olivier_L-Invention-du-monde_<te-2>_230,"… Je vois aussi que tes bras sont minces ,"
Rolin-Olivier_L-Invention-du-monde_<te-2>_235,"tes bras sont minces , tu es comme un jeune"
Rolin-Olivier_L-Invention-du-monde_<te-2>_255,ô ombreuse … savoureuse … Tes épaules rejetées en arrière
Rolin-Olivier_L-Invention-du-monde_<te-2>_283,"coulisses , ô surprise … Tu as , je vois"
Rolin-Olivier_L-Invention-du-monde_<te-2>_302,"une ogive , tranchant sur ton visage comme la nuit"
Rolin-Olivier_L-Invention-du-monde_<te-2>_337,la bouche circonflexe … Comment t' appelles - tu ?
Rolin-Olivier_L-Invention-du-monde_<te-2>_339,circonflexe … Comment t' appelles - tu ? Es -
Rolin-Olivier_L-Invention-du-monde_<te-2>_343,appelles - tu ? Es - tu Tamara Malkhina ?
Rolin-Olivier_L-Invention-du-monde_<te-2>_363,ne détesterais pas . Que tu m' apprennes le tadjik
Rolin-Olivier_L-Invention-du-monde_<te-2>_391,"? Cela m' étonnerait . Tu n' as pas ,"
Rolin-Olivier_L-Invention-du-monde_<te-2>_402,"merci , une tête à t' appeler comme ça ."
Rolin-Olivier_L-Invention-du-monde_<te-2>_408,appeler comme ça . Serais - tu Elena Maslova dont
Rolin-Olivier_L-Invention-du-monde_<te-2>_424,"Non , je crois que tu es plutôt Yana Bouria"
Rolin-Olivier_L-Invention-du-monde_<te-2>_458,"reine de la nuit , ma Shéhérazade . Attends ,"
Rolin-Olivier_L-Invention-du-monde_<te-2>_468,"j' ai des choses à te dire , à t'"
Rolin-Olivier_L-Invention-du-monde_<te-2>_472,"à te dire , à t' offrir , autrement plus"
Rolin-Olivier_L-Invention-du-monde_<te-2>_483,que ces roses rouges que te tend maintenant un gros
Rolin-Olivier_L-Invention-du-monde_<te-2>_524,"fini , tout ça … Tu as l' air triste"
Rolin-Olivier_L-Invention-du-monde_<te-2>_530,"as l' air triste , Tahminaï . Parce qu' en"
Rolin-Olivier_L-Invention-du-monde_<te-2>_539,en définitive ces cons ne t' ont élue que “Modèle
Rolin-Olivier_L-Invention-du-monde_<te-2>_582,"gant de tulle … Mais je vais te consoler ,"
Rolin-Olivier_L-Invention-du-monde_<te-2>_584,"tulle … Mais je vais te consoler , moi ."
Rolin-Olivier_L-Invention-du-monde_<te-2>_587,"je vais te consoler , moi . Attends , ne"
Rolin-Olivier_L-Invention-du-monde_<te-2>_592,"moi . Attends , ne boude pas , ne me"
Rolin-Olivier_L-Invention-du-monde_<te-2>_596,"ne boude pas , ne me repousse pas . Tu"
Rolin-Olivier_L-Invention-du-monde_<te-2>_597,"boude pas , ne me repousse pas . Tu crois"
Rolin-Olivier_L-Invention-du-monde_<te-2>_600,ne me repousse pas . Tu crois peut - être
Rolin-Olivier_L-Invention-du-monde_<te-2>_606,crois peut - être que je veux t' offrir du
Rolin-Olivier_L-Invention-du-monde_<te-2>_608,- être que je veux t' offrir du champanskoïe ?
Rolin-Olivier_L-Invention-du-monde_<te-2>_613,t' offrir du champanskoïe ? Te faire faire le tour
Rolin-Olivier_L-Invention-du-monde_<te-2>_622,"tour de la ville dans ma Jigouli , l' une"
Rolin-Olivier_L-Invention-du-monde_<te-2>_634,entretenues de la République ? Te glisser dans l' oreille
Rolin-Olivier_L-Invention-du-monde_<te-2>_652,couchant sur le Pamir ? T' emmener voir … Attends
Rolin-Olivier_L-Invention-du-monde_<te-2>_658,"emmener voir … Attends , laisse - moi lire le"
Rolin-Olivier_L-Invention-du-monde_<te-2>_659,"voir … Attends , laisse - moi lire le programme"
Rolin-Olivier_L-Invention-du-monde_<te-2>_739,"du ciment ? Allons , je plaisantais , tu connais"
Rolin-Olivier_L-Invention-du-monde_<te-2>_742,"Allons , je plaisantais , tu connais tout ça ,"
Rolin-Olivier_L-Invention-du-monde_<te-2>_747,"tu connais tout ça , je sais , tu en"
Rolin-Olivier_L-Invention-du-monde_<te-2>_750,"ça , je sais , tu en as déjà goûté"
Rolin-Olivier_L-Invention-du-monde_<te-2>_776,de l' Université . Mais je ne suis pas un
Rolin-Olivier_L-Invention-du-monde_<te-2>_785,"un minable d' étudiant , moi . Pas un coopérateur"
Rolin-Olivier_L-Invention-du-monde_<te-2>_794,"coopérateur libidineux . Attention ! Je suis un génie ,"
Rolin-Olivier_L-Invention-du-monde_<te-2>_796,". Attention ! Je suis un génie , un djinn"
Rolin-Olivier_L-Invention-du-monde_<te-2>_807,"un chaman … Ce que je vais te conter ,"
Rolin-Olivier_L-Invention-du-monde_<te-2>_809,"… Ce que je vais te conter , tu ne"
Rolin-Olivier_L-Invention-du-monde_<te-2>_812,"je vais te conter , tu ne l' as jamais"
Rolin-Olivier_L-Invention-du-monde_<te-2>_824,"ne l' entendras plus . Tu seras Shahriyar , ma"
Rolin-Olivier_L-Invention-du-monde_<te-2>_828,". Tu seras Shahriyar , ma sultane , et moi"
Rolin-Olivier_L-Invention-du-monde_<te-2>_832,", ma sultane , et moi je vais faire pour"
Rolin-Olivier_L-Invention-du-monde_<te-2>_833,"ma sultane , et moi je vais faire pour toi"
Rolin-Olivier_L-Invention-du-monde_<te-2>_837,moi je vais faire pour toi Shéhérazade . Tu me
Rolin-Olivier_L-Invention-du-monde_<te-2>_840,"faire pour toi Shéhérazade . Tu me tueras , si"
Rolin-Olivier_L-Invention-du-monde_<te-2>_841,"pour toi Shéhérazade . Tu me tueras , si je"
Rolin-Olivier_L-Invention-du-monde_<te-2>_845,"Tu me tueras , si je ne te divertis pas"
Rolin-Olivier_L-Invention-du-monde_<te-2>_847,"tueras , si je ne te divertis pas . Oublie"
Rolin-Olivier_L-Invention-du-monde_<te-2>_861,à Moscou sur Aéroflot . Je t' emmène en tapis
Rolin-Olivier_L-Invention-du-monde_<te-2>_862,Moscou sur Aéroflot . Je t' emmène en tapis volant
Rolin-Olivier_L-Invention-du-monde_<te-2>_868,"emmène en tapis volant , moi , ô femme de"
Rolin-Olivier_L-Invention-du-monde_<te-2>_870,"tapis volant , moi , ô femme de haute lisse"
Rolin-Olivier_L-Invention-du-monde_<te-2>_871,"volant , moi , ô femme de haute lisse …"
Rolin-Olivier_L-Invention-du-monde_<te-2>_876,femme de haute lisse … Je vais t' offrir toutes
Rolin-Olivier_L-Invention-du-monde_<te-2>_878,haute lisse … Je vais t' offrir toutes les fleurs
Rolin-Olivier_L-Invention-du-monde_<te-2>_918,la dentelle des mangroves pour t' en faire une voilette
Rolin-Olivier_L-Invention-du-monde_<te-2>_945,brisés des rizières pour que tu t' y contemples mille
Rolin-Olivier_L-Invention-du-monde_<te-2>_952,"y contemples mille fois , ô jeune pousse , les"
Rolin-Olivier_L-Invention-du-monde_<te-2>_978,barges sur le Zaïre … te faire peur avec les
Rolin-Olivier_L-Invention-du-monde_<te-2>_998,", pravda ? Ah , tu m' écoutes un peu"
Rolin-Olivier_L-Invention-du-monde_<te-2>_999,"pravda ? Ah , tu m' écoutes un peu ,"
Rolin-Olivier_L-Invention-du-monde_<te-2>_1006,"un peu , maintenant ? Je vais t' offrir le"
Rolin-Olivier_L-Invention-du-monde_<te-2>_1008,", maintenant ? Je vais t' offrir le monde entier"
Rolin-Olivier_L-Invention-du-monde_<te-2>_1014,"offrir le monde entier , moi , oui , mir"
Rolin-Olivier_L-Invention-du-monde_<te-2>_1030,boule … mieux que si tu étais cosmonaute . Une
Rolin-Olivier_L-Invention-du-monde_<te-2>_1047,"ce char à bancs que je vais te promener ,"
Rolin-Olivier_L-Invention-du-monde_<te-2>_1049,"à bancs que je vais te promener , non ,"
Rolin-Olivier_L-Invention-du-monde_<te-2>_1059,mais dans des voitures que tu ne peux même pas
Rolin-Olivier_L-Invention-du-monde_<te-2>_1067,"même pas imaginer , que tu ne verrais jamais sans"
Rolin-Olivier_L-Invention-du-monde_<te-2>_1072,tu ne verrais jamais sans moi . Je suis le
Rolin-Olivier_L-Invention-du-monde_<te-2>_1074,verrais jamais sans moi . Je suis le maître des
Rolin-Olivier_L-Invention-du-monde_<te-2>_1085,", le Kino Kosmos à moi tout seul , ô"
Rolin-Olivier_L-Invention-du-monde_<te-2>_1089,"à moi tout seul , ô Modèle de Cinéma ."
Rolin-Olivier_L-Invention-du-monde_<te-2>_1097,"Cinéma . Regarde , veux - tu celle - là"
Rolin-Olivier_L-Invention-du-monde_<te-2>_1153,"d' Angleterre , oui , ma chère , la reine"
Rolin-Olivier_L-Invention-du-monde_<te-2>_1216,", une beauté noire comme toi . L' homme en"
Rolin-Olivier_L-Invention-du-monde_<te-2>_1287,"Ah , alors là , tu m' en demandes beaucoup"
Rolin-Olivier_L-Invention-du-monde_<te-2>_1288,", alors là , tu m' en demandes beaucoup …"
Rolin-Olivier_L-Invention-du-monde_<te-2>_1358,de vingt reste trois et je retiens deux … quatre
Rolin-Olivier_L-Invention-du-monde_<te-2>_1377,"huit , attends , ne me fais pas perdre mon"
Rolin-Olivier_L-Invention-du-monde_<te-2>_1381,ne me fais pas perdre mon compte . Je n'
