,text_surronding
San-Antonio_Le-coup-du-pere-Francois_<Morpion-7>_105,"? - Ici c' est Morpion , vous vous souvenez"
San-Antonio_Le-coup-du-pere-Francois_<Morpion-7>_111,", vous vous souvenez de moi ? Je restai comme"
San-Antonio_Le-coup-du-pere-Francois_<Morpion-7>_134,"fit frémir les naseaux . Morpion ! Le cher ,"
San-Antonio_Le-coup-du-pere-Francois_<Morpion-7>_136,"les naseaux . Morpion ! Le cher , le doux"
San-Antonio_Le-coup-du-pere-Francois_<Morpion-7>_142,"cher , le doux , le bon Morpion ! -"
San-Antonio_Le-coup-du-pere-Francois_<Morpion-7>_162,"? - Mieux , répond - il , d' où"
San-Antonio_Le-coup-du-pere-Francois_<Morpion-7>_173,conclus sans grand mérite qu' il venait d' être malade
San-Antonio_Le-coup-du-pere-Francois_<Morpion-7>_185,Qu' est - ce qui me vaut la joie de
San-Antonio_Le-coup-du-pere-Francois_<Morpion-7>_195,ce coup de fil ? Il se racla la gorge
San-Antonio_Le-coup-du-pere-Francois_<Morpion-7>_213,"cinq ou six mots , il produisait un petit couac"
San-Antonio_Le-coup-du-pere-Francois_<Morpion-7>_220,un petit couac comique avec son gosier . - Mon
San-Antonio_Le-coup-du-pere-Francois_<Morpion-7>_224,avec son gosier . - Mon jeune ami . .
San-Antonio_Le-coup-du-pere-Francois_<Morpion-7>_230,jeune ami . . . Mon jeune ami ! Comme
San-Antonio_Le-coup-du-pere-Francois_<Morpion-7>_273,aussi célèbre et occupé que vous l' êtes pourrait consacrer
San-Antonio_Le-coup-du-pere-Francois_<Morpion-7>_323,- t - il . Vous avez toujours eu un
San-Antonio_Le-coup-du-pere-Francois_<Morpion-7>_335,"mais un parler déplorable , Antoine ! Puis , revenant"
San-Antonio_Le-coup-du-pere-Francois_<Morpion-7>_351,"plus tôt possible , espéra Morpion . - Voulez -"
San-Antonio_Le-coup-du-pere-Francois_<Morpion-7>_355,espéra Morpion . - Voulez - vous que j' aille
San-Antonio_Le-coup-du-pere-Francois_<Morpion-7>_358,- Voulez - vous que j' aille chez vous ?
San-Antonio_Le-coup-du-pere-Francois_<Morpion-7>_361,vous que j' aille chez vous ? - Je n'
San-Antonio_Le-coup-du-pere-Francois_<Morpion-7>_364,aille chez vous ? - Je n' osais vous le
San-Antonio_Le-coup-du-pere-Francois_<Morpion-7>_367,"? - Je n' osais vous le demander , je"
San-Antonio_Le-coup-du-pere-Francois_<Morpion-7>_371,"osais vous le demander , je rentre de l' hôpital"
San-Antonio_Le-coup-du-pere-Francois_<Morpion-7>_377,rentre de l' hôpital et j' ai les jambes en
