,text_surronding
San-Antonio_Viva-Bertaga_<une bonne femme haute comme quatre pommes-185>_4910,l' huis s' entrouvre sur une bonne femme haute comme
San-Antonio_Viva-Bertaga_<une bonne femme haute comme quatre pommes-185>_4931,et au nez retroussé . Elle a de longues nattes
San-Antonio_Viva-Bertaga_<une bonne femme haute comme quatre pommes-185>_4939,longues nattes mal tressées qui lui pendent de chaque côté
San-Antonio_Viva-Bertaga_<une bonne femme haute comme quatre pommes-185>_4949,"de la frimousse , et sa denture en cours de"
San-Antonio_Viva-Bertaga_<une bonne femme haute comme quatre pommes-185>_4970,"à la mâchoire supérieure . La môme me défrime ,"
San-Antonio_Viva-Bertaga_<une bonne femme haute comme quatre pommes-185>_4977,"me défrime , puis me compare à la photographie rivée"
San-Antonio_Viva-Bertaga_<une bonne femme haute comme quatre pommes-185>_4986,"rivée à ma carte et déclare : - Ouais ,"
San-Antonio_Viva-Bertaga_<une bonne femme haute comme quatre pommes-185>_4994,"Ouais , c' est bien vous , mais vous avez"
San-Antonio_Viva-Bertaga_<une bonne femme haute comme quatre pommes-185>_4997,"est bien vous , mais vous avez ramassé un p'"
San-Antonio_Viva-Bertaga_<une bonne femme haute comme quatre pommes-185>_5016,"! Léger , d' ailleurs je vous trouve mieux comme"
San-Antonio_Viva-Bertaga_<une bonne femme haute comme quatre pommes-185>_5017,"Léger , d' ailleurs je vous trouve mieux comme ça"
San-Antonio_Viva-Bertaga_<une bonne femme haute comme quatre pommes-185>_5026,"ça . - Merci , mademoiselle , fais - je"
San-Antonio_Viva-Bertaga_<une bonne femme haute comme quatre pommes-185>_5033,fais - je cérémonieusement . Elle hausse les épaules et
San-Antonio_Viva-Bertaga_<une bonne femme haute comme quatre pommes-185>_5038,Elle hausse les épaules et son regard s' assombrit .
San-Antonio_Viva-Bertaga_<une bonne femme haute comme quatre pommes-185>_5049,"Foutez - vous pas de moi , grommelle miss Tresses"
San-Antonio_Viva-Bertaga_<une bonne femme haute comme quatre pommes-185>_5052,"pas de moi , grommelle miss Tresses . J' suis"
San-Antonio_Viva-Bertaga_<une bonne femme haute comme quatre pommes-185>_5055,", grommelle miss Tresses . J' suis pas une demoiselle"
San-Antonio_Viva-Bertaga_<une bonne femme haute comme quatre pommes-185>_5061,"suis pas une demoiselle , j' suis une gamine ."
