,text_surronding
Sand-George_Horace_<Horace-4631>_134199,"poursuivant intérieurement son parallèle avec Horace , ne pouvait s'"
Sand-George_Horace_<Horace-4631>_134252,parler ouvertement et naturellement d' Horace que de la forcer
Sand-George_Horace_<Horace-4631>_134261,forcer à nous interroger sur son compte . Je lui
Sand-George_Horace_<Horace-4631>_134270,lui racontai la visite qu' il venait de nous faire
Sand-George_Horace_<Horace-4631>_134360,vois que je connaissais bien Horace !Ils furent forcés de
Sand-George_Horace_<Horace-4631>_134413,"et heureux l' un par l' autre . Horace ,"
Sand-George_Horace_<Horace-4631>_134416,"un par l' autre . Horace , lancé dans le"
Sand-George_Horace_<Horace-4631>_134454,", et un nom qu' il signait Du Montet ,"
Sand-George_Horace_<Horace-4631>_134479,"sans trop d' illusions , il put se flatter d'"
Sand-George_Horace_<Horace-4631>_134512,trois coquettes sur le retour l' eussent mis en vogue
Sand-George_Horace_<Horace-4631>_134519,"mis en vogue , s' il eût voulu se laisser"
Sand-George_Horace_<Horace-4631>_134529,"prôner par elles ; mais il visa plus haut ,"
Sand-George_Horace_<Horace-4631>_134536,"plus haut , et cela le perdit . Il se"
Sand-George_Horace_<Horace-4631>_134539,et cela le perdit . Il se mit dans l'
Sand-George_Horace_<Horace-4631>_134555,"trop faciles , et qu' il pouvait aspirer à un"
Sand-George_Horace_<Horace-4631>_134565,brillant mariage . Depuis qu' il avait tâté de la
Sand-George_Horace_<Horace-4631>_134573,"de la richesse , il lui semblait qu' il n'"
Sand-George_Horace_<Horace-4631>_134588,réel et de désirable . Il ne regardait plus le
Sand-George_Horace_<Horace-4631>_134608,"à la fortune , et il comptait sur les dons"
Sand-George_Horace_<Horace-4631>_134614,comptait sur les dons qu' il avait reçus de la
Sand-George_Horace_<Horace-4631>_134644,"prudence , qui sait si son rêve ne se serait"
Sand-George_Horace_<Horace-4631>_134653,serait pas réalisé ? Mais il ne sut pas ménager
Sand-George_Horace_<Horace-4631>_134661,"pas ménager les ressources de sa position , et son"
Sand-George_Horace_<Horace-4631>_134665,"de sa position , et son trop de confiance l'"
Sand-George_Horace_<Horace-4631>_134669,et son trop de confiance l' égara . Prompt à
Sand-George_Horace_<Horace-4631>_134680,"abuser sur les sentiments qu' il inspirait , il entama"
Sand-George_Horace_<Horace-4631>_134683,"sentiments qu' il inspirait , il entama une intrigue avec"
Sand-George_Horace_<Horace-4631>_134699,"pensionnaire romanesque qui répondit à ses billets , lui donna"
Sand-George_Horace_<Horace-4631>_134702,"répondit à ses billets , lui donna des rendez -"
Sand-George_Horace_<Horace-4631>_134712,"vous , et concerta avec lui un enlèvement et un"
Sand-George_Horace_<Horace-4631>_134724,Gretna - Green . Malheureusement Horace n' avait pas assez
Sand-George_Horace_<Horace-4631>_134754,"d' être touchés , et il commençait à devenir aussi"
Sand-George_Horace_<Horace-4631>_134763,aussi malheureux au jeu qu' il se flattait d' être
Sand-George_Horace_<Horace-4631>_134772,"être heureux en amour . Il brusqua les choses ,"
Sand-George_Horace_<Horace-4631>_134777,"Il brusqua les choses , demanda la demoiselle à ses"
Sand-George_Horace_<Horace-4631>_134781,", demanda la demoiselle à ses parents d' un ton"
Sand-George_Horace_<Horace-4631>_134789,"un ton assez impératif , se vanta auprès d' eux"
Sand-George_Horace_<Horace-4631>_134801,"passion qu' elle avait pour lui , et leur donna"
Sand-George_Horace_<Horace-4631>_134805,"pour lui , et leur donna même à entendre qu'"
Sand-George_Horace_<Horace-4631>_134829,une ruse d' amour dont il espérait rendre la jeune
Sand-George_Horace_<Horace-4631>_134838,"jeune personne complice ; car il avait été , malgré"
Sand-George_Horace_<Horace-4631>_134843,"il avait été , malgré lui , plus délicat qu'"
Sand-George_Horace_<Horace-4631>_134848,"lui , plus délicat qu' il ne voulait l' avouer"
Sand-George_Horace_<Horace-4631>_134854,ne voulait l' avouer . Il avait respecté l' imprudente
Sand-George_Horace_<Horace-4631>_134862,"l' imprudente petite héroïne de son roman , et même"
Sand-George_Horace_<Horace-4631>_134884,"courir aucun danger auprès de lui . Les parents ,"
Sand-George_Horace_<Horace-4631>_134920,"la douceur , lui peignirent Horace comme un fat ,"
Sand-George_Horace_<Horace-4631>_134982,bien dégoûter ces deux amants l' un de l' autre
Sand-George_Horace_<Horace-4631>_134985,"deux amants l' un de l' autre , qu' Horace"
Sand-George_Horace_<Horace-4631>_134989,"de l' autre , qu' Horace se retira furieux contre"
Sand-George_Horace_<Horace-4631>_134994,"Horace se retira furieux contre sa belle , qui le"
Sand-George_Horace_<Horace-4631>_134998,"contre sa belle , qui le repoussait de son côté"
Sand-George_Horace_<Horace-4631>_135001,", qui le repoussait de son côté avec mépris et"
Sand-George_Horace_<Horace-4631>_135030,"ni d' autre , et Horace , par dépit ,"
Sand-George_Horace_<Horace-4631>_135073,", sentimentale et coquette , il s' imagina qu' elle"
Sand-George_Horace_<Horace-4631>_135079,s' imagina qu' elle ne lui appartiendrait que par le
Sand-George_Horace_<Horace-4631>_135087,"par le mariage , et il se trompa . Soit"
