,text_surronding
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_36628,"doute et de désespoir , nous aurions un vote de"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_36683,"l' on ne voudrait pas nous avouer , mieux vaudrait"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_36697,de périr . Les journaux nous saturent de la question
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_36724,"! l' Europe , qui nous abandonne , sera punie"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_36758,"jours , les circulaires ministérielles nous entretiennent de petits combats"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_36764,entretiennent de petits combats où nous aurions constamment l' avantage
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_36805,parties de plaisir . – Nous avons subi des pertes
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_36839,"envahir toute la France , on le laisse se fortifier"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_36850,"de Paris , et que nous arriverons trop tard au"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_36860,"secours de Paris , si nous arrivons ! On vit"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_36863,", si nous arrivons ! On vit au jour le"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_36894,"d' avoir , et qu' on ne peut pas goûter"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_36920,poignante . Ils demandent si nous allons à leur secours
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_36929,secours ! . . . On dit qu' une action
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37004,"le 10 décembre . Plus on a de bras ,"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37010,"a de bras , plus on en demande ; c'"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37029,de s' améliorer !Départ de nos mobilisés par un temps
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37036,par un temps triste comme nos âmes . Nous les
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37039,triste comme nos âmes . Nous les attendons sur la
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37040,comme nos âmes . Nous les attendons sur la route
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37049,route . Toute la ville les accompagne . Ils sont
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37052,"la ville les accompagne . Ils sont très décidés ,"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37063,"patriotes , très fiers . On s' embrasse , on"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37067,". On s' embrasse , on rentre les larmes ."
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37074,les larmes . Où vont - ils ? que deviendront
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37079,- ils ? que deviendront - ils ? Ils ne
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37082,que deviendront - ils ? Ils ne le savent pas
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37088,"ne le savent pas , ils sont prêts à tout"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37105,espoir et de dévouement . On croit que le salut
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37178,Jour radieux au milieu de notre désespoir . Paris a
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37206,vers Paris avec succès . On rêve déjà Paris débloqué
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37227,"nous éveillons pas . Laissez - nous , discoureurs officiels"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37262,"simple , au contraire ! Nos petites - filles nous"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37266,"! Nos petites - filles nous voient heureux , elles"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37297,comme une île enchantée que nos amis et nos enfants
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37300,"enchantée que nos amis et nos enfants , partis hier"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37327,de longue durée ! On nous dit que nous avons
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37330,! On nous dit que nous avons perdu toutes nos
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37334,que nous avons perdu toutes nos positions sur la Loire
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37363,"beaucoup le succès , et nous avons encore été dupés"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37370,encore été dupés ! Pourquoi nous tromper après avoir tant
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37406,une campagne de Russie pour nos soldats . On nous
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37410,pour nos soldats . On nous cache une défaite sérieuse
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37427,replie en bon ordre . Nous ne sommes pas si
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37438,du théâtre des événements que nous ne sachions le contraire
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37445,"sachions le contraire . On nous trompe , on nous"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37449,"On nous trompe , on nous trompe ! comme si"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37476,"dans la nuit , et nos soldats couchent dans la"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37483,couchent dans la neige ! Nos mobilisés sont atrocement logés
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37603,de nouveau aux Prussiens . Notre camp est abandonné ;
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37608,Notre camp est abandonné ; nous perdons un matériel immense
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37614,"perdons un matériel immense , nos canons de marine ,"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37623,", des munitions considérables ; notre armée est en fuite"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<nous-2025>_37692,amour - propre blessé qui nous livre à tous les
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_15865,"heures , on déjeune avec Nadaud , que Sigismond a"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_15867,"on déjeune avec Nadaud , que Sigismond a été chercher"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_15882,"de La Vaufranche . Je l' avais vu , il"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_15897,lors d' un voyage qu' il fit en France .
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_15902,"il fit en France . Il a vieilli , ses"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_15906,". Il a vieilli , ses cheveux et sa barbe"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_15909,"vieilli , ses cheveux et sa barbe ont blanchi ,"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_15915,"barbe ont blanchi , mais il est encore robuste ."
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_15920,il est encore robuste . C' est un ancien maçon
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_15922,"encore robuste . C' est un ancien maçon , élevé"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_15951,"de toute mauvaise passion , il fut élu en 1848"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_15960,1848 à la Constituante par ses compatriotes de la Creuse
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_15996,fort mauvaise opinion chez nous du Marchois . On l'
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16000,nous du Marchois . On l' accuse d' être avide
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16014,"on reconnaît que , quand il est bon et sincère"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16020,"est bon et sincère , il ne l' est pas"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16028,est pas à demi . Nadaud est un bon dans
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16030,à demi . Nadaud est un bon dans toute la
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16043,". Exilé en 1852 , il passa en Angleterre ,"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16049,"passa en Angleterre , où il essaya de reprendre la"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16060,; mais les maçons anglais lui firent mauvais accueil et
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16065,lui firent mauvais accueil et lui surent méchant gré de
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16072,méchant gré de proscrire de ses habitudes l' ivresse et
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16084,". Ils se méfièrent de cet homme sobre , recueilli"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16094,"dans un silence modeste , dont ils ne comprenaient d'"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16111,encore moins le rôle qu' il avait joué en France
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16118,joué en France ; ils lui eussent volontiers cherché querelle
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16124,eussent volontiers cherché querelle . Il se retira dans une
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16138,l' anglais tout seul . Il l' apprit si bien
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16148,qu' en peu de temps il le parla comme sa
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16152,"temps il le parla comme sa propre langue , et"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16157,"sa propre langue , et ouvrit des cours d' histoire"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16191,acharnement de travail extraordinaires chez un homme déjà mûr .
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16196,un homme déjà mûr . Sa dignité intérieure rayonne doucement
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16202,"dignité intérieure rayonne doucement dans ses manières , qui sont"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16213,d' un vrai gentleman . Il ne dit pas un
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16220,"dit pas un mot , il n' a pas une"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16247,ambition ou de jalousie . Il est naïf comme les
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16263,gens convaincus . On peut le prendre pour un enfant
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16269,"prendre pour un enfant quand il interroge , on sent"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16280,la supériorité de nature quand il répond . Il était
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16283,nature quand il répond . Il était arrivé d' Angleterre
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16293,en habit de professeur : il a repris le paletot
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16303,de l' ouvrier ; mais ce n' est ni un
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16318,"l' entend le préjugé : c' est un homme ,"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16320,"le préjugé : c' est un homme , et un"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16324,"est un homme , et un homme rare qu' on"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16327,", et un homme rare qu' on peut aborder sans"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16334,"peut aborder sans attention , qu' on ne quitte pas"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<Nadaud-905>_16355,"électorale , c' est pour le mettre en rapport avec"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<moi-1092>_18942,il ne dépend pas de moi de n' avoir pas
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<moi-1092>_18960,"et de milieu , vais - je changer de souffrance"
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<moi-1092>_18975,retourne dans son lit ? Je sais que je retrouverai
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<moi-1092>_18978,lit ? Je sais que je retrouverai ailleurs d' excellents
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<moi-1092>_18985,ailleurs d' excellents amis . Je regrette ceux que je
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<moi-1092>_18989,. Je regrette ceux que je quitte avec une tendresse
Sand-George_Journal-d-un-voyageur-pendant-la-guerre_<moi-1092>_19038,"l' on a souffert , je regrette le vieux manoir"
