,text_surronding
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38368,méconnaissent . Landry écoutait toujours la petite Fadette avec une
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38386,à redire à aucune de ses raisons . En dernier
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38396,"lieu , la manière dont elle parla de son petit"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38399,manière dont elle parla de son petit frère le sauteriot
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38425,"sentait de l' amitié pour elle , et comme s'"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38434,s' il voulait être de son parti contre tout le
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38447,"Cette fois - ci , Fadette , dit - il"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38455,"- il , celui qui te donnerait tort serait dans"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38469,; car tout ce que tu as dit là est
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38484,personne ne se douterait de ton bon cœur et de
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38489,ton bon cœur et de ton bon raisonnement . Pourquoi
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38495,bon raisonnement . Pourquoi ne te fais - tu pas
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38497,. Pourquoi ne te fais - tu pas connaître pour
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38504,pas connaître pour ce que tu es ? on ne
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38513,"ne parlerait pas mal de toi , et il y"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38521,il y en a qui te rendraient justice . –
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38526,te rendraient justice . – Je te l' ai bien
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38536,"dit , Landry , reprit - elle . Je n'"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38539,", reprit - elle . Je n' ai pas besoin"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38549,de plaire à qui ne me plaît point . –
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38556,point . – Mais si tu me le dis à
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38602,"fit - il , que tu as plus d' estime"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38618,? Je croyais pourtant que tu me haïssais à cause
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38631,ai jamais été bon pour toi . – C' est
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38638,– C' est possible que je t' aie haï un
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38646,"haï un peu , répondit la petite Fadette ; mais"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38667,"d' aujourd' hui , et je vas te dire pourquoi"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38675,"dire pourquoi , Landry . Je te croyais fier ,"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38706,"autant plus de mérite . Je te croyais ingrat ,"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38745,"t' acquitter ; enfin , je te croyais poltron ,"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38753,"poltron , et pour cela j' étais portée à te"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38761,à te mépriser ; mais je vois que tu n'
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38795,fait pas défaut . Tu m' as fait danser aujourd'
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38817,"venu , après vêpres , me chercher auprès de l'"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38827,"église , au moment où je t' avais pardonné dans"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38832,je t' avais pardonné dans mon cœur après avoir fait
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38837,"mon cœur après avoir fait ma prière , et où"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38842,"ma prière , et où je ne songeais plus à"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38851,à te tourmenter . Tu m' as défendue contre de
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38871,"qui , sans toi , m' auraient maltraitée . Enfin"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38881,", ce soir , en m' entendant pleurer , tu"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38889,", tu es venu à moi pour m' assister et"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38891,es venu à moi pour m' assister et me consoler
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38894,moi pour m' assister et me consoler . Ne crois
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38904,"point , Landry , que j' oublierai jamais ces choses"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38920,ta vie la preuve que j' en garde une grande
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38930,"souvenance , et tu pourras me requérir à ton tour"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38955,"Ainsi , pour commencer , je sais que je t'"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38958,"commencer , je sais que je t' ai fait aujourd'"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38970,"grosse peine . Oui , je le sais , Landry"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38976,"le sais , Landry , je suis assez sorcière pour"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_38991,"que , ce matin , je ne m' en doutais"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39003,"Va , sois certain que j' ai plus de malice"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39016,", et que , si je t' avais su amoureux"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39025,"amoureux de la Madelon , je ne t' aurais pas"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39035,"brouillé avec elle , comme je l' ai fait en"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39045,te forçant à danser avec moi . Cela m' amusait
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39048,"danser avec moi . Cela m' amusait , j' en"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39051,". Cela m' amusait , j' en tombe d' accord"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39067,"danser avec une laideron comme moi , tu laissais de"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39078,une belle fille ; mais je croyais que c' était
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39094,amour - propre . Quand j' ai peu à peu
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39132,"donnait envie de pleurer , j' ai pleuré aussi ,"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39139,"pleuré aussi , vrai ! j' ai pleuré au moment"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39168,de repentance . Voilà pourquoi je pleurais encore si amèrement
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39175,"encore si amèrement quand tu m' as surprise ici ,"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39182,"surprise ici , et pourquoi je pleurerai jusqu' à ce"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39188,pleurerai jusqu' à ce que j' aie réparé le mal
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39194,aie réparé le mal que j' ai causé à un
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39204,bon et brave garçon comme je connais à présent que
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39219,"Et , en supposant , ma pauvre Fanchon , dit"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39224,"ma pauvre Fanchon , dit Landry , tout ému des"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39231,"tout ému des larmes qu' elle recommençait à verser ,"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39238,"à verser , que tu m' aies causé une fâcherie"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39247,fâcherie avec une fille dont je serais amoureux comme tu
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39268,"en bon accord ?– Fie - toi à moi ,"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39273,"- toi à moi , Landry , répondit la petite"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39314,confesserai à elle et je te rendrai blanc comme neige
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39323,neige . Si elle ne te rend pas son amitié
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39335,c' est qu' elle ne t' a jamais aimé et
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39346,. . – Et que je ne dois pas la
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39359,"; et comme elle ne m' a jamais aimé ,"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39367,"aimé , en effet , tu prendrais une peine inutile"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39381,"donc pas , et console - toi du petit chagrin"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39387,toi du petit chagrin que tu m' as fait .
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39392,tu m' as fait . J' en suis déjà guéri
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39438,"C' est le dépit qui te fait parler , Landry"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39442,"qui te fait parler , Landry . Quand tu auras"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39445,"parler , Landry . Quand tu auras dormi là -"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39455,"dessus , demain viendra et tu seras bien triste jusqu'"
Sand-George_La-petite-Fadette_<la petite Fadette-1341>_39463,triste jusqu' à ce que tu aies fait la paix
