,text_surronding
Sand-George_Le-chateau-des-Desertes_<moi-673>_21633,", et réciproquement . Mais moi , qui serai spectateur"
Sand-George_Le-chateau-des-Desertes_<moi-673>_21635,"réciproquement . Mais moi , qui serai spectateur ce soir"
Sand-George_Le-chateau-des-Desertes_<moi-673>_21641,"serai spectateur ce soir , je rirai de la déroute"
Sand-George_Le-chateau-des-Desertes_<moi-673>_21649,"la déroute générale , et je me dirai : Sot"
Sand-George_Le-chateau-des-Desertes_<moi-673>_21676,"faut des roulades , on vous en donne en veux"
Sand-George_Le-chateau-des-Desertes_<moi-673>_21688,"? en voilà , et vous n' êtes pas content"
Sand-George_Le-chateau-des-Desertes_<moi-673>_21700,donc de savoir ce que vous voulez . En attendant
Sand-George_Le-chateau-des-Desertes_<moi-673>_21706,"voulez . En attendant , moi , j' observe et"
Sand-George_Le-chateau-des-Desertes_<moi-673>_21708,"En attendant , moi , j' observe et je me"
Sand-George_Le-chateau-des-Desertes_<moi-673>_21711,"moi , j' observe et je me repose . –"
Sand-George_Le-chateau-des-Desertes_<moi-673>_21716,je me repose . – Vous ne m' apprenez rien
Sand-George_Le-chateau-des-Desertes_<moi-673>_21718,"repose . – Vous ne m' apprenez rien , Célio"
Sand-George_Le-chateau-des-Desertes_<moi-673>_21722,"ne m' apprenez rien , Célio ; précisément hier soir"
Sand-George_Le-chateau-des-Desertes_<moi-673>_21727,Célio ; précisément hier soir je rompais une lance contre
Sand-George_Le-chateau-des-Desertes_<moi-673>_21759,"pas comprendre cela , reprit Célio en haussant les épaules"
Sand-George_Le-chateau-des-Desertes_<moi-673>_21772,est pas plus artiste que ma botte ! Et il
Sand-George_Le-chateau-des-Desertes_<moi-673>_21889,"Ainsi va le monde , Salentini ! Moi , je"
Sand-George_Le-chateau-des-Desertes_<moi-673>_21891,"le monde , Salentini ! Moi , je veux faire"
Sand-George_Le-chateau-des-Desertes_<moi-673>_21893,", Salentini ! Moi , je veux faire du bruit"
Sand-George_Le-chateau-des-Desertes_<moi-673>_21900,"faire du bruit , et je cherche le succès de"
Sand-George_Le-chateau-des-Desertes_<moi-673>_21909,"de toute la puissance de ma volonté , mais c'"
Sand-George_Le-chateau-des-Desertes_<moi-673>_21916,", mais c' est pour me venger du public que"
Sand-George_Le-chateau-des-Desertes_<moi-673>_21921,"me venger du public que je hais , c' est"
Sand-George_Le-chateau-des-Desertes_<moi-673>_21931,pour le mépriser davantage . Je me suis trompé sur
Sand-George_Le-chateau-des-Desertes_<moi-673>_21940,"sur les moyens , mais je réussirai à les trouver"
Sand-George_Le-chateau-des-Desertes_<moi-673>_21958,"sa fille , et de moi - même par -"
Sand-George_Le-chateau-des-Desertes_<moi-673>_21970,". Pour cela , voyez - vous , il faut"
Sand-George_Le-chateau-des-Desertes_<moi-673>_21976,"vous , il faut que je me perfectionne comme véritable"
Sand-George_Le-chateau-des-Desertes_<moi-673>_21996,"; chaque année , pour moi , représente dix ans"
Sand-George_Le-chateau-des-Desertes_<moi-673>_22007,la vie du vulgaire ; je suis actif et entêté
Sand-George_Le-chateau-des-Desertes_<moi-673>_22014,actif et entêté . Quand j' aurai acquis ce qui
Sand-George_Le-chateau-des-Desertes_<moi-673>_22019,j' aurai acquis ce qui me manque pour moi -
Sand-George_Le-chateau-des-Desertes_<moi-673>_22022,"ce qui me manque pour moi - même , je"
Sand-George_Le-chateau-des-Desertes_<moi-673>_22026,"pour moi - même , je saurai parfaitement ce qui"
Sand-George_Le-chateau-des-Desertes_<moi-673>_22040,comprendre le vrai mérite . Je parviendrai à être infiniment
Sand-George_Le-chateau-des-Desertes_<moi-673>_22048,être infiniment plus mauvais que je ne l' ai été
Sand-George_Le-chateau-des-Desertes_<moi-673>_22066,lui plaire infiniment . Voilà ma théorie . Comprenez -
Sand-George_Le-chateau-des-Desertes_<moi-673>_22070,Voilà ma théorie . Comprenez - vous !– Je comprends
Sand-George_Le-chateau-des-Desertes_<moi-673>_22073,. Comprenez - vous !– Je comprends qu' elle est
Sand-George_Le-chateau-des-Desertes_<moi-673>_22083,"fausse , et que si vous ne cherchez pas le"
Sand-George_Le-chateau-des-Desertes_<moi-673>_22101,"public , en supposant que vous lui plaisiez dans le"
Sand-George_Le-chateau-des-Desertes_<moi-673>_22108,"plaisiez dans le faux , vous ne posséderez jamais le"
Sand-George_Le-chateau-des-Desertes_<moi-673>_22146,"visage . Prenez garde , vous avez fait fausse route"
Sand-George_Le-chateau-des-Desertes_<moi-673>_22153,"fait fausse route , et vous allez vous perdre entièrement"
Sand-George_Le-chateau-des-Desertes_<moi-673>_22171,la Cécilia ! s' écria Célio fort animé ; ne
Sand-George_Le-chateau-des-Desertes_<moi-673>_22235,"et de feu . Voyez - vous , pas plus"
Sand-George_Le-chateau-des-Desertes_<moi-673>_22248,"y a deux jours , j' ai entendu la Boccaferri"
Sand-George_Le-chateau-des-Desertes_<moi-673>_22265,et ne sachant pas que j' étais là pour l'
