,text_surronding
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_16743,curé ! »Ce défi irrita l' ancien aumônier de régiment
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_16755,Poltron de curé ! fit - il avec sa plus
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_16758,"! fit - il avec sa plus grosse voix ,"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_16795,"» Et du bout de son bâton , il fît"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_16798,"bout de son bâton , il fît un grand cercle"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_16810,lui à l' endroit où il avait vu le cercle
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_16828,": « Tu vois , je ne veux pas sortir"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_16840,", c' est là que je t' attends de pied"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_16860,"paraissait ni ne bougeait , il s' escrima de son"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_16864,", il s' escrima de son bâton , frappant devant"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_16869,"son bâton , frappant devant lui , à droite ,"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_16886,"et , chaque fois qu' il frappait , il entendait"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_16889,"fois qu' il frappait , il entendait gémir et crier"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_16905,reçu la bonne trempée qu' il leur administrait . Or
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_16916,"comme ce jeu plaisait à son humeur courageuse , il"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_16920,"à son humeur courageuse , il y prit goût et"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_16925,il y prit goût et rage et battit ainsi le
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_16927,prit goût et rage et battit ainsi le diable une
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_16965,"plus profond silence . Alors le curé , qui s'"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_16968,". Alors le curé , qui s' était mis tout"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_16980,", sortit du cercle et alla reprendre son cheval qui"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_16982,du cercle et alla reprendre son cheval qui s' était
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_16994,loin de là . Quand il se fut essuyé le
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17005,"et remis en selle , il reprit le chemin de"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17010,il reprit le chemin de son presbytère et jamais plus
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17036,"de la même année , il entendit , sur le"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17045,"le minuit , frapper à sa porte . Il appela"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17048,"frapper à sa porte . Il appela son sacristain ,"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17050,"sa porte . Il appela son sacristain , qui lui"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17054,"appela son sacristain , qui lui servait de domestique ,"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17068,« On frappe en bas mon garçon . Va donc
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17093,"« Foi d' homme , monsieur le curé , vous"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17097,", monsieur le curé , vous avez rêvé ça ,"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17125,"pour la seconde fois , il se réveilla de nouveau"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17131,se réveilla de nouveau . Il appela encore son valet
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17134,"nouveau . Il appela encore son valet , qui ne"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17148,remettre au lit et qui lui jura qu' il se
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17151,et qui lui jura qu' il se trompait . Pour
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17156,"il se trompait . Pour son compte , il n'"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17165,n' avait rien entendu . Le curé retournait à son
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17169,". Le curé retournait à son lit , lorsqu' on"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17178,"on frappa encore . « Jean , dit - il"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17185,"dit - il , es - tu devenus sourd ou"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17196,c' est un bruit que j' ai dans les oreilles
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17202,ai dans les oreilles ?– Vous l' avez au moins
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17211,"moins dans la tête , monsieur le curé , répondit"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17216,"monsieur le curé , répondit Jean ; je n' entends"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17218,"curé , répondit Jean ; je n' entends rien que"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17261,avertissement du ciel pour qu' il eût à se mettre
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17277,"mourir . Mais , comme c' était un homme à"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17279,"Mais , comme c' était un homme à vouloir être"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17286,"à vouloir être sûr de son fait , il alluma"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17289,"sûr de son fait , il alluma une lanterne et"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17294,il alluma une lanterne et descendit ouvrir lui - même
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17296,une lanterne et descendit ouvrir lui - même . «
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17304,". « Bonne nuit , monsieur le curé , lui"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17308,", monsieur le curé , lui dit une voix qu'"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17313,"lui dit une voix qu' il connaissait , sans qu'"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17318,"il connaissait , sans qu' il pût voir aucune figure"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17328,". – Bonne nuit , père Cadet » , répondit"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17333,"père Cadet » , répondit le curé sans se déconcerter"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17340,"sans se déconcerter , et il referma sa porte ,"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17342,"déconcerter , et il referma sa porte , s' imaginant"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17349,", s' imaginant beaucoup en lui - même , car"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17354,"lui - même , car il avait porté en terre"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17359,il avait porté en terre le père Cadet il y
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17369,avait environ une année . Il allait remonter l' escalier
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17375,"allait remonter l' escalier de sa chambre , quand on"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17387,". « Bon , dit - il , ce pauvre"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17390,", dit - il , ce pauvre défunt aura oublier"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17396,pauvre défunt aura oublier de me demander des prières ;
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17405,; il ne faut pas lui en refuser » ;
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17411,"en refuser » ; et il rouvrit la porte ,"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17420,", disant : « Est - ce encore vous ,"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17423,"« Est - ce encore vous , père Cadet ?–"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17425,"- ce encore vous , père Cadet ?– Non ,"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17430,"père Cadet ?– Non , monsieur le curé , c'"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17434,", monsieur le curé , c' est moi , fit"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17436,"le curé , c' est moi , fit une voix"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17444,une voix de femme ; je viens vous souhaiter une
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17446,de femme ; je viens vous souhaiter une bonne nuit
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17463,"mère Guite » , répondit - il , refermant sa"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17467,"répondit - il , refermant sa porte ; or ,"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17494,"et , cette fois , le curé entendit une jeune"
Sand-George_Legendes-rustiques_<l' ancien aumônier de régiment-879>_17502,une jeune voix douce qui lui disait : « C'
