,text_surronding
Sand-George_Simon_<la-1540>_35759,auprès de lui que de la donner à un roturier
Sand-George_Simon_<la-1540>_35766,"à un roturier . Malheureusement cette fille était majeure ,"
Sand-George_Simon_<la-1540>_35777,", avec les singularités de son humour et l' audace"
Sand-George_Simon_<la-1540>_35784,"et l' audace tranquille de ses résolutions , il était"
Sand-George_Simon_<la-1540>_35792,il était à craindre qu' elle ne fît un choix
Sand-George_Simon_<la-1540>_35799,fît un choix étrange . Son père avait frémi de
Sand-George_Simon_<la-1540>_35804,Son père avait frémi de la voir liée si étroitement
Sand-George_Simon_<la-1540>_35818,. Il avait eu avec elle à ce sujet une
Sand-George_Simon_<la-1540>_35841,"comme par miracle , à la laisser maîtresse de ses"
Sand-George_Simon_<la-1540>_35845,"à la laisser maîtresse de ses actions , et même"
Sand-George_Simon_<la-1540>_35856,faire un accueil obligeant à ses nouveaux amis . Mais
Sand-George_Simon_<la-1540>_35878,et le bon accueil que Fiamma avait fait à son
Sand-George_Simon_<la-1540>_35882,que Fiamma avait fait à son cousin l' avait soulagé
Sand-George_Simon_<la-1540>_35956,moyen de se délivrer de celle qu' en public le
Sand-George_Simon_<la-1540>_35957,de se délivrer de celle qu' en public le comte
Sand-George_Simon_<la-1540>_35969,"fille chérie , affectant de la consulter sur tout et"
Sand-George_Simon_<la-1540>_35978,"et de rechercher sans cesse son approbation , quoique en"
Sand-George_Simon_<la-1540>_36013,": Non è vero , Fiamma ?Lorsqu' il vit le"
Sand-George_Simon_<la-1540>_36079,"de poste , tandis que Fiamma prenait naturellement le chemin"
Sand-George_Simon_<la-1540>_36091,"maison Féline ; alors , la priant de remonter dans"
Sand-George_Simon_<la-1540>_36096,"la priant de remonter dans sa chambre , il l'"
Sand-George_Simon_<la-1540>_36100,"dans sa chambre , il l' y suivit , et"
Sand-George_Simon_<la-1540>_36127,pas entendre au loin . Fiamma avait prévu cette éruption
Sand-George_Simon_<la-1540>_36134,prévu cette éruption volcanique . Elle la contempla avec une
Sand-George_Simon_<la-1540>_36151,embrasât les secrets replis de son âme orgueilleuse . Quand
Sand-George_Simon_<la-1540>_36195,"bridés , et qu' il lui eut intimé , dans"
Sand-George_Simon_<la-1540>_36227,"avec la famille Féline , elle le pria avec un"
Sand-George_Simon_<la-1540>_36247,"la crainte , lui dit - elle , d' un"
Sand-George_Simon_<la-1540>_36273,manière à ne pas friper sa robe et à conserver
Sand-George_Simon_<la-1540>_36285,"liberté tous les mouvements de son corps , elle lui"
Sand-George_Simon_<la-1540>_36288,"mouvements de son corps , elle lui répondit ainsi dans"
Sand-George_Simon_<la-1540>_36323,rapide et serré :« Il me semble que l' objet
Sand-George_Simon_<la-1540>_36364,", ou bien me serais - je écartée des conventions"
Sand-George_Simon_<la-1540>_36383,"?– Oui , certes , mademoiselle ! vous avez violé"
Sand-George_Simon_<la-1540>_36385,", certes , mademoiselle ! vous avez violé ces conventions"
Sand-George_Simon_<la-1540>_36391,avez violé ces conventions et vos promesses . J' ai
Sand-George_Simon_<la-1540>_36394,conventions et vos promesses . J' ai été bien sot
Sand-George_Simon_<la-1540>_36401,"été bien sot , pour ma part , de me"
Sand-George_Simon_<la-1540>_36421,sa vie à essayer de m' en imposer par ses
Sand-George_Simon_<la-1540>_36433,et ses réponses solennelles ! Vous avez beaucoup trop suivi
Sand-George_Simon_<la-1540>_36444,"théâtre de la Fenice , signora , et je dois"
Sand-George_Simon_<la-1540>_36447,"Fenice , signora , et je dois m' estimer heureux"
Sand-George_Simon_<la-1540>_36453,dois m' estimer heureux que vous n' ayez pas pris
Sand-George_Simon_<la-1540>_36492,de défier une fille dans ma position . Cependant vous
Sand-George_Simon_<la-1540>_36504,d' être sûr que vous me défieriez en vain de
Sand-George_Simon_<la-1540>_36518,ne fût pas conforme à mon orgueil et à ma
Sand-George_Simon_<la-1540>_36522,à mon orgueil et à ma réserve habituelle . –
Sand-George_Simon_<la-1540>_36537,bien de la bonté de votre part ! reprit le
Sand-George_Simon_<la-1540>_36541,de votre part ! reprit le comte avec aigreur .
Sand-George_Simon_<la-1540>_36552,"en quoi , s' il vous plaît , votre position"
Sand-George_Simon_<la-1540>_36555,"s' il vous plaît , votre position est - elle"
Sand-George_Simon_<la-1540>_36563,- elle si malheureuse ?– Je ne me suis pas
Sand-George_Simon_<la-1540>_36573,"servie de cette expression , monsieur , répondit Fiamma ."
Sand-George_Simon_<la-1540>_36576,"expression , monsieur , répondit Fiamma . Je ne me"
Sand-George_Simon_<la-1540>_36578,"monsieur , répondit Fiamma . Je ne me suis jamais"
Sand-George_Simon_<la-1540>_36592,aucune façon la position que vous m' avez faite .
Sand-George_Simon_<la-1540>_36593,façon la position que vous m' avez faite . .
Sand-George_Simon_<la-1540>_36606,"cette ironie , répondit brusquement le comte ; je sais"
Sand-George_Simon_<la-1540>_36609,répondit brusquement le comte ; je sais de reste ce
Sand-George_Simon_<la-1540>_36616,de reste ce que valent vos simulacres de respect et
Sand-George_Simon_<la-1540>_36632,franchement : d' où vient votre inconcevable ardeur à me
Sand-George_Simon_<la-1540>_36636,"vient votre inconcevable ardeur à me désespérer , et votre"
Sand-George_Simon_<la-1540>_36640,"à me désespérer , et votre obstination surhumaine à prendre"
Sand-George_Simon_<la-1540>_36658,pourrait satisfaire la raison et ma sollicitude pour un enfant
Sand-George_Simon_<la-1540>_36677,le second point des remontrances du comte . C' était
Sand-George_Simon_<la-1540>_36685,C' était le moment où Fiamma voyait clairement faiblir son
Sand-George_Simon_<la-1540>_36689,où Fiamma voyait clairement faiblir son adversaire sous le sentiment
