,text_surronding
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50615,"avait failli rendre impossible , Georges , seul en sa"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50619,", Georges , seul en sa chambre d' hôtel ,"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50626,"d' hôtel , écrivait à son ami , l' inspecteur"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50635,"inspecteur d' assurances , qui l' avait détaché sur une"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50644,"une fausse piste : « Mon vieux camarade , »"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50659,"Tout a réussi , et je suis le plus heureux"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50661,"réussi , et je suis le plus heureux des hommes"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50690,a pas de dot . J' en suis ravi ;
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50702,"elle avait été riche , j' aurais été refusé net"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50708,aurais été refusé net . Je cherchais la fortune ;
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50713,Je cherchais la fortune ; j' ai trouvé le bonheur
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50731,". Dans un mois , tu seras mon garçon d'"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50733,"un mois , tu seras mon garçon d' honneur ,"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50749,"Dieu , le parrain de mon premier dans un an"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50757,"un an . » Dieu te doint la pareille ,"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50771,"- aimé Rabelais . » Ton vieil ami , »"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50776,"Ton vieil ami , » GEORGES . » P ."
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50788,— Mais où diable avais - tu prix qu' elle
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50806,sont là les renseignements que tu donnes à ta Compagnie
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50809,renseignements que tu donnes à ta Compagnie . J' assurerai
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50812,donnes à ta Compagnie . J' assurerai mon fils sur
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50814,ta Compagnie . J' assurerai mon fils sur la vie
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50820,fils sur la vie 1 Me sera - t -
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50831,permis de faire remarquer que mon héros se sert là
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50842,une expression fort impropre ? Il aurait dû dire :
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50847,Il aurait dû dire : je m' assurerai sur la
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50856,"la vie au profit de mon fils , ou je"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50860,"de mon fils , ou je prendrai une assurance sur"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50870,"la vie au profit de mon fils , mais quoi"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50876,"fils , mais quoi ! il parle là comme tout"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50892,monde parle mal . ; c' est un client de
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50899,un client de plus pour toi . Rebonsoir ! Je
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50903,pour toi . Rebonsoir ! Je vais faire des rêves
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50945,"connu cette douceur , et je n' y puis penser"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50971,"quel ami c' était que mon ami Alfred Rebouté ,"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_50992,Nougriais !C' est là que je le rencontrai pour la
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51008,"commençâmes à nous lier . J' avais vingt ans ,"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51018,un bel âge ; et je venais d' être nommé
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51065,"occuper à leur tour . J' aspirais donc , en"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51070,"J' aspirais donc , en ma qualité d' aspirant ,"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51084,de ne riengagner . Mais je ne m' en souciais
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51091,"m' en souciais guère . Mon père , qui était"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51099,"qui était fort glorieux de moi , me faisait une"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51101,"fort glorieux de moi , me faisait une pension dont"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51143,un fort bon homme que mon pauvre père . Il
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51168,mieux entretenues du pays . J' aurais volontiers repris sa
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51191,Il ne voulait pas que mes dix années de latin
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51205,et la brillante éducation que j' avais reçue au lycée
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51226,"la mode de Bretagne , je crois ) était inspecteur"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51241,"Cette considération le détermina à me choisir cette carrière ,"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51247,"choisir cette carrière , où je ne pouvais manquer d'"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51259,"rapide et superbe avancement . Je n' avais , à"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51295,que l' on désire ? Je fis de mon mieux
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51298,désire ? Je fis de mon mieux les compositions exigées
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51346,aspirent à devenir aspirants . J' eus donc l' honneur
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51355,"honneur d' être choisi , moi , cent cinquantième ,"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51369,des concurrents moins heureux . Mon père pleura de joie
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51375,"père pleura de joie , m' aligna vingt - cinq"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51382,vingt - cinq louis pour mon premier quartier de pension
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51395,"quelques bons conseils , et je partis pour Nougriais ,"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51407,"des écarts de poitrine . Je puis dire , sans"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51416,"sans me vanter , que j' étais ce qu' on"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51423,ce qu' on appelle dans mon pays un beau gars
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51461,d' abondants cheveux noirs qui me tombaient de toutes parts
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51476,bras solides et nerveux dont j' aimais à faire saillir
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51492,grosses cordes . Un de mes grands triomphesétait de prendre
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51516,", en la frappant sur mon avant - bras vigoureusement"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51523,- bras vigoureusement tendu . Je gagnais des paris à
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51561,les exercices du corps . J' étais surtout un hardi
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51570,"hardi cavalier , sans que j' eusse pris beaucoup de"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51581,"de manège , ni que je sussepar principes le fin"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51591,de l' équitation ; mais je montais à cru les
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51603,"plus rétifs , et si ma bête se fût avisée"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51613,"de faire la méchante , je l' eusse étouffée ,"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51622,", sans miséricorde , entre mes deux genoux : des"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51636,une main d' acier . Je n' avais donc pas
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51647,"d' être trop mécontent de ma petite personne , et"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51654,"personne , et la vérité m' oblige à convenir que"
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51659,m' oblige à convenir que j' en étais fort satisfait
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51665,en étais fort satisfait . Je marchais volontiers dans les
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51677,des développements de torse que je jugeais devoir être irrésistibles
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51688,le coeur des femmes . J' étais un peu surpris
Sarcey-Francisque_Le-Piano-de-Jeanne_<Georges-1756>_51702,"de n' avoir , à mon âge et avec cette"
