,text_surronding
Scholl-Aurelien_Les-Gens-tares_<Madame du Taillis-1852>_36237,qui gênait ses projets . Madame du Taillis se chargea
Scholl-Aurelien_Les-Gens-tares_<Madame du Taillis-1852>_36337,Ils s' aiment ! répondit madame du Taillis . Robert
Scholl-Aurelien_Les-Gens-tares_<Madame du Taillis-1852>_36345,. Robert se chargea de lui prouver le contraire .
Scholl-Aurelien_Les-Gens-tares_<Madame du Taillis-1852>_36357,un rendez - vous à Léonie et l' obtint .
Scholl-Aurelien_Les-Gens-tares_<Madame du Taillis-1852>_36362,"Léonie et l' obtint . Elle vint , après le"
Scholl-Aurelien_Les-Gens-tares_<Madame du Taillis-1852>_36370,"après le dîner , retrouver son cousin dans le clos"
Scholl-Aurelien_Les-Gens-tares_<Madame du Taillis-1852>_36377,dans le clos . — Vous avez à me parler
Scholl-Aurelien_Les-Gens-tares_<Madame du Taillis-1852>_36380,. — Vous avez à me parler ? demanda -
Scholl-Aurelien_Les-Gens-tares_<Madame du Taillis-1852>_36386,parler ? demanda - t - elle . — Oui
Scholl-Aurelien_Les-Gens-tares_<Madame du Taillis-1852>_36395,"Oui , fit Robert en lui prenant la main ;"
Scholl-Aurelien_Les-Gens-tares_<Madame du Taillis-1852>_36406,"ai beaucoup de choses à vous dire , petite cousine"
Scholl-Aurelien_Les-Gens-tares_<Madame du Taillis-1852>_36409,"choses à vous dire , petite cousine ; mais d'"
Scholl-Aurelien_Les-Gens-tares_<Madame du Taillis-1852>_36465,en venir ? » pensa Léonie ; et elle ajouta
Scholl-Aurelien_Les-Gens-tares_<Madame du Taillis-1852>_36468,» pensa Léonie ; et elle ajouta : — Je
Scholl-Aurelien_Les-Gens-tares_<Madame du Taillis-1852>_36472,et elle ajouta : — Je vous ai quelquefois trouvé
Scholl-Aurelien_Les-Gens-tares_<Madame du Taillis-1852>_36486,"Alors , vous croyez que je vous déteste ? —"
Scholl-Aurelien_Les-Gens-tares_<Madame du Taillis-1852>_36499,en faut ; mais comme je ne puis commander les
Scholl-Aurelien_Les-Gens-tares_<Madame du Taillis-1852>_36510,", il faut bien que je me résigne . En"
Scholl-Aurelien_Les-Gens-tares_<Madame du Taillis-1852>_36519,"En disant ces mots , Léonie prit un petit air"
Scholl-Aurelien_Les-Gens-tares_<Madame du Taillis-1852>_36526,un petit air moqueur et lança à son cousin une
Scholl-Aurelien_Les-Gens-tares_<Madame du Taillis-1852>_36528,air moqueur et lança à son cousin une provocante œillade
Scholl-Aurelien_Les-Gens-tares_<Madame du Taillis-1852>_36546,"avec tendresse , si je vous disais que vous vous"
Scholl-Aurelien_Les-Gens-tares_<Madame du Taillis-1852>_36549,si je vous disais que vous vous êtes trompée ?
Scholl-Aurelien_Les-Gens-tares_<Madame du Taillis-1852>_36559,— J' aurais peine à vous croire . Il y
Scholl-Aurelien_Les-Gens-tares_<Madame du Taillis-1852>_36586,"un ton décidé , voulez - vous être franche avec"
Scholl-Aurelien_Les-Gens-tares_<Madame du Taillis-1852>_36618,"êtes , c' est que je voulais me rapprocher de"
Scholl-Aurelien_Les-Gens-tares_<Madame du Taillis-1852>_36659,chaque jour je pensais à vous . Vous étiez si
Scholl-Aurelien_Les-Gens-tares_<Madame du Taillis-1852>_36661,"je pensais à vous . Vous étiez si gentille ,"
Scholl-Aurelien_Les-Gens-tares_<Madame du Taillis-1852>_36673,", si fraîche , quand vous êtes arrivée avec votre"
Scholl-Aurelien_Les-Gens-tares_<Madame du Taillis-1852>_36677,quand vous êtes arrivée avec votre petite robe de pension
Scholl-Aurelien_Les-Gens-tares_<Madame du Taillis-1852>_36685,de pension ! Comme je vous ai embrassée de bon
